start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,dental spa mexico,0,1,0,66
2024-05-08,2024-05-14,can,dental treatment in playa del carmen,0,1,0,50
2024-05-08,2024-05-14,can,playa del carmen dentist,0,1,0,78
2024-05-15,2024-05-21,can,playa del carmen dental,0,1,0,58
2024-05-22,2024-05-28,can,dental house playa del carmen,0,1,0,39
2024-05-22,2024-05-28,can,dental implants in playa del carmen,0,1,0,75
2024-05-22,2024-05-28,can,"dentalspa, dentistas en playa del carmen",0,1,0,9
2024-05-22,2024-05-28,can,playa del carmen dentist,0,1,0,68
2024-05-29,2024-06-04,can,dental implants in playa del carmen,0,1,0,65
2024-06-05,2024-06-11,can,dentist in playa del carmen,0,1,0,57
2024-06-05,2024-06-11,can,dentists in playa del carmen,0,1,0,56
2024-06-12,2024-06-18,can,best dental implants playa del carmen,0,1,0,63
2024-06-12,2024-06-18,can,dental clinics in playa del carmen,0,1,0,35
2024-06-12,2024-06-18,can,playa del carmen dentist,0,1,0,59
