start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,one destination clinic cancun,0,1,0,12
2024-05-08,2024-05-14,can,dental clinic cancun,0,2,0,64
2024-05-15,2024-05-21,can,dental clinic cancun,0,2,0,75
2024-05-15,2024-05-21,can,dental clinic in cancun,0,1,0,64
2024-05-15,2024-05-21,can,odc cancun,0,1,0,7
2024-05-15,2024-05-21,can,one destination clinic,0,1,0,9
2024-05-15,2024-05-21,can,one destination clinic cancun,0,2,0,8.5
2024-05-22,2024-05-28,can,odc cancun,0,1,0,7
2024-05-22,2024-05-28,can,one destination clinic cancun,0,1,0,8
2024-05-29,2024-06-04,can,one destination clinic,0,2,0,11
2024-06-05,2024-06-11,can,dental clinic cancun,0,1,0,74
2024-06-05,2024-06-11,can,one destination clinic,0,1,0,9
2024-06-05,2024-06-11,can,one destination clinic cancun,0,1,0,7
2024-06-12,2024-06-18,can,best dentist cancun,0,1,0,90
2024-06-12,2024-06-18,can,cancun dental clinic,0,1,0,59
2024-06-12,2024-06-18,can,dental clinic cancun photos,0,3,0,79.33333333333333
2024-06-12,2024-06-18,can,dental clinic in cancun,0,1,0,55
2024-06-12,2024-06-18,can,one destination clinic cancun,0,2,0,13.5
2024-06-19,2024-06-25,can,cancun dental clinic,0,1,0,59
2024-06-19,2024-06-25,can,dental clinic cancun,0,2,0,64
2024-06-26,2024-07-02,can,dental clinic cancun reviews,0,1,0,63
2024-06-26,2024-07-02,can,odc cancun,0,2,0,8.5
2024-06-26,2024-07-02,can,one destination clinic cancun,0,1,0,6
2024-06-26,2024-07-02,can,one destination clinic cancún reviews,0,1,0,9
2024-07-03,2024-07-09,can,cancun dental care view,0,1,0,63
2024-07-03,2024-07-09,can,dental clinic cancun,0,1,0,51
2024-07-03,2024-07-09,can,one destination clinic cancun,0,1,0,16
2024-07-10,2024-07-16,can,dental clinic cancun,0,3,0,57.666666666666664
2024-07-10,2024-07-16,can,odc dental clinic,0,1,0,8
2024-07-10,2024-07-16,can,one destination clinic cancun,0,3,0,13
2024-07-17,2024-07-23,can,dental clinic cancun,0,1,0,73
2024-07-17,2024-07-23,can,dental clinic cancun mexico,0,1,0,62
2024-07-17,2024-07-23,can,dental clinic cancun photos,0,2,0,65
2024-07-17,2024-07-23,can,odc dental clinic,0,2,0,8
2024-07-24,2024-07-30,can,cancun dental clinic,0,1,0,62
2024-07-24,2024-07-30,can,dental clinic cancun,0,2,0,59.5
2024-07-24,2024-07-30,can,dental clinic cancun reviews,0,2,0,53
2024-07-24,2024-07-30,can,dental clinics in cancun mexico,0,1,0,72
2024-07-24,2024-07-30,can,odc dental clinic,0,1,0,9
2024-07-24,2024-07-30,can,one destination clinic,0,1,0,6
2024-07-24,2024-07-30,can,one destination clinic cancun,0,7,0,9.857142857142858
2024-07-24,2024-07-30,can,one destination clinic cancun mx,0,1,0,9
2024-07-31,2024-08-06,can,cancun dentist review,0,1,0,96
2024-07-31,2024-08-06,can,dental clinic cancun,0,1,0,59
2024-07-31,2024-08-06,can,odc alabama,0,1,0,66
2024-07-31,2024-08-06,can,one destination clinic cancun,0,5,0,9.8
2024-08-07,2024-08-13,can,dental clinics in cancun mexico,0,3,0,72.33333333333333
2024-08-07,2024-08-13,can,odc dental,0,1,0,11
2024-08-07,2024-08-13,can,one destination clinic cancun,0,2,0,8.5
2024-08-14,2024-08-20,can,77500 text message,0,2,0,72
2024-08-14,2024-08-20,can,cancun dental clinic,0,2,0,96
2024-08-14,2024-08-20,can,dental clinics in cancun mexico,0,1,0,85
2024-08-14,2024-08-20,can,odc dental clinic,0,1,0,9
2024-08-14,2024-08-20,can,one destination clinic cancun,0,2,0,12
2024-08-21,2024-08-27,can,cancun dentist reviews,0,1,0,96
2024-08-21,2024-08-27,can,cancun dentistry reviews,0,1,0,89
2024-08-21,2024-08-27,can,dental clinic cancun,0,4,0,62.5
2024-08-21,2024-08-27,can,dental clinic cancun mexico,0,2,0,67
2024-08-21,2024-08-27,can,odc cancun,0,2,0,8
2024-08-21,2024-08-27,can,one destination clinic,0,1,0,6
2024-08-21,2024-08-27,can,one destination clinic cancun,0,1,0,11
2024-08-21,2024-08-27,can,one destination clinic cancun reviews,0,1,0,7
2024-08-28,2024-09-03,can,77500 text message,0,1,0,66
2024-08-28,2024-09-03,can,clinica dental cancun,0,1,0,65
2024-08-28,2024-09-03,can,dental clinics in cancun mexico,0,1,0,68
2024-08-28,2024-09-03,can,one destination clinic cancun,0,2,0,13
2024-08-28,2024-09-03,can,why cancun for a dental trip new york resident,0,1,0,31
