start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,dentist playa del carmen,0,1,0,78
2024-05-01,2024-05-07,can,playa del carmen dentist,0,2,0,89.5
2024-05-08,2024-05-14,can,playa del carmen dentist,0,1,0,67
2024-05-15,2024-05-21,can,dental clinics in playa del carmen,0,1,0,32
2024-05-22,2024-05-28,can,playa del carmen dentist,0,1,0,66
2024-05-29,2024-06-04,can,playa del carmen dentist,0,1,0,79
2024-06-05,2024-06-11,can,white coast restorative dentistry,0,1,0,13
2024-06-12,2024-06-18,can,white coast restorative dentistry,0,2,0,10.5
2024-06-19,2024-06-25,can,white coast restorative dentistry,0,4,0,10.75
2024-06-26,2024-07-02,can,white coast restorative dentistry,0,1,0,9
2024-07-03,2024-07-09,can,white coast restorative dentistry,0,1,0,8
2024-07-10,2024-07-16,can,dentists in playa del carmen,0,1,0,37
2024-07-10,2024-07-16,can,los algodones porcelain veneers,0,1,0,75
2024-07-17,2024-07-23,can,white coast restorative dentistry,0,1,0,8
2024-07-24,2024-07-30,can,dental implants in playa del carmen,0,1,0,32
2024-07-24,2024-07-30,can,english speaking dentist playa del carmen,0,2,0,15
2024-07-24,2024-07-30,can,whitecoast,0,1,0,34
2024-07-31,2024-08-06,can,best dentist in playa del carmen,0,1,0,28
2024-07-31,2024-08-06,can,english speaking dentist playa del carmen,0,2,0,7
2024-08-07,2024-08-13,can,english speaking dentist playa del carmen,0,3,0,8.333333333333332
2024-08-14,2024-08-20,can,english speaking dentist playa del carmen,0,2,0,11
2024-08-21,2024-08-27,can,english speaking dentist playa del carmen,0,1,0,10
2024-08-28,2024-09-03,can,dental implants in playa del carmen,0,2,0,39.5
2024-08-28,2024-09-03,can,english speaking dentist playa del carmen,0,1,0,9
2024-09-04,2024-09-10,can,best dental implants playa del carmen,0,1,0,38
2024-09-04,2024-09-10,can,english speaking dentist playa del carmen,0,2,0,10
2024-09-11,2024-09-17,can,english speaking dentist playa del carmen,0,1,0,11
2024-09-18,2024-09-24,can,carmen dental clinic,0,1,0,22
2024-09-25,2024-10-01,can,english speaking dentist playa del carmen,0,1,0,6
2024-10-02,2024-10-08,can,coral dental playa del carmen,0,1,0,33
2024-10-02,2024-10-08,can,dentist in playa del carmen,0,1,0,31
2024-10-09,2024-10-15,can,dental implants playa del carmen,0,2,0,10
2024-10-09,2024-10-15,can,dentist in playa del carmen,0,1,0,40
2024-10-09,2024-10-15,can,dentista playa del carmen,0,1,0,1
2024-10-16,2024-10-22,can,dental clinic playa del carmen,0,1,0,10
2024-10-16,2024-10-22,can,dental implants in playa del carmen,0,1,0,32
2024-10-16,2024-10-22,can,dental implants playa del carmen,0,2,0,10
2024-10-16,2024-10-22,can,dentist playa del carmen,0,1,0,45
2024-10-16,2024-10-22,can,playa del carmen dental implants,0,1,0,12
2024-10-23,2024-10-29,can,best dental implants playa del carmen,0,1,0,16
2024-10-23,2024-10-29,can,dental clinic playa del carmen,0,1,0,10
2024-10-23,2024-10-29,can,english speaking dentist playa del carmen,0,1,0,5
2024-10-23,2024-10-29,can,playa del carmen dental implants,0,1,0,11
2024-10-23,2024-10-29,can,playa del carmen dentist,0,1,0,41
2024-10-30,2024-11-05,can,coral dental playa del carmen,0,2,0,42.5
2024-10-30,2024-11-05,can,dental clinic playa del carmen,0,1,0,12
2024-10-30,2024-11-05,can,dental implants playa del carmen,0,1,0,12
2024-10-30,2024-11-05,can,playa del carmen dental,0,1,0,28
2024-10-30,2024-11-05,can,playa del carmen dentist,0,1,0,34
2024-11-06,2024-11-12,can,clinica dental playa del carmen,0,1,0,13
2024-11-06,2024-11-12,can,dental clinic playa del carmen,0,4,0,11
2024-11-06,2024-11-12,can,dental playa,0,1,0,10
2024-11-06,2024-11-12,can,dental treatment in playa del carmen,0,1,0,69
2024-11-06,2024-11-12,can,english speaking dentist playa del carmen,0,1,0,5
2024-11-06,2024-11-12,can,playa del carmen dentists prices,0,1,0,35
2024-11-13,2024-11-19,can,dental implants playa del carmen,1,1,1,11
2024-11-13,2024-11-19,can,dental treatment in playa del carmen,0,1,0,77
2024-11-20,2024-11-26,can,dental playa del carmen,0,1,0,36
2024-11-20,2024-11-26,can,english speaking dentist playa del carmen,0,1,0,5
2024-11-27,2024-12-03,can,dental playa del carmen,0,1,0,11
2024-11-27,2024-12-03,can,dentist in playa del carmen,0,1,0,19
2024-11-27,2024-12-03,can,english speaking dentist playa del carmen,0,1,0,5
2024-12-04,2024-12-10,can,dental implants playa del carmen,0,1,0,9
2024-12-11,2024-12-17,can,playa del carmen dental,0,1,0,40
2024-12-18,2024-12-24,can,dental clinic playa del carmen,0,1,0,11
2024-12-18,2024-12-24,can,dental implants in playa del carmen,0,1,0,13
2024-12-18,2024-12-24,can,dental implants playa del carmen,0,2,0,10
2024-12-18,2024-12-24,can,dental playa del carmen,0,1,0,10
2024-12-25,2024-12-31,can,dental implants in playa del carmen,0,2,0,13
2024-12-25,2024-12-31,can,playa del carmen dental,0,2,0,14
2024-12-25,2024-12-31,can,west coast international dental clinic,0,1,0,75
2025-01-01,2025-01-07,can,dentist playa del carmen,0,4,0,36.75
2025-01-01,2025-01-07,can,playa del carmen dentist,0,4,0,40
2025-01-01,2025-01-07,can,white coast restorative dentistry,0,1,0,15
2025-01-08,2025-01-14,can,best dentist in playa del carmen,0,1,0,28
2025-01-08,2025-01-14,can,best dentist playa del carmen,0,1,0,27
2025-01-08,2025-01-14,can,dental implants playa del carmen,0,1,0,15
2025-01-08,2025-01-14,can,dentist in playa del carmen,0,2,0,29
2025-01-08,2025-01-14,can,dentist playa del carmen,0,2,0,28
2025-01-08,2025-01-14,can,playa del carmen dental implants,0,1,0,20
