start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,yeah smile cancun,0,1,0,4
2024-05-08,2024-05-14,can,dental clinic cancun,0,2,0,97
2024-05-08,2024-05-14,can,dental clinic in cancun,0,1,0,81
2024-05-15,2024-05-21,can,dentist in cancun explains aesthetic dentistry,0,1,0,67
2024-05-22,2024-05-28,can,77500 text message,0,1,0,101
2024-05-29,2024-06-04,can,smile property,0,1,0,96
2024-06-05,2024-06-11,can,yeah smile,0,2,0,3
2024-06-05,2024-06-11,can,yeah smile cancun,0,1,0,7
2024-06-12,2024-06-18,can,dental makeover cancun smile center,0,1,0,91
2024-06-19,2024-06-25,can,2500 veneers cancun,0,1,0,55
2024-06-26,2024-07-02,can,yeah smile cancun,0,1,0,6
2024-07-03,2024-07-09,can,2500 veneers cancun,0,1,0,55
2024-07-03,2024-07-09,can,yeah smile cancun,0,3,0,7.333333333333333
2024-07-10,2024-07-16,can,dental makeover cancun smile center,0,1,0,92
2024-07-10,2024-07-16,can,yeah smile,0,1,0,4
2024-07-10,2024-07-16,can,yeahsmile,0,1,0,10
2024-07-17,2024-07-23,can,yeahsmile,0,2,0,11
2024-07-24,2024-07-30,can,77500 text message,0,2,0,18
2024-07-24,2024-07-30,can,yeah smile,0,2,0,4.5
2024-07-31,2024-08-06,can,yeah smile cancun,0,2,0,7.5
2024-07-31,2024-08-06,can,yeahsmile,0,1,0,8
2024-08-07,2024-08-13,can,77500 text message,0,2,0,16.5
2024-08-07,2024-08-13,can,yeah smile,0,1,0,8
2024-08-07,2024-08-13,can,yeahsmile,0,1,0,14
2024-08-14,2024-08-20,can,yeah smile cancun,0,1,0,5
2024-08-21,2024-08-27,can,77500 text message,0,1,0,24
2024-08-21,2024-08-27,can,best veneers cancun mexico,0,1,0,92
2024-08-28,2024-09-03,can,dental clinic cancun,0,1,0,99
2024-08-28,2024-09-03,can,yeah smile cancun,0,1,0,3
2024-09-04,2024-09-10,can,dental clinic cancun,0,1,0,97
2024-09-04,2024-09-10,can,dentist in cancun explains aesthetic dentistry,0,1,0,96
2024-09-11,2024-09-17,can,yeah smile cancun,0,1,0,8
2024-09-18,2024-09-24,can,yeah smile,0,1,0,6
2024-09-18,2024-09-24,can,yeah smile cancun,0,3,0,6.666666666666667
2024-09-25,2024-10-01,can,dental clinic cancun,0,2,0,67.5
2024-09-25,2024-10-01,can,yeah smile,0,1,0,5
2024-10-02,2024-10-08,can,yeah smile cancun,0,1,0,9
2024-10-09,2024-10-15,can,yeah smile cancun,0,1,0,8
2024-10-16,2024-10-22,can,dental clinic in cancun,0,1,0,94
2024-10-16,2024-10-22,can,dental clinics in cancun,0,1,0,86
2024-10-16,2024-10-22,can,yeah smile cancun,0,1,0,9
2024-10-23,2024-10-29,can,yeah smile cancun,0,1,0,5
2024-10-30,2024-11-05,can,yeah smile cancun,0,1,0,5
2024-11-06,2024-11-12,can,yeahsmile,0,1,0,4
2024-11-13,2024-11-19,can,dental clinic in cancun,0,1,0,83
2024-11-13,2024-11-19,can,yeah smile,0,2,0,3
2024-11-13,2024-11-19,can,yeahsmile cancun,0,2,0,4
2024-11-20,2024-11-26,can,dental clinic in cancun,0,2,0,80
2024-11-20,2024-11-26,can,yeah smile,0,2,0,1
2024-11-20,2024-11-26,can,yeah smile cancun,0,2,0,5.5
2024-11-20,2024-11-26,can,yeahsmile cancun,0,1,0,10
2024-11-27,2024-12-03,can,dental makeover cancun smile center,0,1,0,84
2024-11-27,2024-12-03,can,yeahsmile,0,1,0,12
2024-12-04,2024-12-10,can,yeahsmile,0,1,0,5
2024-12-11,2024-12-17,can,cancun iv sedation,0,1,0,65
2024-12-18,2024-12-24,can,yeah smile cancun,0,1,0,14
2024-12-18,2024-12-24,can,yeahsmile,0,1,0,5
2024-12-25,2024-12-31,can,yeah smile,0,1,0,3
2024-12-25,2024-12-31,can,yeahsmile,0,1,0,5
2025-01-01,2025-01-07,can,yeahsmile,0,1,0,7
2025-01-08,2025-01-14,can,yeah smile cancun,0,1,0,4
2025-01-15,2025-01-21,can,yeah smile,0,1,0,6
2025-01-22,2025-01-28,can,sinus lift cancun,0,1,0,61
2025-01-22,2025-01-28,can,yeah smile,0,1,0,4
2025-01-22,2025-01-28,can,yeah smile cancun,0,2,0,8
2025-01-29,2025-02-04,can,cancun 86,0,1,0,41
2025-01-29,2025-02-04,can,dental clinics in cancun mexico,0,1,0,68
2025-02-05,2025-02-11,can,dental care in cancun,0,2,0,79.5
2025-02-05,2025-02-11,can,yeah smile,0,1,0,5
2025-02-05,2025-02-11,can,yeah smile cancun,0,3,0,6
2025-02-05,2025-02-11,can,yeahsmile,0,2,0,9
2025-02-12,2025-02-18,can,yeah smile cancun,0,1,0,6
2025-02-19,2025-02-25,can,one destination clinic cancun,0,1,0,66
2025-02-19,2025-02-25,can,yeah smile cancun,0,3,0,8
