start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,cancun cares,0,1,0,18
2024-05-08,2024-05-14,can,cancun care,0,1,0,4
2024-05-08,2024-05-14,can,dental cancun,0,1,0,88
2024-05-08,2024-05-14,can,dental clinics in cancun mexico,0,1,0,90
2024-05-08,2024-05-14,can,dentist in cancun mexico,0,2,0,90
2024-05-15,2024-05-21,can,cancun cares,0,1,0,43
2024-05-15,2024-05-21,can,dental cancun,0,1,0,91
2024-05-15,2024-05-21,can,dental vacations cancun,0,1,0,87
2024-05-22,2024-05-28,can,cancun cares,0,1,0,20
2024-05-22,2024-05-28,can,dental vacations cancun,0,1,0,85
2024-05-29,2024-06-04,can,cancun dentists,0,1,0,90
2024-05-29,2024-06-04,can,dental care in cancun,0,1,0,50
2024-05-29,2024-06-04,can,dentists in cancun,0,2,0,81
2024-05-29,2024-06-04,can,why cancun for a dental trip new york resident,0,1,0,9
2024-06-05,2024-06-11,can,dental care in cancun,0,3,0,38
2024-06-05,2024-06-11,can,dental clinic cancun,0,1,0,92
2024-06-05,2024-06-11,can,dental clinic in cancun,0,1,0,89
2024-06-05,2024-06-11,can,dental clinics in cancun mexico,0,1,0,79
2024-06-05,2024-06-11,can,dental in cancun,0,1,0,90
2024-06-12,2024-06-18,can,cancun cares,0,1,0,5
2024-06-12,2024-06-18,can,dental care in cancun,0,1,0,36
2024-06-19,2024-06-25,can,cdc dental cancun,0,1,0,62
2024-06-19,2024-06-25,can,why cancun for a dental trip new york resident,0,1,0,13
2024-06-26,2024-07-02,can,what state is cancun in,0,1,0,1
2024-07-03,2024-07-09,can,what state is cancun in,0,2,0,1
2024-07-10,2024-07-16,can,one destination clinic,0,1,0,49
2024-07-17,2024-07-23,can,what state is cancun in,0,2,0,1
2024-07-24,2024-07-30,can,cancun best time to visit,0,1,0,1
2024-07-31,2024-08-06,can,cancun iv sedation,0,1,0,48
2024-07-31,2024-08-06,can,cancun medical tourism,0,1,0,91
2024-07-31,2024-08-06,can,what state is cancun in,0,1,0,1
2024-08-07,2024-08-13,can,18007787879,0,1,0,10
2024-08-07,2024-08-13,can,what state is cancun in,0,1,0,1
2024-08-14,2024-08-20,can,what state is cancun in,0,1,0,1
2024-08-21,2024-08-27,can,dental care in cancun,0,1,0,52
2024-08-21,2024-08-27,can,what state is cancun in,0,1,0,1
2024-08-28,2024-09-03,can,all inclusive dental packages mexico,0,1,0,53
2024-08-28,2024-09-03,can,cancun medical tourism,0,2,0,80.5
2024-08-28,2024-09-03,can,medical tourism cancun,0,1,0,69
2024-08-28,2024-09-03,can,medical vacations cancun,0,1,0,90
2024-08-28,2024-09-03,can,what state is cancun in,0,1,0,1
2024-09-04,2024-09-10,can,dental care in cancun,0,2,0,52
2024-09-04,2024-09-10,can,medical tourism cancun,0,1,0,71
2024-09-04,2024-09-10,can,medical vacations in cancun,0,1,0,99
2024-09-04,2024-09-10,can,veneers cost in cancun,0,1,0,89
2024-09-11,2024-09-17,can,dental care in cancun,0,2,0,74.5
2024-09-18,2024-09-24,can,cancun cares,0,1,0,34
2024-09-25,2024-10-01,can,cancun medical tourism,0,1,0,82
2024-09-25,2024-10-01,can,dental care in cancun,0,2,0,54.5
2024-09-25,2024-10-01,can,veneers cost in cancun,0,2,0,102.5
2024-10-02,2024-10-08,can,cancun medical tourism,0,1,0,99
2024-10-02,2024-10-08,can,dental care in cancun,0,2,0,52
2024-10-02,2024-10-08,can,medical tourism cancun mexico,0,5,0,99.2
2024-10-02,2024-10-08,can,veneers cost in cancun,0,1,0,103
