start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,guadalajara dentist,0,1,0,58
2024-05-08,2024-05-14,can,dental implants guadalajara mexico,0,1,0,44
2024-05-08,2024-05-14,can,teeth implants in guadalajara jalisco,0,1,0,53
2024-05-15,2024-05-21,can,guadalajara dental implants,0,1,0,34
2024-05-22,2024-05-28,can,guadalajara dental clinic,0,1,0,36
2024-05-29,2024-06-04,can,guadalajara dental clinic,0,1,0,29
2024-06-05,2024-06-11,can,teeth implants in guadalajara jalisco,0,1,0,31
2024-06-12,2024-06-18,can,teeth implants in guadalajara jalisco,0,1,0,34
2024-06-19,2024-06-25,can,guadalajara dental care,0,1,0,8
2024-06-26,2024-07-02,can,guadalajara dental,0,1,0,50
2024-06-26,2024-07-02,can,guadalajara dentist,0,1,0,45
2024-07-03,2024-07-09,can,guadalajara dental care,0,1,0,35
2024-07-03,2024-07-09,can,guadalajara dental implants,0,1,0,48
2024-07-10,2024-07-16,can,guadalajara dental clinic,0,1,0,31
2024-07-17,2024-07-23,can,best neighborhoods to stay in guadalajara,0,1,0,1
2024-07-17,2024-07-23,can,guadalajara dental,0,1,0,39
2024-07-17,2024-07-23,can,guadalajara dental clinic,0,1,0,40
2024-07-24,2024-07-30,can,guadalajara dental clinic,0,1,0,29
2024-07-31,2024-08-06,can,dental city zapopan,0,1,0,21
