start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,dr berron,0,1,0,1
2024-05-08,2024-05-14,can,dr berron,0,1,0,6
2024-05-15,2024-05-21,can,dentista en cancun,0,1,0,63
2024-05-22,2024-05-28,can,dentists cancun,0,1,0,95
2024-05-29,2024-06-04,can,cancun dentista,0,1,0,94
2024-06-05,2024-06-11,can,dentists cancun,0,2,0,101.5
2024-06-12,2024-06-18,can,dentist in cancun mexico,0,1,0,101
2024-06-19,2024-06-25,can,dental implant cancun,0,1,0,94
2024-06-26,2024-07-02,can,dentist cancun,0,1,0,87
2024-06-26,2024-07-02,can,dentist cancun mexico,0,1,0,83
2024-07-03,2024-07-09,can,dentist cancun,0,2,0,82
2024-07-03,2024-07-09,can,dentista en cancun,0,1,0,68
2024-07-10,2024-07-16,can,dentist in cancun mexico,0,1,0,64
2024-07-10,2024-07-16,can,dentistas en cancún,0,1,0,100
2024-07-10,2024-07-16,can,dentists cancun mexico,0,1,0,84
2024-07-17,2024-07-23,can,cancun dentist,0,1,0,85
2024-07-17,2024-07-23,can,dentist cancun mexico,0,1,0,78
2024-07-17,2024-07-23,can,dentists cancun,0,1,0,88
2024-07-24,2024-07-30,can,dental clinic cancun photos,0,1,0,75
2024-07-31,2024-08-06,can,joaquin dental clinic,0,1,0,55
2024-08-07,2024-08-13,can,cosmetic dentistry cancun,0,1,0,88
2024-08-14,2024-08-20,can,dentist in cancun,0,1,0,15
2024-08-21,2024-08-27,can,joaquin berron,1,1,1,1
2024-08-21,2024-08-27,can,brio dental mexico,0,1,0,49
2024-08-21,2024-08-27,can,dental clinics in cancun mexico,0,1,0,101
2024-08-21,2024-08-27,can,dentist in cancun mexico,0,1,0,14
2024-08-28,2024-09-03,can,dental clinics in cancun mexico,0,1,0,84
2024-08-28,2024-09-03,can,dental implants cancun mx,0,1,0,57
2024-09-04,2024-09-10,can,dental clinics in cancun mexico,0,1,0,89
2024-09-04,2024-09-10,can,dentist cancun mx,0,1,0,17
2024-09-11,2024-09-17,can,cancun sedation dentistry,0,1,0,61
2024-09-11,2024-09-17,can,dentist in cancun,0,1,0,18
2024-09-11,2024-09-17,can,dentist in cancun mexico,0,1,0,14
2024-09-18,2024-09-24,can,dental clinics in cancun mexico,0,1,0,100
2024-09-25,2024-10-01,can,implant cancun,0,1,0,94
2024-10-02,2024-10-08,can,cancun dentist,0,1,0,18
2024-10-09,2024-10-15,can,joaquin berron,1,3,0.3333333333333333,1.6666666666666665
2024-10-16,2024-10-22,can,implants cancun,0,1,0,98
2024-10-23,2024-10-29,can,cancun dentist review,0,1,0,72
2024-10-23,2024-10-29,can,dental implants in mexico cancun,0,1,0,98
2024-10-30,2024-11-05,can,cancun dentistry reviews,0,1,0,79
2024-10-30,2024-11-05,can,dental implant cancun,0,1,0,99
2024-10-30,2024-11-05,can,dentist in cancun mexico,0,1,0,39
2024-10-30,2024-11-05,can,implants cancun,0,3,0,100.33333333333333
2024-10-30,2024-11-05,can,prosthodontist mexico,0,1,0,10
2024-10-30,2024-11-05,can,top-rated dentists in mexico,0,1,0,94
2024-11-06,2024-11-12,can,implants cancun,0,3,0,99.33333333333333
2024-11-13,2024-11-19,can,prosthodontics mexico,0,1,0,12
