start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,dental alvarez tijuana,0,1,0,18
2024-05-08,2024-05-14,can,minimally invasive dentist tijuana,0,1,0,7
2024-05-15,2024-05-21,can,minimally invasive dentist tijuana,0,1,0,8
2024-05-22,2024-05-28,can,ricardo álvarez,0,1,0,1
2024-05-29,2024-06-04,can,alvarez dental tijuana,0,1,0,21
2024-05-29,2024-06-04,can,ricardo álvarez,0,1,0,1
2024-06-05,2024-06-11,can,minimally invasive dentist tijuana,0,1,0,7
2024-06-05,2024-06-11,can,ricardo álvarez,0,1,0,1
2024-06-12,2024-06-18,can,minimally invasive dentist tijuana,0,1,0,7
2024-06-19,2024-06-25,can,dental alvarez,0,1,0,94
2024-06-26,2024-07-02,can,dr implant dentist tijuana,0,1,0,97
2024-07-03,2024-07-09,can,alvarez dental tijuana,0,1,0,15
2024-07-10,2024-07-16,can,alvarez dental tijuana,0,1,0,14
2024-07-17,2024-07-23,can,minimally invasive dentist tijuana,0,1,0,9
2024-07-24,2024-07-30,can,alvarez dental tijuana,0,1,0,20
2024-07-31,2024-08-06,can,dental alvarez tijuana,0,1,0,18
2024-08-07,2024-08-13,can,dr. implant - dentista en tijuana,0,2,0,79.5
2024-08-14,2024-08-20,can,dr mexico tijuana dentist,0,1,0,65
2024-08-21,2024-08-27,can,advanced smile dentistry tijuana,0,1,0,29
2024-08-21,2024-08-27,can,clinica dental alvarez,0,1,0,39
2024-08-21,2024-08-27,can,dr alvarez tijuana,0,1,0,5
2024-08-28,2024-09-03,can,alvarez dental tijuana,0,2,0,9.5
2024-08-28,2024-09-03,can,dr. implant tijuana - dentista en tijuana reviews,0,1,0,25
2024-09-04,2024-09-10,can,aesthetics treatments tijuana,0,1,0,101
2024-09-11,2024-09-17,can,gastroenterologo tijuana zona rio,0,1,0,73
2024-09-11,2024-09-17,can,minimally invasive dentist tijuana,0,1,0,6
2024-09-18,2024-09-24,can,aesthetics treatments tijuana,0,3,0,91.66666666666667
2024-09-25,2024-10-01,can,aesthetics treatments tijuana,0,1,0,91
2024-09-25,2024-10-01,can,dentistry in tijuana,0,1,0,67
2024-10-02,2024-10-08,can,dr alvarez tijuana,0,1,0,5
2024-10-09,2024-10-15,can,dental alvarez tijuana,0,1,0,11
2024-10-09,2024-10-15,can,dr alvarez tijuana,0,1,0,4
2024-10-16,2024-10-22,can,dental alvarez,0,1,0,30
