start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,all in 4,0,1,0,77
2024-05-08,2024-05-14,can,4 on all,0,1,0,75
2024-05-08,2024-05-14,can,all in 4,0,1,0,86
2024-05-15,2024-05-21,can,all for 4,0,1,0,152
2024-05-22,2024-05-28,can,all in 4,0,1,0,118
2024-05-29,2024-06-04,can,4 on all,0,1,0,101
2024-06-05,2024-06-11,can,4 on all,0,1,0,97
2024-06-12,2024-06-18,can,18007787879,0,1,0,5
2024-06-19,2024-06-25,can,care mexico,0,1,0,10
2024-06-26,2024-07-02,can,all on four monterrey,0,1,0,21
2024-06-26,2024-07-02,can,all-on-4 mobile al,0,1,0,37
2024-07-03,2024-07-09,can,english speaking dentist mexico city,0,5,0,11.4
2024-07-10,2024-07-16,can,all on 4 dental implants,0,1,0,83
2024-07-17,2024-07-23,can,all on four monterrey,0,1,0,20
2024-07-24,2024-07-30,can,all on 4,0,1,0,73
2024-07-31,2024-08-06,can,all on four,0,2,0,89
