start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,15000 crowns to usd,0,1,0,44
2024-05-08,2024-05-14,can,15000 crowns to usd,0,1,0,57
2024-05-15,2024-05-21,can,8000 crowns to usd,0,2,0,46.5
2024-05-22,2024-05-28,can,8000 crowns to usd,0,1,0,46
2024-05-29,2024-06-04,can,crowns,0,1,0,87
2024-06-05,2024-06-11,can,crowns,0,1,0,84
2024-06-12,2024-06-18,can,crowns,0,1,0,78
2024-06-19,2024-06-25,can,crowns,0,1,0,97
2024-06-26,2024-07-02,can,crowns,0,1,0,78
2024-06-26,2024-07-02,can,english speaking dentist mexico city,0,5,0,11.4
2024-07-03,2024-07-09,can,crowns,0,10,0,80.1
2024-07-10,2024-07-16,can,crowns,0,15,0,87.6
2024-07-10,2024-07-16,can,crowns definition,0,1,0,58
2024-07-17,2024-07-23,can,crowns,0,4,0,86.75
2024-07-17,2024-07-23,can,what is crowns,0,1,0,77
2024-07-24,2024-07-30,can,crowns,0,1,0,69
2024-07-31,2024-08-06,can,crowns,0,1,0,60
2024-07-31,2024-08-06,can,what is a crown for teeth,0,1,0,87
2024-07-31,2024-08-06,can,what is crown,0,1,0,83
2024-08-07,2024-08-13,can,crowns,0,5,0,75.6
2024-08-14,2024-08-20,can,crowns,0,5,0,79
2024-08-21,2024-08-27,can,crowns,0,6,0,82.33333333333333
2024-08-21,2024-08-27,can,what is crowns for teeth,0,1,0,60
2024-08-28,2024-09-03,can,crowns,0,1,0,81
2024-08-28,2024-09-03,can,what are crowns,0,1,0,43
2024-09-04,2024-09-10,can,crowns,0,2,0,76
2024-09-11,2024-09-17,can,crowns,0,2,0,100
2024-09-18,2024-09-24,can,crowns,0,7,0,75.28571428571429
2024-09-18,2024-09-24,can,crowns definition,0,1,0,53
2024-09-25,2024-10-01,can,crowns,0,11,0,66
2024-09-25,2024-10-01,can,crowns teeth,0,1,0,95
2024-09-25,2024-10-01,can,what is crowns,0,2,0,71.5
2024-10-02,2024-10-08,can,crowns,0,4,0,66.75
2024-10-02,2024-10-08,can,what is a crown for teeth,0,1,0,100
2024-10-09,2024-10-15,can,crowns,0,5,0,74.2
2024-10-16,2024-10-22,can,what is crowns,0,1,0,96
2024-10-23,2024-10-29,can,crowns,0,3,0,76.33333333333333
2024-10-30,2024-11-05,can,crowns,0,2,0,75.5
2024-11-06,2024-11-12,can,crowns,0,1,0,56
2024-11-13,2024-11-19,can,crowns,0,5,0,72.8
2024-11-20,2024-11-26,can,crowns,0,3,0,74.66666666666667
2024-11-20,2024-11-26,can,crowns teeth,0,1,0,79
2024-11-27,2024-12-03,can,what are crowns,0,1,0,40
2024-12-04,2024-12-10,can,crowns,0,2,0,77.5
2024-12-11,2024-12-17,can,what are crowns,0,2,0,43
2024-12-18,2024-12-24,can,crowns,0,1,0,75
2024-12-25,2024-12-31,can,what are crowns,0,2,0,48.5
