start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,chl,best dentist in mexico,0,1,0,98
2024-05-08,2024-05-14,chl,top dental cities in mexico,0,1,0,58
2024-05-15,2024-05-21,chl,best dentists mexico,0,1,0,71
2024-05-22,2024-05-28,chl,mexico city dental implants,0,1,0,77
2024-05-29,2024-06-04,chl,best city in mexico for dental work,0,1,0,48
2024-06-05,2024-06-11,chl,dental tourism in mexico,0,1,0,85
2024-06-12,2024-06-18,chl,best city in mexico for dental work,0,1,0,54
2024-06-19,2024-06-25,chl,top dental cities in mexico,0,1,0,56
2024-06-26,2024-07-02,chl,veneers mexico city,0,1,0,35
2024-07-03,2024-07-09,chl,dental town mexico,0,1,0,79
2024-07-10,2024-07-16,chl,beautiful hotels in mexico city,0,1,0,81
2024-07-17,2024-07-23,chl,veneers in mexico city,0,1,0,45
