start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,chl,dentist playa del carmen,0,1,0,57
2024-05-08,2024-05-14,chl,best dental implants playa del carmen,0,1,0,60
2024-05-15,2024-05-21,chl,best dental implants playa del carmen,0,1,0,29
2024-05-15,2024-05-21,chl,dental implants in playa del carmen,0,1,0,34
2024-05-15,2024-05-21,chl,dentist playa del carmen,0,1,0,25
2024-05-22,2024-05-28,chl,dental implants in playa del carmen,0,1,0,33
2024-05-22,2024-05-28,chl,playa del carmen dentists prices,0,1,0,52
2024-05-29,2024-06-04,chl,dental clinics in playa del carmen,0,1,0,16
2024-06-05,2024-06-11,chl,playa del carmen dentist,0,1,0,33
2024-06-12,2024-06-18,chl,dental treatment in playa del carmen,0,2,0,18
2024-06-12,2024-06-18,chl,playa del carmen dentists prices,0,1,0,34
2024-06-19,2024-06-25,chl,best dental implants playa del carmen,0,3,0,25.666666666666668
2024-06-26,2024-07-02,chl,dentist playa del carmen,0,1,0,39
2024-07-03,2024-07-09,chl,dental implants in playa del carmen,0,3,0,13.666666666666666
2024-07-10,2024-07-16,chl,dental implants in playa del carmen,0,1,0,29
2024-07-17,2024-07-23,chl,dental treatment in playa del carmen,0,2,0,73.5
2024-07-24,2024-07-30,chl,dental clinics in playa del carmen,0,1,0,70
2024-07-24,2024-07-30,chl,playa del carmen dental,0,1,0,41
