start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,chl,gustavo covarrubias,0,1,0,24
2024-05-08,2024-05-14,chl,gustavo covarrubias,0,2,0,1
2024-05-15,2024-05-21,chl,gustavo covarrubias,0,2,0,1
2024-05-22,2024-05-28,chl,gustavo covarrubias,0,1,0,1
2024-05-29,2024-06-04,chl,gustavo covarrubias,0,1,0,1
2024-06-05,2024-06-11,chl,gustavo covarrubias,0,1,0,1
2024-06-12,2024-06-18,chl,gustavo covarrubias,0,1,0,1
2024-06-19,2024-06-25,chl,gustavo covarrubias,0,1,0,1
2024-06-26,2024-07-02,chl,gustavo covarrubias,0,3,0,3.6666666666666665
2024-07-03,2024-07-09,chl,gustavo covarrubias,0,2,0,1.5
