start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,chl,dentists cancun,0,1,0,98
2024-05-08,2024-05-14,chl,dentist in cancun,0,1,0,97
2024-05-08,2024-05-14,chl,dentists cancun,0,1,0,93
2024-05-15,2024-05-21,chl,cancun dentist,0,1,0,89
2024-05-22,2024-05-28,chl,dentist in cancun,0,1,0,91
2024-05-22,2024-05-28,chl,dentista en cancun,0,1,0,87
2024-05-29,2024-06-04,chl,dentists in cancun,0,1,0,96
2024-06-05,2024-06-11,chl,cancun dentist,0,1,0,63
2024-06-05,2024-06-11,chl,cancun implant dentistry,0,1,0,81
2024-06-12,2024-06-18,chl,cancun dentista,0,1,0,56
2024-06-19,2024-06-25,chl,dentists cancun mexico,0,1,0,77
2024-06-26,2024-07-02,chl,dentist cancun mx,0,1,0,17
2024-07-03,2024-07-09,chl,dentist in cancun mexico,0,1,0,17
2024-07-03,2024-07-09,chl,dentists cancun,0,1,0,31
2024-07-10,2024-07-16,chl,porcelain veneers cancun mexico,0,1,0,102
2024-07-17,2024-07-23,chl,dental implants cancun mx,0,1,0,70
2024-07-24,2024-07-30,chl,dentist in cancun,0,1,0,17
2024-07-24,2024-07-30,chl,dentist in cancun mexico,0,1,0,16
2024-07-31,2024-08-06,chl,dentistry in cancun,0,1,0,55
