start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,col,eliezer brecher,0,1,0,3
2024-05-08,2024-05-14,col,globalcare,0,1,0,49
2024-05-15,2024-05-21,col,globalcare,0,1,0,12
2024-05-22,2024-05-28,col,global care,0,1,0,1
2024-05-22,2024-05-28,col,global care services inc,0,1,0,66
2024-05-29,2024-06-04,col,global care network,0,1,0,7
2024-05-29,2024-06-04,col,globalcare,0,1,0,38
2024-06-05,2024-06-11,col,global care,0,1,0,2
2024-06-05,2024-06-11,col,global care network,0,1,0,8
2024-06-05,2024-06-11,col,globalcare,0,1,0,17
2024-06-12,2024-06-18,col,global care,0,1,0,33
2024-06-19,2024-06-25,col,global care,0,1,0,93
2024-06-26,2024-07-02,col,globalcare,0,1,0,10
2024-07-03,2024-07-09,col,customer global care,0,1,0,6
2024-07-10,2024-07-16,col,globalcare,0,1,0,2
