start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,col,dental implant mexico,0,1,0,94
2024-05-01,2024-05-07,col,dental implants in mexico,0,1,0,88
2024-05-08,2024-05-14,col,dental implants in mexico,0,2,0,86
2024-05-08,2024-05-14,col,mexico dental implant,0,1,0,97
2024-05-08,2024-05-14,col,mexico dental implants,0,1,0,86
2024-05-15,2024-05-21,col,implants mexico,0,1,0,93
2024-05-15,2024-05-21,col,mexico dental implants reviews,0,1,0,85
2024-05-22,2024-05-28,col,cheap implants mexico,0,1,0,99
2024-05-22,2024-05-28,col,dental implant mexico,0,1,0,81
2024-05-29,2024-06-04,col,cheap dental implants mexico,0,1,0,87
2024-06-05,2024-06-11,col,dental implants in mexico,0,1,0,70
2024-06-12,2024-06-18,col,cheap dental implants mexico,0,1,0,88
2024-06-19,2024-06-25,col,cheap dental implants mexico,0,1,0,84
2024-06-19,2024-06-25,col,dental implants in mexico,0,2,0,80.5
2024-06-19,2024-06-25,col,dental implants in méxico,0,1,0,81
2024-06-19,2024-06-25,col,mexico dental implants,0,1,0,89
2024-06-26,2024-07-02,col,dental implant mexico,0,1,0,100
2024-06-26,2024-07-02,col,dental implants in mexico,0,2,0,71.5
2024-07-03,2024-07-09,col,dental implants mexico review,0,1,0,76
2024-07-10,2024-07-16,col,best dental implants in mexico,0,1,0,67
2024-07-10,2024-07-16,col,cheap implants mexico,0,1,0,89
2024-07-10,2024-07-16,col,dental implants in mexico,0,1,0,70
2024-07-17,2024-07-23,col,cheap implants mexico,0,1,0,89
2024-07-17,2024-07-23,col,mexico dental implants reviews,0,1,0,86
2024-07-24,2024-07-30,col,dental implants in mexico,0,2,0,71.5
2024-07-24,2024-07-30,col,dental implants mexico,0,1,0,91
2024-07-24,2024-07-30,col,mexican dental implants,0,1,0,59
2024-07-24,2024-07-30,col,mexico for dental implants,0,1,0,56
2024-07-31,2024-08-06,col,dental implant mexico,0,1,0,68
2024-07-31,2024-08-06,col,dental implants in mexico,0,1,0,68
2024-07-31,2024-08-06,col,dental implants mexico review,0,1,0,62
2024-07-31,2024-08-06,col,mexico for dental implants,0,1,0,39
2024-08-07,2024-08-13,col,best dental implants in mexico,0,1,0,65
2024-08-07,2024-08-13,col,dental implants in mexico,0,2,0,64.5
2024-08-07,2024-08-13,col,dental implants mexico,0,1,0,72
2024-08-07,2024-08-13,col,mexico dental implant,0,1,0,66
2024-08-14,2024-08-20,col,cost of dental implants in mexico,0,1,0,93
2024-08-14,2024-08-20,col,dental implants in mexico,0,2,0,61
2024-08-14,2024-08-20,col,mexico dental implant,0,1,0,65
2024-08-21,2024-08-27,col,cheap dental implants mexico,0,1,0,89
2024-08-21,2024-08-27,col,dental implants in mexico,0,1,0,92
2024-08-21,2024-08-27,col,mexico dental implants,0,2,0,70
2024-08-28,2024-09-03,col,dental implants in mexico,0,1,0,61
2024-08-28,2024-09-03,col,implants mexico,0,1,0,96
2024-09-04,2024-09-10,col,are dental implants abroad safe,0,1,0,63
2024-09-04,2024-09-10,col,best mexican dental implants,0,1,0,74
2024-09-04,2024-09-10,col,cheap dental implants mexico,0,1,0,95
2024-09-04,2024-09-10,col,dental implants in mexico,0,2,0,70
2024-09-04,2024-09-10,col,mexican implants,0,1,0,73
2024-09-11,2024-09-17,col,best place in mexico for dental implants,0,1,0,75
2024-09-11,2024-09-17,col,dental implants in méxico,0,1,0,73
2024-09-11,2024-09-17,col,mexico for dental implants,0,1,0,54
2024-09-18,2024-09-24,col,dental implants in mexico,0,1,0,74
2024-09-18,2024-09-24,col,mexico dental implants,0,1,0,80
2024-09-18,2024-09-24,col,tooth implant mexico,0,1,0,89
2024-09-25,2024-10-01,col,dental implants in mexico city,0,1,0,59
2024-09-25,2024-10-01,col,implants in mexico,0,1,0,69
2024-10-02,2024-10-08,col,dental implants in mexico,0,2,0,77
2024-10-02,2024-10-08,col,mexico dentist implants,0,1,0,76
2024-10-09,2024-10-15,col,cost of dental implants in mexico,0,1,0,98
2024-10-09,2024-10-15,col,dental implant in mexico,0,1,0,57
2024-10-09,2024-10-15,col,mexico for dental implants,0,1,0,70
2024-10-16,2024-10-22,col,cheap dental implants mexico,0,1,0,89
2024-10-16,2024-10-22,col,dental implant in mexico,0,1,0,56
2024-10-16,2024-10-22,col,dental implants in mexico,0,1,0,60
2024-10-16,2024-10-22,col,mexico teeth implants,0,1,0,73
2024-10-23,2024-10-29,col,best dental implants in mexico,0,1,0,74
2024-10-23,2024-10-29,col,dental implant mexico,0,1,0,73
2024-10-23,2024-10-29,col,dental implants mexico,0,1,0,73
2024-10-30,2024-11-05,col,best implants mexico,0,1,0,55
2024-10-30,2024-11-05,col,cheap implants mexico,0,1,0,83
2024-10-30,2024-11-05,col,getting dental implants in mexico,0,1,0,30
2024-10-30,2024-11-05,col,how much does it cost to get dental implants in mexico,0,1,0,76
2024-11-06,2024-11-12,col,best implants mexico,0,1,0,63
2024-11-06,2024-11-12,col,cost of dental implants mexico,0,1,0,101
2024-11-06,2024-11-12,col,implants mexico,0,1,0,71
2024-11-06,2024-11-12,col,mexico dental implants,0,1,0,57
2024-11-13,2024-11-19,col,dental implants in mexico,0,1,0,44
2024-11-13,2024-11-19,col,is it safe to get dental implants in mexico,0,1,0,33
2024-11-20,2024-11-26,col,dental implant in mexico,0,1,0,50
2024-11-20,2024-11-26,col,dental implants mexico,0,1,0,55
2024-11-20,2024-11-26,col,dental implants mexico review,0,1,0,42
2024-11-20,2024-11-26,col,how much are dental implants in mexico,0,2,0,96
2024-11-20,2024-11-26,col,implants mexico dental,0,1,0,69
2024-11-20,2024-11-26,col,price of dental implants in mexico,0,1,0,99
2024-11-27,2024-12-03,col,dental implants in mexico,0,1,0,47
2024-11-27,2024-12-03,col,dental implants mexico review,0,1,0,43
2024-11-27,2024-12-03,col,denture implants mexico,0,1,0,77
2024-11-27,2024-12-03,col,mexican dental tourism,0,1,0,77
2024-11-27,2024-12-03,col,mexico tooth implant,0,1,0,71
2024-12-04,2024-12-10,col,dental implants in mexico,0,1,0,95
2024-12-04,2024-12-10,col,mexican dental vacation,0,1,0,67
2024-12-04,2024-12-10,col,mexico for dental implants,0,1,0,33
2024-12-11,2024-12-17,col,cost of dental implants in mexico,0,1,0,41
2024-12-11,2024-12-17,col,dental implants in mexico reviews,0,1,0,53
2024-12-18,2024-12-24,col,dental implants in mexico,0,2,0,51
2024-12-18,2024-12-24,col,mexican implants,0,1,0,48
2024-12-18,2024-12-24,col,mexico dental implants reviews,0,1,0,64
2024-12-25,2024-12-31,col,dental in mexico implants,0,1,0,88
2024-12-25,2024-12-31,col,how much are dental implants in mexico,0,2,0,78.5
2025-01-01,2025-01-07,col,affordable implants mexico,0,1,0,48
2025-01-01,2025-01-07,col,mexican implants,0,1,0,57
2025-01-08,2025-01-14,col,mexico tooth implant,0,1,0,50
2025-01-15,2025-01-21,col,mexico dental implants cost,0,1,0,85
2025-01-22,2025-01-28,col,best implants mexico,0,1,0,64
2025-01-22,2025-01-28,col,dental implant mexico,0,1,0,63
2025-01-29,2025-02-04,col,should i get veneers in mexico,0,1,0,92
2025-02-05,2025-02-11,col,denture implants mexico,0,1,0,65
2025-02-12,2025-02-18,col,should i get veneers in mexico,0,2,0,72
2025-02-19,2025-02-25,col,dental implants in mexico reviews,0,1,0,44
2025-02-19,2025-02-25,col,dentist in mexico implants,0,1,0,99
2025-02-19,2025-02-25,col,getting dental implants in mexico,0,1,0,15
2025-02-19,2025-02-25,col,is it safe to get dental implants in mexico,0,1,0,41
2025-02-19,2025-02-25,col,mexican dental implants,0,1,0,49
2025-02-19,2025-02-25,col,should i get veneers in mexico,0,1,0,71
2025-02-26,2025-03-04,col,best dentist in mexico dental implants,0,1,0,86
2025-02-26,2025-03-04,col,dental implants in mexico cheap,0,2,0,74
2025-02-26,2025-03-04,col,dental implants mexico border,0,2,0,62.5
2025-03-05,2025-03-11,col,mexican dental implants,0,1,0,32
2025-03-12,2025-03-18,col,best dentist in mexico dental implants,0,2,0,75
2025-03-12,2025-03-18,col,dental implant mexico review,0,1,0,40
2025-03-12,2025-03-18,col,dental implants in mexico cheap,0,1,0,69
2025-03-19,2025-03-25,col,dental implants in mexico cheap,0,1,0,41
2025-03-19,2025-03-25,col,dental implants mexico review,0,1,0,42
2025-03-19,2025-03-25,col,how much are dental implants in mexico,0,1,0,60
2025-03-26,2025-04-01,col,should i get veneers in mexico,0,1,0,91
2025-04-02,2025-04-08,col,dental implants in mexico cheap,0,1,0,64
2025-04-02,2025-04-08,col,denture implants mexico,0,1,0,71
2025-04-09,2025-04-15,col,best dentist in mexico dental implants,0,1,0,70
2025-04-09,2025-04-15,col,dental implant in mexico,0,1,0,61
2025-04-09,2025-04-15,col,dental implants in méxico,0,1,0,55
2025-04-16,2025-04-22,col,implants mexico dental,0,1,0,89
2025-04-23,2025-04-29,col,mexico dentist implants,0,1,0,57
2025-04-30,2025-05-06,col,affordable dental implants in mexico,0,1,0,56
2025-04-30,2025-05-06,col,dental implant mexico review,0,1,0,50
2025-05-07,2025-05-13,col,dental implants mexico border,0,1,0,63
2025-05-07,2025-05-13,col,price for dental implants in mexico,0,2,0,91.5
2025-05-14,2025-05-20,col,dental implants in méxico,0,1,0,48
