start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,col,cancun veneers cost,0,2,0,43
2024-05-01,2024-05-07,col,getting veneers in mexico,0,1,0,18
2024-05-01,2024-05-07,col,how much do veneers cost in mexico,0,2,0,43.5
2024-05-01,2024-05-07,col,mexico veneers price,0,1,0,49
2024-05-01,2024-05-07,col,porcelain veneers cost in mexico,0,1,0,44
2024-05-01,2024-05-07,col,porcelain veneers mexico,0,1,0,42
2024-05-01,2024-05-07,col,veneers cost mexico city,0,1,0,44
2024-05-01,2024-05-07,col,veneers in cancun mexico cost,0,1,0,23
2024-05-01,2024-05-07,col,veneers in mexico cancun,0,1,0,37
2024-05-08,2024-05-14,col,cancun veneers cost,0,1,0,42
2024-05-08,2024-05-14,col,mexico veneers cost,0,1,0,45
2024-05-08,2024-05-14,col,porcelain veneers cancun mexico,0,2,0,41.5
2024-05-08,2024-05-14,col,veneers cancun,0,1,0,59
2024-05-08,2024-05-14,col,veneers cost abroad,0,1,0,36
2024-05-08,2024-05-14,col,veneers in mexico price,0,1,0,51
2024-05-08,2024-05-14,col,veneers mexico,0,1,0,53
2024-05-15,2024-05-21,col,dental veneers in mexico,0,1,0,50
2024-05-15,2024-05-21,col,porcelain veneers in mexico,0,1,0,37
2024-05-15,2024-05-21,col,teeth veneers cost mexico,0,1,0,55
2024-05-15,2024-05-21,col,veneers cancun,0,1,0,57
2024-05-15,2024-05-21,col,veneers in cancun,0,1,0,44
2024-05-15,2024-05-21,col,veneers in cancun mexico,0,1,0,40
2024-05-15,2024-05-21,col,veneers in cancun mexico cost,0,1,0,39
2024-05-22,2024-05-28,col,before and after veneers in mexico,0,1,0,72
2024-05-22,2024-05-28,col,how much are veneers in cancun,0,1,0,35
2024-05-22,2024-05-28,col,porcelain veneers cancun mexico,0,1,0,36
2024-05-22,2024-05-28,col,porcelain veneers mexico,0,2,0,47
2024-05-22,2024-05-28,col,veneers in cancun mexico,0,1,0,36
2024-05-22,2024-05-28,col,veneers in cancun mexico cost,0,2,0,35
2024-05-29,2024-06-04,col,cancun mexico veneers,0,1,0,39
2024-05-29,2024-06-04,col,cancun veneers,0,1,0,51
2024-05-29,2024-06-04,col,how much do veneers cost in mexico,0,1,0,43
2024-05-29,2024-06-04,col,porcelain veneers cancun mexico,0,1,0,39
2024-05-29,2024-06-04,col,veneers cancun,0,2,0,51
2024-05-29,2024-06-04,col,veneers cancun cost,0,1,0,22
2024-05-29,2024-06-04,col,veneers cancun mexico,0,2,0,38.5
2024-05-29,2024-06-04,col,veneers in cancun mexico,0,1,0,37
2024-05-29,2024-06-04,col,veneers in cancun mexico cost,0,1,0,45
2024-06-05,2024-06-11,col,cancun veneers cost,0,2,0,41
2024-06-05,2024-06-11,col,veneers cancun,0,1,0,55
2024-06-05,2024-06-11,col,veneers cancun cost,0,1,0,25
2024-06-05,2024-06-11,col,veneers cost cancun,0,2,0,25
2024-06-05,2024-06-11,col,veneers cost in mexico,0,1,0,41
2024-06-05,2024-06-11,col,veneers in cancun mexico,0,1,0,36
2024-06-05,2024-06-11,col,veneers in cancun mexico cost,0,1,0,37
2024-06-05,2024-06-11,col,veneers mexico,0,1,0,46
2024-06-12,2024-06-18,col,cancun teeth veneers,0,1,0,79
2024-06-12,2024-06-18,col,veneers cost cancun,0,1,0,28
2024-06-12,2024-06-18,col,veneers in cancun,0,1,0,39
2024-06-12,2024-06-18,col,veneers in cancun mexico cost,0,1,0,40
2024-06-12,2024-06-18,col,veneers in mexico,0,1,0,36
2024-06-19,2024-06-25,col,cancun mexico veneers,0,1,0,51
2024-06-19,2024-06-25,col,cost of veneers in mexico,0,1,0,42
2024-06-19,2024-06-25,col,how much are veneers in cancun,0,1,0,40
2024-06-19,2024-06-25,col,how much is a full set of veneers in mexico,0,1,0,39
2024-06-19,2024-06-25,col,porcelain veneers cancun mexico,0,1,0,50
2024-06-19,2024-06-25,col,veneers in cancun,0,1,0,55
2024-06-19,2024-06-25,col,veneers in mexico,0,1,0,35
2024-06-26,2024-07-02,col,best place to get veneers in mexico,0,1,0,36
2024-06-26,2024-07-02,col,cancun mexico veneers,0,1,0,55
2024-06-26,2024-07-02,col,cancun veneers cost,0,1,0,49
2024-06-26,2024-07-02,col,porcelain veneers cancun mexico,0,1,0,52
2024-06-26,2024-07-02,col,should i get veneers in mexico,0,1,0,11
2024-06-26,2024-07-02,col,veneers cancun mexico,0,2,0,52
2024-06-26,2024-07-02,col,veneers in cancun mexico cost,0,1,0,43
2024-06-26,2024-07-02,col,veneers in mexico cancun,0,1,0,41
2024-07-03,2024-07-09,col,cancun mexico veneers,0,1,0,56
2024-07-03,2024-07-09,col,dental bonding cost in mexico,0,1,0,64
2024-07-03,2024-07-09,col,dental veneers in cancun,0,1,0,79
2024-07-03,2024-07-09,col,dental veneers in cancun mexico,0,1,0,60
2024-07-03,2024-07-09,col,mexico porcelain veneers,0,1,0,67
2024-07-03,2024-07-09,col,mexico veneers,0,1,0,63
2024-07-03,2024-07-09,col,porcelain veneers cost in mexico,0,1,0,40
2024-07-03,2024-07-09,col,porcelain veneers cost mexico,0,1,0,43
2024-07-03,2024-07-09,col,veneers cancun mexico,0,1,0,51
2024-07-03,2024-07-09,col,veneers in cancun mexico,0,1,0,50
2024-07-03,2024-07-09,col,veneers in mexico prices,0,1,0,45
2024-07-10,2024-07-16,col,cancun veneers,0,1,0,84
2024-07-10,2024-07-16,col,cancun veneers cost,0,1,0,50
2024-07-10,2024-07-16,col,is it safe to get veneers in mexico,0,1,0,8
2024-07-10,2024-07-16,col,mexico dental veneers,0,1,0,59
2024-07-10,2024-07-16,col,veneers cancun,0,1,0,80
2024-07-10,2024-07-16,col,veneers cancun mexico,0,2,0,55.5
2024-07-10,2024-07-16,col,veneers in cancun mexico,0,2,0,47
2024-07-10,2024-07-16,col,veneers in cancun mexico cost,0,1,0,50
2024-07-17,2024-07-23,col,how much do veneers cost in mexico,0,1,0,43
2024-07-17,2024-07-23,col,mexico veneers,0,1,0,58
2024-07-17,2024-07-23,col,veneers cancun cost,0,1,0,28
2024-07-17,2024-07-23,col,veneers in cancun,0,2,0,67
2024-07-17,2024-07-23,col,veneers in cancun mexico,0,2,0,47.5
2024-07-24,2024-07-30,col,cost of veneers in mexico,0,2,0,46.5
2024-07-24,2024-07-30,col,dental veneers in mexico,0,1,0,67
2024-07-24,2024-07-30,col,how much are veneers in cancun,0,1,0,43
2024-07-24,2024-07-30,col,mexico dental veneers,0,1,0,85
2024-07-24,2024-07-30,col,porcelain veneers mexico,0,3,0,74.66666666666667
2024-07-24,2024-07-30,col,veneers cancun,0,1,0,78
2024-07-24,2024-07-30,col,veneers cancun cost,0,2,0,33
2024-07-24,2024-07-30,col,veneers in cancun mexico,0,1,0,58
2024-07-24,2024-07-30,col,veneers mexico,0,1,0,62
2024-07-31,2024-08-06,col,average cost of veneers in mexico,0,1,0,36
2024-07-31,2024-08-06,col,cancun veneers,0,1,0,85
2024-07-31,2024-08-06,col,cost of veneers in mexico,0,1,0,46
2024-07-31,2024-08-06,col,porcelain veneers costs in mexico,0,1,0,54
2024-07-31,2024-08-06,col,veneer teeth in mexico,0,1,0,57
2024-07-31,2024-08-06,col,veneers cancun,0,1,0,83
2024-07-31,2024-08-06,col,veneers cancun cost,0,1,0,28
2024-07-31,2024-08-06,col,veneers cost in mexico,0,1,0,42
2024-07-31,2024-08-06,col,veneers cost mexico,0,1,0,47
2024-07-31,2024-08-06,col,veneers cost mexico city,0,1,0,37
2024-07-31,2024-08-06,col,veneers in mexico cancun,0,1,0,75
2024-08-07,2024-08-13,col,cancun mexico veneers,0,2,0,83
2024-08-07,2024-08-13,col,cancun veneers cost,0,1,0,51
2024-08-07,2024-08-13,col,cost of veneers in mexico,0,1,0,52
2024-08-07,2024-08-13,col,mexico dental veneers,0,1,0,73
2024-08-07,2024-08-13,col,porcelain veneers cancun mexico,0,1,0,72
2024-08-07,2024-08-13,col,porcelain veneers mexico price,0,1,0,57
2024-08-07,2024-08-13,col,veneers cancun cost,0,1,0,54
2024-08-07,2024-08-13,col,veneers cancun mexico,0,1,0,77
2024-08-07,2024-08-13,col,veneers cost mexico,0,2,0,53.5
2024-08-07,2024-08-13,col,veneers in cancun,0,1,0,86
2024-08-07,2024-08-13,col,veneers in mexico cancun,0,1,0,77
2024-08-07,2024-08-13,col,veneers mexico cost,0,1,0,56
2024-08-14,2024-08-20,col,cancun mexico veneers,0,1,0,76
2024-08-14,2024-08-20,col,cancun veneers cost,0,3,0,55.333333333333336
2024-08-14,2024-08-20,col,how much do lumineers cost in mexico,0,1,0,52
2024-08-14,2024-08-20,col,how much do veneers cost in mexico,0,1,0,49
2024-08-14,2024-08-20,col,porcelain veneers in mexico cost,0,1,0,44
2024-08-14,2024-08-20,col,should i get veneers in mexico,0,1,0,9
2024-08-14,2024-08-20,col,teeth veneers cost mexico,0,1,0,58
2024-08-14,2024-08-20,col,teeth veneers in mexico,0,1,0,57
2024-08-14,2024-08-20,col,veneers cancun mexico,0,1,0,78
2024-08-14,2024-08-20,col,veneers cost mexico,0,1,0,57
2024-08-14,2024-08-20,col,veneers in cancun,0,1,0,77
2024-08-14,2024-08-20,col,veneers in cancun mexico cost,0,1,0,54
2024-08-21,2024-08-27,col,best place to get veneers in mexico,0,1,0,52
2024-08-21,2024-08-27,col,porcelain veneers cancun mexico,0,1,0,75
2024-08-21,2024-08-27,col,porcelain veneers cost mexico,0,1,0,49
2024-08-21,2024-08-27,col,porcelain veneers costs in mexico,0,1,0,41
2024-08-21,2024-08-27,col,should i get veneers in mexico,0,2,0,9
2024-08-21,2024-08-27,col,teeth veneers in mexico,0,1,0,62
2024-08-21,2024-08-27,col,veneer cost mexico,0,1,0,51
2024-08-21,2024-08-27,col,veneers cancun mexico,0,1,0,73
2024-08-21,2024-08-27,col,veneers cost in mexico,0,1,0,49
2024-08-21,2024-08-27,col,veneers in mexico,0,1,0,36
2024-08-21,2024-08-27,col,veneers in mexico prices,0,1,0,61
2024-08-28,2024-09-03,col,cancun mexico veneers,0,1,0,75
2024-08-28,2024-09-03,col,cancun veneers cost,0,1,0,54
2024-08-28,2024-09-03,col,how much are veneers in cancun,0,1,0,54
2024-08-28,2024-09-03,col,how much do veneers cost in mexico,0,1,0,43
2024-08-28,2024-09-03,col,how much for veneers in mexico,0,1,0,41
2024-08-28,2024-09-03,col,porcelain veneers cancun mexico,0,1,0,74
2024-08-28,2024-09-03,col,porcelain veneers in mexico,0,1,0,46
2024-08-28,2024-09-03,col,veneer price in mexico,0,1,0,49
2024-08-28,2024-09-03,col,veneers cancun mexico,0,2,0,82.5
2024-08-28,2024-09-03,col,veneers cost in cancun,0,1,0,62
2024-08-28,2024-09-03,col,veneers cost mexico,0,1,0,56
2024-08-28,2024-09-03,col,veneers in mexico,0,1,0,37
2024-09-04,2024-09-10,col,cancun veneers cost,0,1,0,59
2024-09-04,2024-09-10,col,cost of full veneers in mexico,0,2,0,50
2024-09-04,2024-09-10,col,cost of veneers in mexico,0,1,0,48
2024-09-04,2024-09-10,col,how much are veneers in cancun,0,1,0,60
2024-09-04,2024-09-10,col,how much do veneers cost in mexico,0,1,0,48
2024-09-04,2024-09-10,col,how much is a full set of veneers in mexico,0,1,0,54
2024-09-04,2024-09-10,col,should i get veneers in mexico,0,1,0,9
2024-09-04,2024-09-10,col,veneer in mexico cost,0,1,0,58
2024-09-04,2024-09-10,col,veneers cost in mexico,0,2,0,52
2024-09-04,2024-09-10,col,veneers in cancun mexico cost,0,1,0,55
2024-09-04,2024-09-10,col,veneers in mexico reviews,0,1,0,37
2024-09-04,2024-09-10,col,veneers mexico cost,0,1,0,59
2024-09-11,2024-09-17,col,cancun veneers cost,0,1,0,60
2024-09-11,2024-09-17,col,cost of veneers mexico,0,1,0,68
2024-09-11,2024-09-17,col,dental bonding cost in mexico,0,1,0,64
2024-09-11,2024-09-17,col,how much are veneers in mexico,0,1,0,61
2024-09-11,2024-09-17,col,how much do dental veneers cost in mexico,0,1,0,64
2024-09-11,2024-09-17,col,how much do veneers cost in mexico,0,1,0,50
2024-09-11,2024-09-17,col,how much veneers cost in mexico,0,1,0,68
2024-09-11,2024-09-17,col,mexico cost veneers,0,1,0,72
2024-09-11,2024-09-17,col,porcelain veneers cancun mexico,0,1,0,77
2024-09-11,2024-09-17,col,porcelain veneers cost full mouth mexico,0,1,0,69
2024-09-11,2024-09-17,col,porcelain veneers in mexico,0,2,0,52
2024-09-11,2024-09-17,col,porcelain veneers mexico,0,1,0,95
2024-09-11,2024-09-17,col,porcelain veneers mexico cost,0,2,0,65.5
2024-09-11,2024-09-17,col,should i get veneers in mexico,0,1,0,5
2024-09-11,2024-09-17,col,veneer cost mexico,0,1,0,53
2024-09-11,2024-09-17,col,veneers cost cancun,0,1,0,62
2024-09-11,2024-09-17,col,veneers cost in mexico city,0,1,0,38
2024-09-11,2024-09-17,col,veneers cost mexico city,0,1,0,39
2024-09-11,2024-09-17,col,veneers in cancun mexico cost,0,1,0,54
2024-09-11,2024-09-17,col,veneers in mexico prices,0,1,0,59
2024-09-11,2024-09-17,col,veneers in mexico reviews,0,1,0,33
2024-09-18,2024-09-24,col,cost of full veneers in mexico,0,1,0,39
2024-09-18,2024-09-24,col,dental veneers mexico,0,1,0,44
2024-09-18,2024-09-24,col,how much are veneers in mexico,0,2,0,48.5
2024-09-18,2024-09-24,col,how much veneers cost in mexico,0,1,0,65
2024-09-18,2024-09-24,col,veneer cost mexico,0,1,0,51
2024-09-18,2024-09-24,col,veneer in mexico cost,0,1,0,58
2024-09-18,2024-09-24,col,veneers cancun mexico,0,2,0,71
2024-09-18,2024-09-24,col,veneers cost in mexico,0,1,0,49
2024-09-18,2024-09-24,col,veneers in cancun,0,1,0,86
2024-09-18,2024-09-24,col,veneers in mexico prices,0,1,0,43
2024-09-25,2024-10-01,col,cancun mexico veneers,0,1,0,79
2024-09-25,2024-10-01,col,cost of veneers in mexico,0,1,0,39
2024-09-25,2024-10-01,col,dental bonding cost in mexico,0,1,0,57
2024-09-25,2024-10-01,col,how much do dental veneers cost in mexico,0,1,0,43
2024-09-25,2024-10-01,col,how much do veneers cost in mexico,0,1,0,39
2024-09-25,2024-10-01,col,how much veneers cost in mexico,0,1,0,44
2024-09-25,2024-10-01,col,is it safe to get veneers in mexico,0,1,0,4
2024-09-25,2024-10-01,col,lumineers cost mexico,0,1,0,49
2024-09-25,2024-10-01,col,mexico cost veneers,0,2,0,46
2024-09-25,2024-10-01,col,veneers cost cancun,0,1,0,59
2024-09-25,2024-10-01,col,veneers cost in mexico,0,1,0,38
2024-09-25,2024-10-01,col,veneers cost mexico,0,1,0,42
2024-10-02,2024-10-08,col,full set veneers cost mexico,0,1,0,50
2024-10-02,2024-10-08,col,porcelain veneers cost in mexico,0,1,0,47
2024-10-02,2024-10-08,col,porcelain veneers cost mexico,0,1,0,44
2024-10-02,2024-10-08,col,porcelain veneers mexico cost,0,1,0,50
2024-10-02,2024-10-08,col,should i get veneers in mexico,0,1,0,1
2024-10-02,2024-10-08,col,veneers cost cancun,0,1,0,44
2024-10-02,2024-10-08,col,veneers cost mexico,0,1,0,42
2024-10-02,2024-10-08,col,veneers in mexico prices,0,1,0,46
2024-10-09,2024-10-15,col,how much is a full set of veneers in mexico,0,2,0,39
2024-10-09,2024-10-15,col,how much veneers cost in mexico,0,1,0,45
2024-10-09,2024-10-15,col,price of veneers in mexico,0,1,0,59
2024-10-09,2024-10-15,col,teeth veneers cost mexico,0,1,0,48
2024-10-09,2024-10-15,col,veneers in mexico,0,1,0,29
2024-10-09,2024-10-15,col,veneers mexico cost,0,1,0,52
2024-10-16,2024-10-22,col,cost of veneers in mexico,0,1,0,43
2024-10-16,2024-10-22,col,full set veneers cost mexico,0,1,0,46
2024-10-16,2024-10-22,col,how much do veneers cost in mexico,0,2,0,45.5
2024-10-16,2024-10-22,col,how much for veneers in mexico,0,1,0,34
2024-10-16,2024-10-22,col,porcelain veneers mexico cost,0,1,0,53
2024-10-16,2024-10-22,col,teeth veneers in mexico,0,1,0,37
2024-10-16,2024-10-22,col,veneers cost mexico,0,1,0,46
2024-10-16,2024-10-22,col,veneers in cancun,0,1,0,83
2024-10-16,2024-10-22,col,veneers in cancun mexico,0,1,0,69
2024-10-16,2024-10-22,col,veneers in mexico,0,1,0,15
2024-10-23,2024-10-29,col,before and after veneers in mexico,0,1,0,75
2024-10-23,2024-10-29,col,how much veneers cost in mexico,0,1,0,45
