start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,col,dr implant dentist tijuana,0,1,0,85
2024-05-08,2024-05-14,col,dental implant specialists near me tijuana mx,0,1,0,65
2024-05-15,2024-05-21,col,bc dental tijuana,0,1,0,55
2024-05-22,2024-05-28,col,periodontist tijuana,0,1,0,21
2024-05-29,2024-06-04,col,dr. implant - dentista en tijuana,0,1,0,48
2024-05-29,2024-06-04,col,dr. implant tijuana - dentista en tijuana,0,1,0,55
2024-06-05,2024-06-11,col,tijuana pediatric dentist in the tijuana area,0,1,0,69
2024-06-12,2024-06-18,col,dentist in tijuana baja california,0,1,0,90
2024-06-12,2024-06-18,col,dr. implant - dentista en tijuana,0,1,0,48
2024-06-19,2024-06-25,col,periodontist tijuana mexico,0,1,0,13
2024-06-26,2024-07-02,col,dentist in tijuana baja california,0,1,0,91
2024-07-03,2024-07-09,col,tijuana periodontist,0,1,0,31
