start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,allon4,0,1,0,102
2024-05-08,2024-05-14,esp,all one 4,0,1,0,85
2024-05-15,2024-05-21,esp,all on 4,0,1,0,51
2024-05-22,2024-05-28,esp,all on 4,0,2,0,87
2024-05-22,2024-05-28,esp,all on four dental,0,1,0,95
2024-05-29,2024-06-04,esp,all on 4 dental,0,1,0,82
2024-06-05,2024-06-11,esp,all on 4,0,8,0,76
2024-06-12,2024-06-18,esp,all on 4,0,6,0,68.16666666666667
2024-06-12,2024-06-18,esp,all on 4 dental implants what is it,0,1,0,78
2024-06-19,2024-06-25,esp,all on 4,0,8,0,73.25
2024-06-26,2024-07-02,esp,all on 4,0,5,0,63.4
2024-06-26,2024-07-02,esp,all-on-4 alabama,0,1,0,79
