start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,how to pay for dental work in mexico,0,1,0,75
2024-05-08,2024-05-14,esp,travel to mexico for dental work,0,2,0,71.5
2024-05-15,2024-05-21,esp,dental insurance mexico,0,1,0,9
2024-05-15,2024-05-21,esp,dental tourism in mexico,0,1,0,85
2024-05-15,2024-05-21,esp,how to pay for dental work in mexico,0,1,0,48
2024-05-22,2024-05-28,esp,americans going to mexico for dental work,0,1,0,48
2024-05-22,2024-05-28,esp,mexico dental tourism,0,1,0,101
2024-05-29,2024-06-04,esp,americans going to mexico for dental work,0,1,0,54
2024-05-29,2024-06-04,esp,mexico dental tourism,0,1,0,99
2024-06-05,2024-06-11,esp,can i use my dental insurance in mexico,0,1,0,6
2024-06-12,2024-06-18,esp,can i use my dental insurance in mexico,0,1,0,6
2024-06-12,2024-06-18,esp,how to pay for dental work in mexico,0,1,0,49
2024-06-19,2024-06-25,esp,how to pay for dental work in mexico,0,1,0,50
2024-06-26,2024-07-02,esp,dental care in mexico,0,1,0,87
2024-06-26,2024-07-02,esp,dental tourism in mexico,0,1,0,92
2024-06-26,2024-07-02,esp,how to pay for dental work in mexico,0,1,0,51
2024-07-03,2024-07-09,esp,is it safe to go to mexico for dental work,0,1,0,80
2024-07-10,2024-07-16,esp,mexico dental tourism,0,1,0,102
2024-07-17,2024-07-23,esp,access to dental care in mexico,0,1,0,48
2024-07-17,2024-07-23,esp,american dental plan providers,0,1,0,50
2024-07-17,2024-07-23,esp,can i use my dental insurance in mexico,0,1,0,1
2024-07-17,2024-07-23,esp,dental insurance mexico,0,1,0,9
2024-07-17,2024-07-23,esp,dental travel mexico,0,1,0,70
2024-07-17,2024-07-23,esp,mexico dental tourism,0,1,0,91
2024-07-24,2024-07-30,esp,americans going to mexico for dental work,0,1,0,46
2024-07-31,2024-08-06,esp,american dental plans,0,1,0,51
2024-08-07,2024-08-13,esp,how to pay for dental work in mexico,0,1,0,73
2024-08-14,2024-08-20,esp,can i use my dental insurance in mexico,0,1,0,5
2024-08-21,2024-08-27,esp,american dental plan providers,0,1,0,67
2024-08-21,2024-08-27,esp,dental holiday insurance,0,1,0,95
2024-08-28,2024-09-03,esp,access to dental care in mexico,0,1,0,50
2024-08-28,2024-09-03,esp,travel to mexico for dental work,0,1,0,76
2024-09-04,2024-09-10,esp,dental travel mexico,0,1,0,91
2024-09-04,2024-09-10,esp,dentist in tijuana that take us insurance,0,1,0,76
2024-09-11,2024-09-17,esp,american dental insurance,0,1,0,75
2024-09-18,2024-09-24,esp,dental holiday in mexico,0,1,0,95
2024-09-18,2024-09-24,esp,dental vacations mexico,0,1,0,96
2024-09-18,2024-09-24,esp,how to pay for dental work in mexico,0,1,0,43
2024-09-25,2024-10-01,esp,american dental plan,0,1,0,62
2024-09-25,2024-10-01,esp,dental vacations mexico,0,1,0,98
2024-09-25,2024-10-01,esp,is it safe to have dental work done in mexico,0,1,0,64
2024-10-02,2024-10-08,esp,all inclusive dental packages mexico,0,1,0,84
2024-10-02,2024-10-08,esp,american dental care insurance,0,1,0,26
2024-10-02,2024-10-08,esp,dental tourism in mexico,0,1,0,83
2024-10-02,2024-10-08,esp,mexico city dental tourism,0,1,0,99
2024-10-09,2024-10-15,esp,all inclusive dental packages mexico,0,1,0,83
2024-10-09,2024-10-15,esp,us dentists in mexico,0,1,0,63
2024-10-16,2024-10-22,esp,all-inclusive dental vacation mexico,0,1,0,55
2024-10-16,2024-10-22,esp,dental tourism in mexico,0,1,0,98
2024-10-16,2024-10-22,esp,dental tourism mexico,0,1,0,84
2024-10-16,2024-10-22,esp,how to get dental work in mexico,0,1,0,45
2024-10-16,2024-10-22,esp,mexico dental tourism,0,1,0,87
2024-10-23,2024-10-29,esp,dental tourism in mexico,0,1,0,49
2024-10-23,2024-10-29,esp,how to pay for dental work in mexico,0,1,0,39
2024-10-30,2024-11-05,esp,dental tourism in mexico,0,1,0,56
2024-11-06,2024-11-12,esp,dental tourism in mexico,0,1,0,52
2024-11-06,2024-11-12,esp,mexico dental care,0,1,0,61
2024-11-13,2024-11-19,esp,dental insurance mexico,0,1,0,5
2024-11-13,2024-11-19,esp,is dental care cheaper in mexico,0,1,0,84
2024-11-20,2024-11-26,esp,dental insurance abroad,0,1,0,86
2024-11-20,2024-11-26,esp,does us health insurance work in mexico,0,1,0,90
2024-11-20,2024-11-26,esp,is it safe to have dental work done in mexico,0,1,0,55
2024-11-27,2024-12-03,esp,travel to mexico for dental work,0,1,0,88
2024-12-04,2024-12-10,esp,access to dental care in mexico,0,1,0,55
2024-12-11,2024-12-17,esp,is dental care cheaper in mexico,0,1,0,77
2024-12-18,2024-12-24,esp,dental insurance america,0,1,0,89
2024-12-18,2024-12-24,esp,how to pay for dental work in mexico,0,1,0,37
2024-12-25,2024-12-31,esp,american dental insurance,0,1,0,33
2024-12-25,2024-12-31,esp,going to mexico for dental work,0,1,0,55
2025-01-01,2025-01-07,esp,travel to mexico for dental work,0,1,0,60
2025-01-08,2025-01-14,esp,dental insurance mexico,0,1,0,8
2025-01-15,2025-01-21,esp,travel to mexico for dental work,0,1,0,41
2025-01-22,2025-01-28,esp,going to mexico for dental work,0,1,0,54
2025-01-29,2025-02-04,esp,can i travel to mexico for dental work,0,1,0,32
2025-01-29,2025-02-04,esp,dental tourism in mexico,0,1,0,76
2025-01-29,2025-02-04,esp,us dentists in mexico,0,1,0,52
2025-02-05,2025-02-11,esp,dental insurance abroad,0,1,0,49
2025-02-05,2025-02-11,esp,how to pay for dental work in mexico,0,1,0,38
