start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,cancun dental vacation,0,1,0,74
2024-05-08,2024-05-14,esp,cancun dental vacation,0,1,0,62
2024-05-08,2024-05-14,esp,cancun for dental holiday,0,1,0,45
2024-05-08,2024-05-14,esp,dental tourism cancun,0,2,0,46
2024-05-08,2024-05-14,esp,dental tourism cancun mexico,0,2,0,62.5
2024-05-08,2024-05-14,esp,dental vacation cancun,0,1,0,46
2024-05-15,2024-05-21,esp,dental tourism cancun,0,2,0,42
2024-05-15,2024-05-21,esp,dental tourism cancun mexico,0,1,0,62
2024-05-15,2024-05-21,esp,dental vacations cancun,0,1,0,48
2024-05-22,2024-05-28,esp,cancun dental vacation,0,1,0,59
2024-05-22,2024-05-28,esp,dental vacations cancun,0,1,0,46
2024-05-29,2024-06-04,esp,dental tourism cancun,0,1,0,40
2024-05-29,2024-06-04,esp,dental tourism in cancun,0,1,0,55
2024-05-29,2024-06-04,esp,dental vacations cancun,0,1,0,43
2024-06-05,2024-06-11,esp,dental tourism cancun,0,2,0,50.5
2024-06-12,2024-06-18,esp,cancun dental tourism,0,1,0,32
2024-06-12,2024-06-18,esp,dental tourism cancun,0,1,0,68
2024-06-12,2024-06-18,esp,dental tourism cancun mexico,0,1,0,48
2024-06-12,2024-06-18,esp,dental vacations cancun,0,1,0,43
2024-06-19,2024-06-25,esp,dental tourism in cancun,0,1,0,31
2024-06-19,2024-06-25,esp,dental vacations cancun,0,1,0,24
2024-06-26,2024-07-02,esp,best dental implants in cancun,0,1,0,81
2024-06-26,2024-07-02,esp,cancun dental tourism,0,1,0,28
2024-06-26,2024-07-02,esp,cancun dental vacation,0,1,0,34
2024-06-26,2024-07-02,esp,cancun dental veneers,0,1,0,97
2024-06-26,2024-07-02,esp,dental care in cancun,0,2,0,87
2024-07-03,2024-07-09,esp,cancun cares,0,1,0,78
2024-07-03,2024-07-09,esp,cancun dental tourism,0,1,0,29
2024-07-03,2024-07-09,esp,cancun for dental holiday,0,1,0,17
2024-07-03,2024-07-09,esp,cancun mexico dental tourism,0,1,0,36
2024-07-03,2024-07-09,esp,dental tourism cancun,0,2,0,26
2024-07-03,2024-07-09,esp,hotels near cancun dental specialists,0,1,0,3
2024-07-10,2024-07-16,esp,cancun dental tourism,0,1,0,30
2024-07-17,2024-07-23,esp,best dental tourism,0,1,0,78
2024-07-17,2024-07-23,esp,cancun dental tourism,0,1,0,40
2024-07-17,2024-07-23,esp,cancun mexico dental tourism,0,1,0,38
2024-07-17,2024-07-23,esp,dental tourism packages 2023,0,1,0,46
2024-07-24,2024-07-30,esp,cancun dental veneers,0,1,0,99
2024-07-24,2024-07-30,esp,dental vacations cancun,0,1,0,27
2024-07-31,2024-08-06,esp,cancun dental tourism,0,1,0,43
2024-07-31,2024-08-06,esp,dental tourism cancun,0,4,0,28.75
2024-07-31,2024-08-06,esp,dental tourism cancun mx,0,1,0,43
2024-07-31,2024-08-06,esp,resort tourism torts,0,1,0,78
2024-08-07,2024-08-13,esp,dental tourism cancun,0,2,0,28
2024-08-07,2024-08-13,esp,dental tourism in cancun,0,1,0,31
2024-08-07,2024-08-13,esp,dental vacations cancun,0,2,0,30
2024-08-14,2024-08-20,esp,cancun mexico dental tourism,0,2,0,44
2024-08-14,2024-08-20,esp,dental tourism cancun,0,2,0,30.5
2024-08-14,2024-08-20,esp,dental vacation cancun,0,1,0,32
