start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,crown cost in mexico,0,1,0,74
2024-05-01,2024-05-07,esp,dental costs in mexico,0,1,0,84
2024-05-08,2024-05-14,esp,all on 6 dental implants cost mexico,0,1,0,36
2024-05-08,2024-05-14,esp,cost of dental care in mexico,0,1,0,58
2024-05-08,2024-05-14,esp,cost of dental work in mexico,0,1,0,63
2024-05-08,2024-05-14,esp,dental costs in mexico,0,1,0,73
2024-05-15,2024-05-21,esp,all on 6 dental implants cost mexico,0,1,0,39
2024-05-15,2024-05-21,esp,cost of dental care in mexico,0,1,0,59
2024-05-15,2024-05-21,esp,dentist in mexico prices,0,1,0,82
2024-05-15,2024-05-21,esp,mexico dental work costs,0,1,0,57
2024-05-22,2024-05-28,esp,all on 6 dental implants cost mexico,0,1,0,40
