start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,dental vacation mexico,0,1,0,46
2024-05-01,2024-05-07,esp,medical tourism mexico dental implants,0,1,0,44
2024-05-08,2024-05-14,esp,dental vacations,0,1,0,52
2024-05-15,2024-05-21,esp,dental holiday in mexico,0,1,0,45
2024-05-15,2024-05-21,esp,dental vacation,0,1,0,49
2024-05-15,2024-05-21,esp,dental vacations,0,2,0,48.5
2024-05-22,2024-05-28,esp,medical tourism dental veneers,0,2,0,42
2024-05-22,2024-05-28,esp,mexican dental vacation,0,1,0,37
2024-05-29,2024-06-04,esp,dental tourism all on 4,0,1,0,35
2024-05-29,2024-06-04,esp,dental tourism prices,0,1,0,67
2024-05-29,2024-06-04,esp,dental travel,0,1,0,45
2024-05-29,2024-06-04,esp,dental vacation mexico,0,1,0,40
2024-05-29,2024-06-04,esp,dental vacations,0,1,0,55
2024-05-29,2024-06-04,esp,dental vacations mexico,0,1,0,41
2024-05-29,2024-06-04,esp,mexico dental vacation packages,0,1,0,78
2024-06-05,2024-06-11,esp,dental tourism,0,1,0,40
2024-06-05,2024-06-11,esp,dental tourism mexico,0,1,0,27
2024-06-05,2024-06-11,esp,dental travel mexico,0,1,0,81
2024-06-05,2024-06-11,esp,dental vacations,0,1,0,61
2024-06-05,2024-06-11,esp,travel to mexico for dental work,0,2,0,31.5
2024-06-12,2024-06-18,esp,access to dental care in mexico,0,1,0,39
2024-06-12,2024-06-18,esp,cost of dental care in mexico,0,1,0,80
2024-06-12,2024-06-18,esp,dental tourism mexico,0,1,0,30
2024-06-12,2024-06-18,esp,dental tourists,0,1,0,12
2024-06-12,2024-06-18,esp,mexican dental,0,1,0,44
2024-06-12,2024-06-18,esp,mexican dental work,0,1,0,46
2024-06-19,2024-06-25,esp,dental holiday in mexico,0,1,0,64
2024-06-19,2024-06-25,esp,dental vacation packages,0,1,0,87
2024-06-19,2024-06-25,esp,dental vacations,0,1,0,48
2024-06-19,2024-06-25,esp,dental work mexico,0,1,0,45
2024-06-26,2024-07-02,esp,mexico dental costs,0,1,0,72
2024-07-03,2024-07-09,esp,dental implant vacations,0,1,0,62
2024-07-03,2024-07-09,esp,dental tourists,0,1,0,80
2024-07-03,2024-07-09,esp,dental vacations,0,1,0,51
2024-07-10,2024-07-16,esp,cost of dentistry in mexico,0,1,0,55
2024-07-10,2024-07-16,esp,dental travel,0,2,0,41
2024-07-10,2024-07-16,esp,dental vacation mexico,0,1,0,40
2024-07-17,2024-07-23,esp,dental tourists,0,1,0,73
2024-07-17,2024-07-23,esp,dental vacation mexico,0,1,0,79
2024-07-17,2024-07-23,esp,dental vacations,0,1,0,43
2024-07-17,2024-07-23,esp,why is dental work cheaper in mexico,0,1,0,82
2024-07-24,2024-07-30,esp,how much does it cost to get dental work in mexico,0,1,0,50
2024-07-24,2024-07-30,esp,mexico dental vacation,0,1,0,26
2024-07-31,2024-08-06,esp,dental braces in mexico,0,2,0,89
2024-07-31,2024-08-06,esp,dental vacation packages in mexico,0,1,0,83
2024-08-07,2024-08-13,esp,best dental tourism mexico,0,1,0,56
2024-08-07,2024-08-13,esp,dental tourism cancun mx,0,1,0,92
2024-08-07,2024-08-13,esp,mexican dental tourism,0,1,0,19
2024-08-14,2024-08-20,esp,accredited dental services in mexico,0,1,0,93
2024-08-14,2024-08-20,esp,medical tourism dental mexico,0,1,0,36
2024-08-14,2024-08-20,esp,mexican dental vacation,0,2,0,36.5
2024-08-21,2024-08-27,esp,dental vacation,0,1,0,40
2024-08-21,2024-08-27,esp,is dental work cheaper in mexico,0,1,0,66
2024-08-28,2024-09-03,esp,all inclusive dental vacation,0,1,0,59
2024-08-28,2024-09-03,esp,dental tourists,0,1,0,88
2024-08-28,2024-09-03,esp,mexican dental tourism,0,1,0,16
2024-09-04,2024-09-10,esp,dental vacation packages in mexico,0,1,0,46
2024-09-11,2024-09-17,esp,dental tourism in mexico,0,1,0,16
2024-09-11,2024-09-17,esp,dental tourism mexico,0,2,0,36.5
2024-09-11,2024-09-17,esp,dental vacation,0,1,0,44
2024-09-11,2024-09-17,esp,dental vacation packages in mexico,0,1,0,81
2024-09-11,2024-09-17,esp,why is dental work cheaper in mexico,0,1,0,67
2024-09-18,2024-09-24,esp,affordable dental care mexico,0,1,0,56
2024-09-18,2024-09-24,esp,affordable dental treatments in mexico,0,1,0,52
2024-09-18,2024-09-24,esp,dental vacation,0,1,0,42
2024-09-18,2024-09-24,esp,is dental work cheaper in mexico,0,1,0,62
2024-09-18,2024-09-24,esp,why is dental work cheaper in mexico,0,1,0,56
2024-09-25,2024-10-01,esp,dental clinics mexico,0,1,0,64
2024-09-25,2024-10-01,esp,dental work in mexico vs usa,0,1,0,1
2024-09-25,2024-10-01,esp,going to mexico for dental work,0,1,0,27
2024-09-25,2024-10-01,esp,mexican dental care,0,1,0,58
2024-10-02,2024-10-08,esp,can i travel to mexico for dental work,0,1,0,84
2024-10-02,2024-10-08,esp,cheap dental care in mexico,0,1,0,48
2024-10-02,2024-10-08,esp,cosmetic dentistry tourism services for treatment,0,1,0,79
2024-10-02,2024-10-08,esp,dental clinics in mexico city,0,1,0,76
2024-10-02,2024-10-08,esp,dental tourism cancun mx,0,1,0,78
2024-10-02,2024-10-08,esp,dental tourism in mexico,0,1,0,13
2024-10-02,2024-10-08,esp,dental tourism mexico cost,0,1,0,76
2024-10-02,2024-10-08,esp,dental tourists,0,1,0,69
2024-10-02,2024-10-08,esp,dental vacation in mexico,0,1,0,19
2024-10-02,2024-10-08,esp,medical tourism dental mexico,0,1,0,38
2024-10-02,2024-10-08,esp,mexican dental clinic,0,1,0,78
2024-10-02,2024-10-08,esp,why is dental work cheaper in mexico,0,1,0,60
2024-10-09,2024-10-15,esp,dental travel,0,1,0,40
2024-10-09,2024-10-15,esp,going to mexico for dental work,0,1,0,26
2024-10-09,2024-10-15,esp,mexico dentists prices,0,1,0,47
2024-10-16,2024-10-22,esp,affordable dental care mexico,0,1,0,51
2024-10-16,2024-10-22,esp,dental braces in mexico,0,1,0,91
2024-10-16,2024-10-22,esp,dental tourism in mexico,0,1,0,16
2024-10-16,2024-10-22,esp,dental tourism prices,0,1,0,63
2024-10-16,2024-10-22,esp,how much does it cost to get dental work in mexico,0,1,0,58
2024-10-16,2024-10-22,esp,prices for dental work in mexico,0,1,0,54
2024-10-16,2024-10-22,esp,travel to mexico for dental work,0,1,0,23
2024-10-23,2024-10-29,esp,all inclusive dental vacation,0,1,0,67
2024-10-23,2024-10-29,esp,dental braces in mexico,0,1,0,96
2024-10-23,2024-10-29,esp,dental tourism mexico,0,1,0,16
2024-10-23,2024-10-29,esp,dental vacations mexico,0,1,0,36
2024-10-23,2024-10-29,esp,why is dental work cheaper in mexico,0,1,0,60
2024-10-30,2024-11-05,esp,dental tourism in mexico,0,3,0,21.333333333333332
2024-11-06,2024-11-12,esp,mexican dental care,0,1,0,23
2024-11-13,2024-11-19,esp,dental vacation in mexico,0,1,0,14
2024-11-13,2024-11-19,esp,dental vacations in mexico,0,1,0,35
2024-11-13,2024-11-19,esp,mexico dental tourism,0,1,0,21
