start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,algodones dental prices,0,1,0,40
2024-05-01,2024-05-07,esp,dental bridges los algodones mexico,0,1,0,88
2024-05-01,2024-05-07,esp,los algodones dentist price list,0,1,0,48
2024-05-01,2024-05-07,esp,los algodones dentist prices,0,1,0,33
2024-05-01,2024-05-07,esp,veneers los algodones mexico,0,2,0,56.5
2024-05-08,2024-05-14,esp,algodones dental care,0,1,0,25
2024-05-08,2024-05-14,esp,dentists in mexico by yuma az,0,1,0,42
2024-05-15,2024-05-21,esp,algodones dental,0,1,0,60
2024-05-15,2024-05-21,esp,algodones dentist,0,3,0,44
2024-05-15,2024-05-21,esp,algodones dentist prices,0,1,0,69
2024-05-15,2024-05-21,esp,algodones dentists,0,1,0,44
2024-05-15,2024-05-21,esp,dental care in algodones mexico,0,1,0,74
2024-05-15,2024-05-21,esp,los algodones dental care,0,1,0,53
2024-05-15,2024-05-21,esp,los algodones dentist,0,1,0,36
2024-05-15,2024-05-21,esp,los algodones dentists,0,1,0,39
2024-05-22,2024-05-28,esp,los algodones dentist price list,0,1,0,40
2024-05-29,2024-06-04,esp,algodones dentist,0,1,0,47
2024-06-05,2024-06-11,esp,dentist in mexico algodones ulloa,0,1,0,32
2024-06-12,2024-06-18,esp,dentist in mexico algodones ulloa,0,9,0,37.55555555555556
2024-06-19,2024-06-25,esp,dentist in mexico algodones ulloa,0,1,0,33
2024-06-19,2024-06-25,esp,los algodones dentist veneers,0,1,0,63
