start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,mexico molar city,0,1,0,43
2024-05-01,2024-05-07,esp,molar capital of the world,0,1,0,8
2024-05-08,2024-05-14,esp,molar city,0,1,0,26
2024-05-15,2024-05-21,esp,molar city,0,1,0,10
2024-05-22,2024-05-28,esp,los algodones dentist price list,0,1,0,2
2024-05-22,2024-05-28,esp,molar city,0,1,0,18
2024-05-22,2024-05-28,esp,molar city in mexico,0,1,0,39
2024-05-29,2024-06-04,esp,los algodones porcelain veneers,0,1,0,80
2024-05-29,2024-06-04,esp,medical tourism los algodones mx,0,1,0,92
2024-06-05,2024-06-11,esp,molar city mexico,0,2,0,25
2024-06-12,2024-06-18,esp,best dentist algodones ulloa,0,1,0,8
2024-06-12,2024-06-18,esp,medical tourism los algodones mx,0,1,0,60
2024-06-19,2024-06-25,esp,algodones,0,1,0,11
2024-06-19,2024-06-25,esp,dental tourism los algodones mexico,0,1,0,49
2024-06-19,2024-06-25,esp,los algodones mexico dentist,0,1,0,4
2024-06-26,2024-07-02,esp,dental prices in los algodones,0,1,0,74
2024-06-26,2024-07-02,esp,los algodones dental care,0,1,0,79
2024-06-26,2024-07-02,esp,mexico dentist town,0,1,0,45
2024-06-26,2024-07-02,esp,molar city los algodones,0,1,0,13
2024-06-26,2024-07-02,esp,where is los algodones,0,1,0,15
2024-07-03,2024-07-09,esp,how much is dental work in los algodones,0,1,0,70
2024-07-10,2024-07-16,esp,algodones mexico,0,1,0,17
2024-07-10,2024-07-16,esp,los algodones,0,2,0,15.5
2024-07-10,2024-07-16,esp,molar city dentist,0,1,0,33
2024-07-10,2024-07-16,esp,molar city prices,0,1,0,34
2024-07-17,2024-07-23,esp,algodones,0,1,0,13
2024-07-17,2024-07-23,esp,los algodones porcelain veneers,0,1,0,81
2024-07-24,2024-07-30,esp,mexico dentist town,0,1,0,25
2024-07-24,2024-07-30,esp,molar city,0,2,0,5
2024-07-24,2024-07-30,esp,molar city mexico,0,1,0,14
2024-07-31,2024-08-06,esp,molar city mexico,0,2,0,11
2024-08-07,2024-08-13,esp,dental city mexico,0,1,0,40
2024-08-07,2024-08-13,esp,molar city,0,1,0,11
2024-08-14,2024-08-20,esp,algodones,0,1,0,11
2024-08-14,2024-08-20,esp,algodones mexico,0,1,0,21
2024-08-14,2024-08-20,esp,mexico dental town,0,1,0,26
2024-08-21,2024-08-27,esp,algodones new mexico,0,1,0,74
2024-08-21,2024-08-27,esp,best dentist algodones ulloa,0,1,0,12
2024-08-21,2024-08-27,esp,dentists los algodones,0,1,0,2
2024-08-21,2024-08-27,esp,los algodones dentist prices,0,1,0,83
2024-08-21,2024-08-27,esp,los algodones dentists,0,1,0,2
2024-08-21,2024-08-27,esp,los algodones méxico,0,2,0,3
2024-08-28,2024-09-03,esp,algodones mexico,0,1,0,26
2024-09-04,2024-09-10,esp,algodones map,0,1,0,53
2024-09-04,2024-09-10,esp,dental city mexico,0,1,0,45
2024-09-04,2024-09-10,esp,molar city,0,1,0,5
2024-09-04,2024-09-10,esp,molar city mexico,0,2,0,12.5
2024-09-11,2024-09-17,esp,los algodones,0,1,0,11
2024-09-11,2024-09-17,esp,mexican dental city,0,1,0,13
2024-09-11,2024-09-17,esp,molar city,0,1,0,14
2024-09-11,2024-09-17,esp,molar city mexico,0,2,0,15
2024-09-18,2024-09-24,esp,algodones,0,2,0,11.5
2024-09-18,2024-09-24,esp,algodones dental clinic,0,1,0,93
2024-09-18,2024-09-24,esp,molar city,0,2,0,6.5
2024-09-18,2024-09-24,esp,molar city mexico,0,2,0,15
2024-09-25,2024-10-01,esp,algodones mexico,0,1,0,24
2024-09-25,2024-10-01,esp,dental work in los algodones mexico,0,1,0,96
2024-09-25,2024-10-01,esp,molar city,0,1,0,7
2024-10-02,2024-10-08,esp,algodones mexico,0,1,0,29
2024-10-02,2024-10-08,esp,dental town in mexico,0,1,0,35
2024-10-02,2024-10-08,esp,los algodones molar city,0,1,0,15
2024-10-02,2024-10-08,esp,mexico dentist town,0,1,0,18
2024-10-02,2024-10-08,esp,mexico molar city,0,1,0,10
2024-10-09,2024-10-15,esp,dental city in mexico,0,1,0,40
2024-10-09,2024-10-15,esp,los algodones dental care,0,1,0,80
2024-10-09,2024-10-15,esp,mexican dentist near yuma,0,1,0,87
2024-10-16,2024-10-22,esp,los algodonos mexico location where,0,4,0,12.25
2024-10-16,2024-10-22,esp,molar city mexico prices,0,1,0,51
2024-10-23,2024-10-29,esp,los algodonos mexico location where,0,1,0,13
2024-10-30,2024-11-05,esp,molar city,0,1,0,22
2024-11-06,2024-11-12,esp,mexicos molar city,0,1,0,10
2024-11-13,2024-11-19,esp,molar city,0,1,0,9
2024-11-20,2024-11-26,esp,los algodones,0,1,0,45
