start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,zygomatic implants in mexico,0,1,0,69
2024-05-01,2024-05-07,esp,zygomatic implants tijuana,0,2,0,44.5
2024-05-08,2024-05-14,esp,zygomatic implants abroad,0,1,0,97
2024-05-08,2024-05-14,esp,zygomatic implants in mexico,0,1,0,70
2024-05-08,2024-05-14,esp,zygomatic implants mexico,0,1,0,99
2024-05-15,2024-05-21,esp,zygomatic implant,0,1,0,91
2024-05-22,2024-05-28,esp,zygomatic implant,0,1,0,80
2024-05-29,2024-06-04,esp,dental implants in cheekbone,0,1,0,98
2024-06-05,2024-06-11,esp,zygomatic implant,0,1,0,89
2024-06-12,2024-06-18,esp,dental implants in cheekbone,0,1,0,90
2024-06-19,2024-06-25,esp,dental implants in cheekbone,0,1,0,84
2024-06-26,2024-07-02,esp,zygomatic implants,0,1,0,101
2024-06-26,2024-07-02,esp,zygomatic implants in mexico,0,1,0,93
2024-07-03,2024-07-09,esp,zygomatic implants,0,2,0,105
2024-07-10,2024-07-16,esp,all on 4 zygomatic implants,0,1,0,79
