start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,dental travel mexico,0,1,0,39
2024-05-08,2024-05-14,esp,affordable dental care in mexico,0,1,0,88
2024-05-15,2024-05-21,esp,affordable dental treatments in mexico,0,1,0,86
2024-05-15,2024-05-21,esp,dental care for canadians in mexico,0,1,0,6
2024-05-22,2024-05-28,esp,affordable dental care in mexico,0,1,0,38
2024-05-22,2024-05-28,esp,dental care for canadians in mexico,0,1,0,13
2024-05-29,2024-06-04,esp,affordable dental care in mexico,0,1,0,71
2024-05-29,2024-06-04,esp,affordable dental care mexico,0,1,0,12
2024-06-05,2024-06-11,esp,affordable dental care mexico,0,1,0,86
2024-06-05,2024-06-11,esp,affordable dental treatments in mexico,0,1,0,89
2024-06-12,2024-06-18,esp,dental care for canadians in mexico,0,1,0,10
2024-06-19,2024-06-25,esp,dental care for canadians in mexico,0,1,0,13
2024-06-26,2024-07-02,esp,affordable dental care mexico,0,1,0,88
