start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,dental care los algodones,0,1,0,89
2024-05-08,2024-05-14,esp,marietta dental clinic,0,1,0,8
2024-05-15,2024-05-21,esp,marietta dental care,0,1,0,7
2024-05-15,2024-05-21,esp,marietta dental care los algodones,0,1,0,10
2024-05-22,2024-05-28,esp,dental clinics in los algodones,0,1,0,94
2024-05-22,2024-05-28,esp,dental treatments in los algodones,0,1,0,88
2024-05-22,2024-05-28,esp,los algodones porcelain veneers,0,1,0,60
2024-05-29,2024-06-04,esp,marietta dental care los algodones,0,1,0,9
2024-06-05,2024-06-11,esp,algodones dental care,0,1,0,38
2024-06-12,2024-06-18,esp,foreign patients at los algodones dental clinic,0,1,0,55
2024-06-12,2024-06-18,esp,hygiene and safety in algodones dental center,0,1,0,63
2024-06-12,2024-06-18,esp,marietta dental works,0,1,0,39
2024-06-19,2024-06-25,esp,marietta dental care tijuana,0,1,0,19
2024-06-26,2024-07-02,esp,dental care los algodones,0,1,0,71
2024-06-26,2024-07-02,esp,marietta dental care los algodones,0,1,0,33
2024-07-03,2024-07-09,esp,best dentist in los algodones,0,1,0,50
2024-07-03,2024-07-09,esp,marietta dental care tijuana,0,1,0,18
2024-07-03,2024-07-09,esp,prosthodontics los algodones mx,0,1,0,87
2024-07-10,2024-07-16,esp,dentist in algodones,0,1,0,97
2024-07-17,2024-07-23,esp,marietta dental care tijuana,0,1,0,22
2024-07-17,2024-07-23,esp,marietta dental care tijuana mx,0,1,0,15
2024-07-24,2024-07-30,esp,los algodones porcelain veneers,0,1,0,63
2024-07-31,2024-08-06,esp,dental care los algodones,0,1,0,68
2024-08-07,2024-08-13,esp,dental clinic in los algodones,0,1,0,77
2024-08-14,2024-08-20,esp,marietta dental clinic,0,1,0,4
2024-08-21,2024-08-27,esp,dental implants marietta ok,0,1,0,33
2024-08-21,2024-08-27,esp,marietta dental care tijuana mx,0,1,0,11
2024-08-28,2024-09-03,esp,best dentist algodones ulloa,0,1,0,31
2024-09-04,2024-09-10,esp,21970 los algodones baja california mexico,0,1,0,90
2024-09-04,2024-09-10,esp,full mouth dental implants los algodones mx,0,1,0,101
2024-09-11,2024-09-17,esp,best dentist algodones ulloa,0,2,0,56
2024-09-18,2024-09-24,esp,marietta dental care,0,1,0,15
2024-09-25,2024-10-01,esp,marietta dental care tijuana reviews,0,2,0,10
2024-10-02,2024-10-08,esp,best dentist algodones ulloa,0,3,0,23.666666666666668
2024-10-02,2024-10-08,esp,marietta dental care,0,1,0,8
2024-10-09,2024-10-15,esp,best dentist algodones ulloa,0,7,0,23.857142857142858
2024-10-16,2024-10-22,esp,best dentist algodones ulloa,0,6,0,25.833333333333332
2024-10-16,2024-10-22,esp,marietta dental care,0,1,0,13
2024-10-23,2024-10-29,esp,best dentist algodones ulloa,0,2,0,22.5
2024-10-23,2024-10-29,esp,marietta dental care tijuana,0,1,0,7
