start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,washington dental tijuana,0,1,0,75
2024-05-08,2024-05-14,esp,best dental in tijuana,0,1,0,99
2024-05-08,2024-05-14,esp,best dentist tijuana,0,1,0,93
2024-05-08,2024-05-14,esp,dental rio tijuana,0,1,0,87
2024-05-15,2024-05-21,esp,washington dental clinic tijuana,0,1,0,29
2024-05-22,2024-05-28,esp,all dental tijuana,0,1,0,44
2024-05-22,2024-05-28,esp,dental clinic in tijuana,0,1,0,74
2024-05-22,2024-05-28,esp,dental clinic tijuana,0,1,0,75
2024-05-22,2024-05-28,esp,root canal cost in tijuana,0,1,0,88
2024-05-29,2024-06-04,esp,best dentist in tijuana for veneers,0,1,0,74
2024-05-29,2024-06-04,esp,best dentist in tijuana mexico,0,1,0,98
2024-05-29,2024-06-04,esp,best dentist in tijuana reviews,0,1,0,91
2024-05-29,2024-06-04,esp,dental rio tijuana,0,1,0,93
2024-06-05,2024-06-11,esp,all dental tijuana,0,1,0,48
2024-06-05,2024-06-11,esp,best dentists tijuana,0,1,0,98
2024-06-12,2024-06-18,esp,best dentist in tijuana mexico,0,1,0,101
2024-06-12,2024-06-18,esp,best veneers in tijuana mexico,0,1,0,72
2024-06-12,2024-06-18,esp,dental clinic in tijuana,0,1,0,98
2024-06-12,2024-06-18,esp,dental clinics tijuana mexico,0,1,0,85
2024-06-19,2024-06-25,esp,dental clinic in tijuana,0,1,0,72
2024-06-19,2024-06-25,esp,dental rio tijuana,0,1,0,92
2024-06-26,2024-07-02,esp,dental clinic tijuana,0,1,0,67
2024-06-26,2024-07-02,esp,dental clinics in tijuana,0,1,0,70
2024-07-03,2024-07-09,esp,dental clinics in tijuana,0,1,0,53
2024-07-03,2024-07-09,esp,dental office in tijuana,0,1,0,61
2024-07-03,2024-07-09,esp,tijuana mexico dental clinics,0,1,0,91
2024-07-10,2024-07-16,esp,tijuana mexico dental clinics,0,1,0,99
2024-07-10,2024-07-16,esp,western dental tijuana mexico,0,1,0,49
2024-07-10,2024-07-16,esp,your dentist tijuana,0,1,0,97
2024-07-17,2024-07-23,esp,tijuana pediatric dentist in the tijuana area,0,1,0,63
2024-07-24,2024-07-30,esp,new city dental,0,1,0,28
2024-07-31,2024-08-06,esp,new age dental clinic,0,1,0,29
2024-08-07,2024-08-13,esp,dental clinic in tijuana,0,1,0,89
2024-08-14,2024-08-20,esp,full mouth reconstruction tijuana mx,0,1,0,52
2024-08-21,2024-08-27,esp,dental clinic tijuana,0,1,0,68
2024-08-21,2024-08-27,esp,western dental tijuana mexico,0,1,0,84
