start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,dental clinics in playa del carmen,0,1,0,55
2024-05-01,2024-05-07,esp,dentists in playa del carmen,0,1,0,82
2024-05-08,2024-05-14,esp,dental implants in playa del carmen,0,1,0,60
2024-05-15,2024-05-21,esp,dental implants in playa del carmen,0,1,0,59
2024-05-22,2024-05-28,esp,playa del carmen dentist,0,1,0,81
2024-05-29,2024-06-04,esp,dentist in playa del carmen,0,1,0,38
2024-06-05,2024-06-11,esp,dentist playa del carmen,0,1,0,62
2024-06-12,2024-06-18,esp,dentist in playa del carmen,0,1,0,36
2024-06-12,2024-06-18,esp,playa del carmen dental,0,1,0,21
2024-06-19,2024-06-25,esp,dental implants in playa del carmen,0,1,0,32
2024-06-26,2024-07-02,esp,dental clinics in playa del carmen,0,1,0,19
2024-07-03,2024-07-09,esp,dental clinics in playa del carmen,0,1,0,19
2024-07-10,2024-07-16,esp,best dental implants playa del carmen,0,1,0,20
2024-07-17,2024-07-23,esp,dental implants in playa del carmen,0,1,0,31
2024-07-17,2024-07-23,esp,dentist in playa del carmen,0,2,0,19
2024-07-24,2024-07-30,esp,dental implants in playa del carmen,0,1,0,30
2024-07-24,2024-07-30,esp,playa del carmen dentist,0,1,0,39
2024-07-31,2024-08-06,esp,dentists in playa del carmen,0,1,0,34
2024-08-07,2024-08-13,esp,playa del carmen dentist,0,1,0,35
2024-08-14,2024-08-20,esp,dental clinics in playa del carmen,0,1,0,52
2024-08-14,2024-08-20,esp,playa del carmen dental implants,0,1,0,27
2024-08-21,2024-08-27,esp,best dental implants playa del carmen,0,1,0,20
2024-08-28,2024-09-03,esp,playa del carmen dental,0,1,0,40
2024-09-04,2024-09-10,esp,dental implants in playa del carmen,0,1,0,72
2024-09-11,2024-09-17,esp,dental treatment in playa del carmen,0,1,0,54
2024-09-18,2024-09-24,esp,best dental implants playa del carmen,0,1,0,22
2024-09-18,2024-09-24,esp,dental treatment in playa del carmen,0,1,0,69
