start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,dental clinic cancun,0,1,0,93
2024-05-01,2024-05-07,esp,dental clinic in cancun,0,1,0,91
2024-05-08,2024-05-14,esp,dental clinic in cancun,0,1,0,94
2024-05-15,2024-05-21,esp,yeah smile,0,1,0,1
2024-05-22,2024-05-28,esp,77500 text message,0,1,0,15
2024-05-29,2024-06-04,esp,dental makeover cancun smile center,0,1,0,74
2024-06-05,2024-06-11,esp,dental clinic cancun reviews,0,1,0,99
2024-06-05,2024-06-11,esp,dental crowns cancun,0,1,0,93
2024-06-12,2024-06-18,esp,dental clinic cancun reviews,0,1,0,89
2024-06-19,2024-06-25,esp,best dental clinic in cancun,0,1,0,66
2024-06-26,2024-07-02,esp,77500 text message,0,1,0,42
2024-06-26,2024-07-02,esp,dental clinic in cancun,0,1,0,101
2024-07-03,2024-07-09,esp,yeahsmile,0,1,0,2
2024-07-10,2024-07-16,esp,dental clinics in cancun,0,1,0,102
2024-07-17,2024-07-23,esp,dental makeover cancun smile center,0,1,0,102
