start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,dental implants monterrey,0,1,0,81
2024-05-08,2024-05-14,esp,dental implants monterrey,0,1,0,42
2024-05-15,2024-05-21,esp,all on 4 monterrey mexico,0,1,0,27
2024-05-22,2024-05-28,esp,dentist in monterrey,0,1,0,37
2024-05-29,2024-06-04,esp,veneers in monterrey,0,2,0,38
2024-06-05,2024-06-11,esp,veneers in monterrey,0,1,0,90
2024-06-12,2024-06-18,esp,dentist in monterrey,0,1,0,42
2024-06-19,2024-06-25,esp,all on four monterrey,0,1,0,50
2024-06-26,2024-07-02,esp,all on four monterrey,0,1,0,48
2024-07-03,2024-07-09,esp,all on four monterrey,0,1,0,20
2024-07-10,2024-07-16,esp,all on four monterrey,0,1,0,71
2024-07-10,2024-07-16,esp,all on four monterrey mexico,0,1,0,54
2024-07-17,2024-07-23,esp,dental implants in monterrey,0,1,0,54
2024-07-17,2024-07-23,esp,veneers in monterrey,0,1,0,41
2024-07-24,2024-07-30,esp,all on 4 monterrey mexico,0,1,0,30
