start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,dentista en cancun,0,1,0,85
2024-05-08,2024-05-14,esp,cancun dentista,0,1,0,73
2024-05-15,2024-05-21,esp,cancun dentista,0,1,0,61
2024-05-15,2024-05-21,esp,dentist in cancun,0,1,0,90
2024-05-22,2024-05-28,esp,dentists cancun,0,1,0,96
2024-05-29,2024-06-04,esp,cancun dentist,0,1,0,77
2024-05-29,2024-06-04,esp,dentist cancun,0,1,0,71
2024-05-29,2024-06-04,esp,dentist in cancun mexico,0,1,0,75
2024-06-05,2024-06-11,esp,cancun dentist,0,1,0,89
2024-06-05,2024-06-11,esp,dentist in cancun mexico,0,1,0,77
2024-06-12,2024-06-18,esp,cancun mexico dentist,0,1,0,77
2024-06-12,2024-06-18,esp,dentist in cancun,0,1,0,73
2024-06-19,2024-06-25,esp,cancun dentist,0,1,0,82
2024-06-19,2024-06-25,esp,cancun mexico dentist,0,3,0,77.66666666666667
2024-06-19,2024-06-25,esp,dentist cancun mexico,0,1,0,91
2024-06-19,2024-06-25,esp,dentist in cancun,0,1,0,78
2024-06-26,2024-07-02,esp,cancun mexico dentist,0,1,0,76
2024-06-26,2024-07-02,esp,dentist in cancun,0,1,0,80
2024-06-26,2024-07-02,esp,dentist in cancun mexico,0,1,0,92
2024-06-26,2024-07-02,esp,dentists in cancun,0,1,0,94
2024-07-03,2024-07-09,esp,dentist cancun,0,1,0,72
2024-07-03,2024-07-09,esp,dentist cancun mexico,0,1,0,82
2024-07-03,2024-07-09,esp,dentist in cancun mexico,0,1,0,81
2024-07-10,2024-07-16,esp,cancun mexico dentist,0,1,0,96
2024-07-10,2024-07-16,esp,dentist in cancun,0,1,0,96
2024-07-17,2024-07-23,esp,andrea peñuela,0,1,0,1
