start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,globalcare,1,3,0.3333333333333333,2.666666666666667
2024-05-01,2024-05-07,mex,global care,0,1,0,6
2024-05-08,2024-05-14,mex,globalcare,2,6,0.3333333333333333,5
2024-05-08,2024-05-14,mex,global care agency,0,1,0,44
2024-05-15,2024-05-21,mex,globalcare,1,4,0.25,3.25
2024-05-15,2024-05-21,mex,global care,0,5,0,5.4
2024-05-22,2024-05-28,mex,globalcare,0,1,0,4
2024-05-29,2024-06-04,mex,global care,1,2,0.5,3.5
2024-05-29,2024-06-04,mex,globalcare,1,2,0.5,2.5
2024-05-29,2024-06-04,mex,global care industries,0,1,0,15
2024-06-05,2024-06-11,mex,globalcare,1,5,0.2,4
2024-06-05,2024-06-11,mex,global care,0,3,0,7.666666666666667
2024-06-12,2024-06-18,mex,globalcare,3,9,0.3333333333333333,2.333333333333333
2024-06-12,2024-06-18,mex,dental care quotes,0,1,0,100
2024-06-12,2024-06-18,mex,global care,0,3,0,22
2024-06-12,2024-06-18,mex,global care network,0,1,0,8
2024-06-19,2024-06-25,mex,global care,4,7,0.5714285714285714,5.285714285714286
2024-06-19,2024-06-25,mex,globalcare,3,6,0.5,1.8333333333333335
2024-06-19,2024-06-25,mex,global care industries,0,2,0,11
2024-06-19,2024-06-25,mex,global dental care,0,1,0,21
2024-06-26,2024-07-02,mex,globalcare,1,3,0.3333333333333333,2.333333333333333
2024-06-26,2024-07-02,mex,cute dental quotes,0,1,0,81
2024-06-26,2024-07-02,mex,global care,0,2,0,2.5
2024-06-26,2024-07-02,mex,global carr,0,1,0,8
2024-07-03,2024-07-09,mex,globalcare,8,10,0.8,1.9
2024-07-03,2024-07-09,mex,global care,0,3,0,7
2024-07-03,2024-07-09,mex,global care group,0,1,0,23
2024-07-03,2024-07-09,mex,global care network,0,1,0,7
2024-07-10,2024-07-16,mex,globalcare,6,10,0.6,2.3
2024-07-10,2024-07-16,mex,global care,2,6,0.3333333333333333,8.666666666666668
2024-07-10,2024-07-16,mex,global care industries,0,1,0,11
2024-07-10,2024-07-16,mex,global care services,0,1,0,13
2024-07-17,2024-07-23,mex,globalcare,3,6,0.5,1.5
2024-07-17,2024-07-23,mex,global care,0,9,0,10.333333333333334
2024-07-17,2024-07-23,mex,global care services,0,1,0,30
2024-07-24,2024-07-30,mex,globalcare,7,15,0.4666666666666667,1.4
2024-07-24,2024-07-30,mex,global care,3,11,0.2727272727272727,10
2024-07-24,2024-07-30,mex,global care industries,0,1,0,8
2024-07-31,2024-08-06,mex,globalcare,3,5,0.6,1.6
2024-07-31,2024-08-06,mex,global care,2,8,0.25,7.25
2024-07-31,2024-08-06,mex,global care center,0,1,0,6
2024-07-31,2024-08-06,mex,global care services,0,1,0,10
2024-07-31,2024-08-06,mex,globalcare services,0,1,0,19
2024-07-31,2024-08-06,mex,servicios dentales globales,0,1,0,93
2024-08-07,2024-08-13,mex,globalcare,6,7,0.8571428571428571,1
2024-08-07,2024-08-13,mex,global care,5,19,0.2631578947368421,5.526315789473684
2024-08-07,2024-08-13,mex,global care services,0,2,0,7
2024-08-14,2024-08-20,mex,global care,4,11,0.36363636363636365,6.545454545454546
2024-08-14,2024-08-20,mex,globalcare,3,5,0.6,1
2024-08-14,2024-08-20,mex,global care center,0,1,0,7
2024-08-14,2024-08-20,mex,global care services,0,1,0,9
2024-08-14,2024-08-20,mex,global carr,0,1,0,7
2024-08-21,2024-08-27,mex,globalcare,5,6,0.8333333333333334,1.3333333333333333
2024-08-21,2024-08-27,mex,global care,0,6,0,4.666666666666666
2024-08-21,2024-08-27,mex,global care services,0,2,0,8
2024-08-28,2024-09-03,mex,global care,4,12,0.3333333333333333,5.583333333333333
2024-08-28,2024-09-03,mex,globalcare,4,12,0.3333333333333333,1.8333333333333335
2024-08-28,2024-09-03,mex,global care services,0,1,0,8
2024-09-04,2024-09-10,mex,globalcare,10,12,0.8333333333333334,1.4166666666666667
2024-09-04,2024-09-10,mex,dental care mexico,0,2,0,95
2024-09-04,2024-09-10,mex,global care,0,5,0,8.8
2024-09-04,2024-09-10,mex,global care services,0,1,0,9
2024-09-04,2024-09-10,mex,mexico dentist,0,1,0,90
2024-09-11,2024-09-17,mex,globalcare,4,8,0.5,1.375
2024-09-11,2024-09-17,mex,global care,2,5,0.4,5.2
2024-09-11,2024-09-17,mex,global care services,0,1,0,14
2024-09-11,2024-09-17,mex,la global care,0,1,0,11
2024-09-18,2024-09-24,mex,global care,9,17,0.5294117647058824,4
2024-09-18,2024-09-24,mex,globalcare,1,5,0.2,8.6
2024-09-18,2024-09-24,mex,ac dental care,0,1,0,1
2024-09-18,2024-09-24,mex,dental care in mexico,0,1,0,100
2024-09-18,2024-09-24,mex,global care services,0,2,0,12
2024-09-18,2024-09-24,mex,global dental near me,0,1,0,4
2024-09-18,2024-09-24,mex,globalcare inc,0,1,0,2
2024-09-25,2024-10-01,mex,globalcare,3,4,0.75,1.5
2024-09-25,2024-10-01,mex,global care,1,8,0.125,3
2024-09-25,2024-10-01,mex,global dental care,1,1,1,3
2024-10-02,2024-10-08,mex,globalcare,5,12,0.4166666666666667,1.5
2024-10-02,2024-10-08,mex,global care,4,11,0.36363636363636365,4.818181818181818
2024-10-02,2024-10-08,mex,global care services,0,2,0,9
2024-10-02,2024-10-08,mex,mexico dental clinics,0,1,0,83
2024-10-09,2024-10-15,mex,global care,3,4,0.75,5
2024-10-09,2024-10-15,mex,globalcare,2,6,0.3333333333333333,2.666666666666667
2024-10-09,2024-10-15,mex,financing for dental surgery in mexico,0,1,0,31
2024-10-09,2024-10-15,mex,global care group,0,1,0,3
2024-10-09,2024-10-15,mex,global care number,0,1,0,4
2024-10-09,2024-10-15,mex,mexico dental clinics,0,1,0,88
2024-10-16,2024-10-22,mex,global care,6,19,0.3157894736842105,3.789473684210526
2024-10-16,2024-10-22,mex,globalcare,2,8,0.25,2.375
2024-10-16,2024-10-22,mex,dental care in cancun,0,1,0,70
2024-10-16,2024-10-22,mex,dental work in mexico,0,1,0,95
2024-10-16,2024-10-22,mex,mexico dental care,0,1,0,98
2024-10-23,2024-10-29,mex,globalcare,8,12,0.6666666666666666,1.4166666666666667
2024-10-23,2024-10-29,mex,global care,3,9,0.3333333333333333,3.2222222222222223
2024-10-23,2024-10-29,mex,affordable dentist in mexico,0,1,0,77
2024-10-23,2024-10-29,mex,dental care mexico,0,1,0,62
2024-10-23,2024-10-29,mex,dental work in mexico,0,1,0,98
2024-10-23,2024-10-29,mex,dentists in mexico,0,1,0,83
2024-10-23,2024-10-29,mex,global care group,0,1,0,6
2024-10-23,2024-10-29,mex,global dental care,0,1,0,70
2024-10-30,2024-11-05,mex,globalcare,7,16,0.4375,1.4375
2024-10-30,2024-11-05,mex,global care,1,10,0.1,4.7
2024-10-30,2024-11-05,mex,dental care in cancun,0,9,0,81.44444444444444
2024-10-30,2024-11-05,mex,dental care in mexico,0,2,0,32.5
2024-10-30,2024-11-05,mex,dentist in mexico,0,1,0,75
2024-10-30,2024-11-05,mex,dentist mexico,0,3,0,76
2024-10-30,2024-11-05,mex,global care center,0,1,0,5
2024-10-30,2024-11-05,mex,global care industries,0,1,0,3
2024-10-30,2024-11-05,mex,global care services,0,1,0,8
2024-11-06,2024-11-12,mex,globalcare,7,17,0.4117647058823529,1.3529411764705883
2024-11-06,2024-11-12,mex,global care,1,9,0.1111111111111111,4.444444444444445
2024-11-06,2024-11-12,mex,dental care in cancun,0,4,0,85.5
2024-11-06,2024-11-12,mex,dental care mexico,0,2,0,33.5
2024-11-06,2024-11-12,mex,dental treatment in mexico,0,1,0,58
2024-11-06,2024-11-12,mex,dentist in mexico,0,1,0,78
2024-11-06,2024-11-12,mex,mexico dental clinics,0,1,0,65
2024-11-06,2024-11-12,mex,periodontist in mexico,0,1,0,94
2024-11-13,2024-11-19,mex,globalcare,2,5,0.4,1
2024-11-13,2024-11-19,mex,ac dental,0,1,0,1
2024-11-13,2024-11-19,mex,cheap dental care in mexico,0,1,0,65
2024-11-13,2024-11-19,mex,cheap dental work in mexico,0,2,0,65.5
2024-11-13,2024-11-19,mex,dental care in cancun,0,12,0,78.66666666666667
2024-11-13,2024-11-19,mex,dental clinic mexico,0,1,0,44
2024-11-13,2024-11-19,mex,dentist in mexico,0,1,0,74
2024-11-13,2024-11-19,mex,dentistry in mexico,0,1,0,67
2024-11-13,2024-11-19,mex,get dental,0,2,0,1
2024-11-13,2024-11-19,mex,global care,0,3,0,2.666666666666667
2024-11-13,2024-11-19,mex,mexico dental care,0,1,0,41
2024-11-13,2024-11-19,mex,mexico dental clinics,0,2,0,48
2024-11-20,2024-11-26,mex,global care,4,13,0.3076923076923077,4.923076923076923
2024-11-20,2024-11-26,mex,globalcare,2,6,0.3333333333333333,1
2024-11-20,2024-11-26,mex,cancun dental care view,0,1,0,70
2024-11-20,2024-11-26,mex,dental care in cancun,0,13,0,82
2024-11-20,2024-11-26,mex,get-who-cares.com,0,1,0,9
2024-11-20,2024-11-26,mex,get-who-cares.com/,0,1,0,9
2024-11-20,2024-11-26,mex,global care inc provider phone number,0,1,0,48
2024-11-20,2024-11-26,mex,global dental center,0,1,0,5
2024-11-20,2024-11-26,mex,global dental tijuana,0,1,0,7
2024-11-20,2024-11-26,mex,how to pay for dental work in mexico,0,1,0,94
2024-11-20,2024-11-26,mex,marietta dental care tijuana,0,1,0,58
2024-11-20,2024-11-26,mex,mexico city dental,0,1,0,83
2024-11-20,2024-11-26,mex,mexico dental,0,2,0,61
2024-11-20,2024-11-26,mex,my global dentist,0,2,0,7
2024-11-27,2024-12-03,mex,global care,4,13,0.3076923076923077,3
2024-11-27,2024-12-03,mex,globalcare,2,2,1,1
2024-11-27,2024-12-03,mex,cheap dental work in mexico,0,1,0,80
2024-11-27,2024-12-03,mex,dental care cancun mexico,0,1,0,89
2024-11-27,2024-12-03,mex,dental care in cancun,0,4,0,79.75
2024-11-27,2024-12-03,mex,dental clinic quotes,0,1,0,73
2024-11-27,2024-12-03,mex,dental mexico,0,1,0,62
2024-11-27,2024-12-03,mex,dentista cerca de mi,0,1,0,1
2024-11-27,2024-12-03,mex,dentistry mexico,0,1,0,58
2024-11-27,2024-12-03,mex,get dental,0,1,0,1
2024-11-27,2024-12-03,mex,get-who-cares.com,0,1,0,9
2024-11-27,2024-12-03,mex,get-who-cares.com/,0,1,0,9
2024-11-27,2024-12-03,mex,global care group,0,1,0,5
2024-11-27,2024-12-03,mex,global dental center,0,2,0,9
2024-11-27,2024-12-03,mex,mexico dental,0,1,0,59
2024-12-04,2024-12-10,mex,global care,4,8,0.5,5.375
2024-12-04,2024-12-10,mex,global care network,1,1,1,4
2024-12-04,2024-12-10,mex,globalcare,1,4,0.25,1
2024-12-04,2024-12-10,mex,my global dentist,1,10,0.1,6.6
2024-12-04,2024-12-10,mex,best dental care in mexico,0,1,0,97
2024-12-04,2024-12-10,mex,dental city mexico,0,1,0,85
2024-12-04,2024-12-10,mex,dental implants monterrey mexico,0,1,0,55
2024-12-04,2024-12-10,mex,dental work in mexico,0,1,0,96
2024-12-04,2024-12-10,mex,dentist in mexico near texas border,0,1,0,78
2024-12-04,2024-12-10,mex,get dental,0,1,0,9
