start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,global care,0,1,0,7
2024-05-08,2024-05-14,mex,global care services,0,1,0,14
2024-05-15,2024-05-21,mex,globalcare,0,1,0,4
2024-05-22,2024-05-28,mex,dental care abroad,0,1,0,64
2024-05-29,2024-06-04,mex,dental clinic abroad,0,1,0,67
2024-06-05,2024-06-11,mex,dental care abroad,0,1,0,66
2024-06-12,2024-06-18,mex,dental care abroad,0,1,0,75
2024-06-19,2024-06-25,mex,dental care abroad,0,1,0,66
2024-06-26,2024-07-02,mex,dental care abroad,0,1,0,61
2024-07-03,2024-07-09,mex,dental care abroad,0,1,0,35
2024-07-10,2024-07-16,mex,dental clinic abroad,0,1,0,28
2024-07-17,2024-07-23,mex,global care,0,2,0,1
2024-07-24,2024-07-30,mex,care dentist,0,1,0,6
2024-07-24,2024-07-30,mex,get mexico,0,1,0,9
2024-07-24,2024-07-30,mex,global care,0,4,0,1.25
2024-07-24,2024-07-30,mex,global dental center,0,2,0,12
2024-07-24,2024-07-30,mex,la global care,0,1,0,3
2024-07-31,2024-08-06,mex,global care,0,4,0,1.25
2024-07-31,2024-08-06,mex,global carr,0,1,0,3
2024-08-07,2024-08-13,mex,global care,0,2,0,2.5
