start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,dental scams,0,1,0,75
2024-05-08,2024-05-14,mex,dental scams,0,1,0,37
2024-05-15,2024-05-21,mex,dental scams,0,1,0,63
2024-05-22,2024-05-28,mex,dental scams,0,1,0,44
2024-05-29,2024-06-04,mex,dental scams,0,1,0,43
2024-06-05,2024-06-11,mex,dentist scams,0,1,0,56
2024-06-12,2024-06-18,mex,dental tourism association,0,1,0,61
2024-06-19,2024-06-25,mex,are dentists scammers,0,1,0,43
2024-06-19,2024-06-25,mex,dental scams,0,1,0,27
2024-06-26,2024-07-02,mex,dentavacation reviews,0,1,0,52
2024-07-03,2024-07-09,mex,dental scams,0,1,0,24
2024-07-10,2024-07-16,mex,dental tourism testimonials,0,1,0,63
2024-07-17,2024-07-23,mex,dental tourism testimonials,0,1,0,66
2024-07-24,2024-07-30,mex,dentist scams,0,1,0,34
2024-07-31,2024-08-06,mex,dental scams,0,2,0,23
2024-08-07,2024-08-13,mex,dental tourism association,0,1,0,27
2024-08-14,2024-08-20,mex,all inclusive dental vacation,0,1,0,93
2024-08-21,2024-08-27,mex,all inclusive dental vacation,0,1,0,99
2024-08-28,2024-09-03,mex,dental tourism testimonials,0,1,0,58
2024-09-04,2024-09-10,mex,dental tourism europe,0,1,0,86
2024-09-11,2024-09-17,mex,dental implant scams,0,1,0,30
2024-09-18,2024-09-24,mex,dental tourism facilitator,0,1,0,28
2024-09-25,2024-10-01,mex,dental scams,0,1,0,11
2024-10-02,2024-10-08,mex,dental scams,0,1,0,11
