start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,can i use my dental insurance in mexico,0,1,0,7
2024-05-08,2024-05-14,mex,can i use my dental insurance in mexico,0,1,0,6
2024-05-15,2024-05-21,mex,american dental plans,0,1,0,83
2024-05-15,2024-05-21,mex,dentist in mexicali baja california,0,1,0,2
2024-05-15,2024-05-21,mex,how to pay for dental work in mexico,0,1,0,64
2024-05-22,2024-05-28,mex,dental insurance mexico,0,1,0,19
2024-05-22,2024-05-28,mex,dentist in los algodones,0,1,0,2
2024-05-22,2024-05-28,mex,do mexican dentists take american insurance,0,1,0,11
2024-05-29,2024-06-04,mex,wisdom tooth extraction cost,0,1,0,2
2024-06-05,2024-06-11,mex,can i use my dental insurance in mexico,0,2,0,8
2024-06-12,2024-06-18,mex,dental treatment in mexico,0,2,0,101
2024-06-19,2024-06-25,mex,americas dental tourism market,0,2,0,102.5
2024-06-19,2024-06-25,mex,can i use my dental insurance in mexico,0,2,0,3.5
2024-06-19,2024-06-25,mex,dental tourism in mexico,0,1,0,96
2024-06-19,2024-06-25,mex,dental treatment in mexico,0,1,0,91
2024-06-26,2024-07-02,mex,dental insurance in mexico,0,1,0,9
2024-06-26,2024-07-02,mex,dental treatment in mexico,0,1,0,97
2024-07-03,2024-07-09,mex,dental tourism mexico,0,1,0,89
2024-07-10,2024-07-16,mex,can i use my dental insurance in mexico,0,1,0,9
2024-07-10,2024-07-16,mex,dental tourism in mexico,0,1,0,89
2024-07-17,2024-07-23,mex,dental travel insurance,0,1,0,93
2024-07-17,2024-07-23,mex,mexico dental tourism,0,1,0,78
2024-07-24,2024-07-30,mex,dental tourism mexico,0,1,0,98
2024-07-31,2024-08-06,mex,dental treatment in mexico,0,1,0,95
2024-08-07,2024-08-13,mex,dental tourism mexico,0,1,0,85
2024-08-14,2024-08-20,mex,dental travel mexico,0,1,0,78
2024-08-21,2024-08-27,mex,how to pay for dental work in mexico,0,1,0,53
2024-08-28,2024-09-03,mex,seguro dental méxico,0,1,0,2
2024-09-04,2024-09-10,mex,american dental plans,0,1,0,70
2024-09-04,2024-09-10,mex,americans going to mexico for dental work,0,1,0,50
2024-09-04,2024-09-10,mex,can i use my dental insurance in mexico,0,1,0,6
2024-09-04,2024-09-10,mex,dental insurance mexico,0,1,0,11
2024-09-04,2024-09-10,mex,seguro dental méxico,0,1,0,2
2024-09-11,2024-09-17,mex,can i use my dental insurance in mexico,0,1,0,7
2024-09-18,2024-09-24,mex,can i use my dental insurance in mexico,0,1,0,7
2024-09-18,2024-09-24,mex,dental travel mexico,0,1,0,84
2024-09-18,2024-09-24,mex,how to pay for dental work in mexico,0,1,0,44
2024-09-25,2024-10-01,mex,dental care in mexico,0,1,0,94
2024-09-25,2024-10-01,mex,dental tourism mexico,0,1,0,76
2024-09-25,2024-10-01,mex,how to pay for dental work in mexico,0,1,0,44
2024-10-02,2024-10-08,mex,american dental tijuana,0,1,0,76
2024-10-02,2024-10-08,mex,dental tourism in mexico,0,1,0,93
2024-10-02,2024-10-08,mex,mexico dental tourism,0,2,0,81
2024-10-02,2024-10-08,mex,travel to mexico for dental work,0,1,0,66
2024-10-09,2024-10-15,mex,american dental discount plan,0,1,0,64
2024-10-09,2024-10-15,mex,can i use my dental insurance in mexico,0,1,0,5
2024-10-09,2024-10-15,mex,dental insurance in mexico,0,1,0,1
2024-10-16,2024-10-22,mex,dental insurance in mexico,1,2,0.5,5.5
2024-10-16,2024-10-22,mex,can i use my dental insurance in mexico,0,1,0,5
2024-10-16,2024-10-22,mex,dental insurance mexico,0,1,0,5
2024-10-16,2024-10-22,mex,dental tourism in mexico,0,1,0,70
2024-10-16,2024-10-22,mex,how to pay for dental work in mexico,0,2,0,45
2024-10-16,2024-10-22,mex,is it illegal to have two dental insurance,0,1,0,77
2024-10-16,2024-10-22,mex,mexico dental,0,1,0,59
2024-10-23,2024-10-29,mex,can i use my dental insurance in mexico,0,1,0,9
2024-10-23,2024-10-29,mex,dental insurance in mexico,0,1,0,11
2024-10-23,2024-10-29,mex,dental mexico guide,0,1,0,67
2024-10-30,2024-11-05,mex,dental insurance in mexico,0,1,0,6
2024-10-30,2024-11-05,mex,dental insurance mexico,0,1,0,12
2024-10-30,2024-11-05,mex,dental tourism mexico,0,1,0,82
2024-10-30,2024-11-05,mex,dentist in tijuana that take us insurance,0,1,0,77
2024-10-30,2024-11-05,mex,how to pay for dental work in mexico,0,2,0,46
2024-11-06,2024-11-12,mex,can i use my dental insurance in mexico,0,3,0,6.666666666666667
2024-11-13,2024-11-19,mex,american dental care inc,0,1,0,62
2024-11-13,2024-11-19,mex,can i use my dental insurance in mexico,0,1,0,6
2024-11-13,2024-11-19,mex,dental insurance mexico,0,1,0,5
2024-11-13,2024-11-19,mex,dental tourism mexico,0,1,0,96
2024-11-20,2024-11-26,mex,mexico dental insurance,0,1,0,5
2024-11-27,2024-12-03,mex,american dental insurance accepted,0,1,0,6
2024-11-27,2024-12-03,mex,can i use my dental insurance in mexico,0,1,0,4
2024-11-27,2024-12-03,mex,dental tourism in mexico,0,1,0,52
2024-12-04,2024-12-10,mex,can i use my dental insurance in mexico,0,1,0,4
2024-12-04,2024-12-10,mex,dental insurance in mexico,0,2,0,1
2024-12-04,2024-12-10,mex,dental insurance mexico,0,3,0,6
2024-12-04,2024-12-10,mex,how to pay for dental work in mexico,0,1,0,37
2024-12-11,2024-12-17,mex,dental travel mexico,0,1,0,79
2024-12-11,2024-12-17,mex,how to pay for dental work in mexico,0,1,0,38
2024-12-18,2024-12-24,mex,american dental plans,0,1,0,85
2024-12-25,2024-12-31,mex,does us health insurance work in mexico,0,1,0,100
2025-01-01,2025-01-07,mex,dental insurance mexico,0,1,0,8
2025-01-08,2025-01-14,mex,dental insurance in mexico,0,1,0,4
2025-01-08,2025-01-14,mex,mexico dental vacation,0,1,0,50
2025-01-08,2025-01-14,mex,seguro dental méxico,0,1,0,11
2025-01-15,2025-01-21,mex,can i use my dental insurance in mexico,0,1,0,2
2025-01-15,2025-01-21,mex,dental insurance in mexico,0,1,0,1
2025-01-15,2025-01-21,mex,how to pay for dental work in mexico,0,1,0,39
2025-01-22,2025-01-28,mex,dental insurance in mexico,0,1,0,9
2025-01-29,2025-02-04,mex,does us health insurance work in mexico,0,1,0,100
2025-01-29,2025-02-04,mex,seguro dental méxico,0,2,0,10
2025-02-05,2025-02-11,mex,dental insurance in mexico,0,1,0,4
2025-02-05,2025-02-11,mex,do you need dental insurance,0,1,0,54
2025-02-12,2025-02-18,mex,can i use my dental insurance in mexico,0,1,0,6
2025-02-12,2025-02-18,mex,dental insurance in mexico,0,1,0,2
2025-02-12,2025-02-18,mex,dental insurance mexico,0,1,0,7
2025-02-19,2025-02-25,mex,can i use my dental insurance in another state,0,1,0,10
2025-02-19,2025-02-25,mex,dental insurance mexico,0,1,0,8
