start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,dental tourism in cancun,0,9,0,73.33333333333333
2024-05-01,2024-05-07,mex,dental vacations cancun,0,1,0,47
2024-05-08,2024-05-14,mex,cancun dental vacation,0,1,0,63
2024-05-08,2024-05-14,mex,dental tourism cancun,0,3,0,74
2024-05-08,2024-05-14,mex,dental tourism in cancun,0,11,0,62.90909090909091
2024-05-08,2024-05-14,mex,dental vacation cancun,0,1,0,46
2024-05-15,2024-05-21,mex,cancun dental tourism,0,1,0,54
2024-05-15,2024-05-21,mex,cancun dental vacation,0,1,0,60
2024-05-15,2024-05-21,mex,dental tourism cancun,0,1,0,66
2024-05-15,2024-05-21,mex,dental tourism cancun mexico,0,1,0,54
2024-05-15,2024-05-21,mex,dental tourism in cancun,0,8,0,70.375
2024-05-15,2024-05-21,mex,dental vacation cancun,0,1,0,46
2024-05-15,2024-05-21,mex,dental vacations cancun,0,1,0,45
2024-05-22,2024-05-28,mex,cancun dental tourism,0,1,0,51
2024-05-22,2024-05-28,mex,dental tourism cancun,0,2,0,61.5
2024-05-22,2024-05-28,mex,dental tourism in cancun,0,6,0,66.33333333333333
2024-05-22,2024-05-28,mex,dental vacations cancun,0,1,0,44
2024-05-29,2024-06-04,mex,dental tourism cancun,0,3,0,60
2024-05-29,2024-06-04,mex,dental tourism in cancun,0,5,0,64
2024-06-05,2024-06-11,mex,cancun dental tourism,0,1,0,52
2024-06-05,2024-06-11,mex,cancun dental vacation,0,1,0,38
2024-06-05,2024-06-11,mex,dental tourism cancun,0,1,0,31
2024-06-05,2024-06-11,mex,dental tourism in cancun,0,10,0,41
2024-06-12,2024-06-18,mex,cancun mexico dental tourism,0,1,0,41
2024-06-12,2024-06-18,mex,dental tourism in cancun,0,15,0,28.133333333333333
2024-06-19,2024-06-25,mex,best veneers cancun mexico,0,1,0,85
2024-06-19,2024-06-25,mex,dental care in cancun,0,1,0,90
2024-06-19,2024-06-25,mex,dental tourism cancun,0,1,0,30
2024-06-19,2024-06-25,mex,dental tourism in cancun,0,14,0,27.285714285714285
2024-06-19,2024-06-25,mex,dental work in cancún,0,1,0,78
2024-06-26,2024-07-02,mex,cancun dental veneers,0,1,0,96
2024-06-26,2024-07-02,mex,cancun mexico dental tourism,0,1,0,38
2024-06-26,2024-07-02,mex,dental tourism cancun,0,1,0,29
2024-06-26,2024-07-02,mex,dental tourism in cancun,0,13,0,27.23076923076923
2024-06-26,2024-07-02,mex,dental tourism packages 2023,0,1,0,35
2024-07-03,2024-07-09,mex,dental tourism in cancun,0,10,0,28.8
2024-07-10,2024-07-16,mex,cancun dental tourism,0,1,0,41
2024-07-10,2024-07-16,mex,dental tourism cancun,0,6,0,30.166666666666668
2024-07-10,2024-07-16,mex,dental tourism in cancun,0,14,0,30.571428571428573
2024-07-17,2024-07-23,mex,cancun mexico dental tourism,0,1,0,42
2024-07-17,2024-07-23,mex,dental tourism cancun,0,7,0,30.571428571428573
2024-07-17,2024-07-23,mex,dental tourism in cancun,0,12,0,30.583333333333332
2024-07-17,2024-07-23,mex,dental vacations cancun,0,1,0,41
2024-07-24,2024-07-30,mex,cancun dental tourism,0,1,0,40
2024-07-24,2024-07-30,mex,dental tourism cancun,0,9,0,31.11111111111111
2024-07-24,2024-07-30,mex,dental tourism in cancun,0,12,0,30.083333333333332
2024-07-24,2024-07-30,mex,dental vacations cancun,0,1,0,25
2024-07-31,2024-08-06,mex,dental tourism cancun,0,6,0,28.833333333333332
2024-07-31,2024-08-06,mex,dental tourism in cancun,0,11,0,30.454545454545453
2024-07-31,2024-08-06,mex,dental vacation cancun,0,1,0,31
2024-08-07,2024-08-13,mex,cancun dental veneers,0,1,0,92
2024-08-07,2024-08-13,mex,cancun for dental holiday,0,1,0,29
2024-08-07,2024-08-13,mex,dental tourism cancun,0,1,0,30
2024-08-07,2024-08-13,mex,dental tourism in cancun,0,3,0,33.333333333333336
2024-08-07,2024-08-13,mex,dental vacation cancun,0,1,0,32
2024-08-07,2024-08-13,mex,dental vacations cancun,0,1,0,37
2024-08-14,2024-08-20,mex,dental resort mexico,0,1,0,29
2024-08-14,2024-08-20,mex,dental tourism cancun,0,2,0,31.5
2024-08-14,2024-08-20,mex,dental tourism in cancun,0,9,0,29.666666666666668
2024-08-21,2024-08-27,mex,best veneers cancun mexico,0,1,0,88
2024-08-21,2024-08-27,mex,dental tourism cancun,0,1,0,19
2024-08-21,2024-08-27,mex,dental tourism in cancun,0,14,0,17.071428571428573
2024-08-21,2024-08-27,mex,dental vacations cancun,0,1,0,43
2024-08-28,2024-09-03,mex,dental tourism cancun,0,2,0,27.5
2024-08-28,2024-09-03,mex,dental tourism in cancun,0,16,0,15.375
2024-09-04,2024-09-10,mex,dental tourism cancun,0,2,0,25.5
2024-09-04,2024-09-10,mex,dental tourism in cancun,0,14,0,15.785714285714286
