start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,tijuana dental tourism,0,1,0,90
2024-05-08,2024-05-14,mex,best city in mexico for dental work,0,1,0,10
2024-05-08,2024-05-14,mex,is los algodones safe 2025,0,1,0,9
2024-05-08,2024-05-14,mex,mexico dental tourism packages,0,1,0,47
2024-05-08,2024-05-14,mex,mexico dental vacation,0,1,0,42
2024-05-15,2024-05-21,mex,best city in mexico for dental work,0,1,0,9
2024-05-15,2024-05-21,mex,cancun dental vacation,0,3,0,54.333333333333336
2024-05-15,2024-05-21,mex,dental tourism cancun,0,6,0,29.166666666666668
2024-05-15,2024-05-21,mex,dental tourism in cancun,0,12,0,31.5
2024-05-15,2024-05-21,mex,dental tourism mexico,0,1,0,46
2024-05-15,2024-05-21,mex,dental town in mexico,0,1,0,13
2024-05-15,2024-05-21,mex,dental vacation in mexico,0,1,0,87
2024-05-15,2024-05-21,mex,mexican dental vacation,0,1,0,43
2024-05-15,2024-05-21,mex,tijuana dental tourism,0,1,0,84
2024-05-22,2024-05-28,mex,best city in mexico for dental work,0,2,0,12
2024-05-22,2024-05-28,mex,dental tourism cancun,0,8,0,25.375
2024-05-22,2024-05-28,mex,dental tourism in cancun,0,14,0,31.357142857142858
2024-05-22,2024-05-28,mex,dental tourism in mexico,0,1,0,37
2024-05-22,2024-05-28,mex,dental vacation mexico,0,1,0,46
2024-05-22,2024-05-28,mex,dental vacation packages mexico,0,1,0,56
2024-05-22,2024-05-28,mex,mexico city dental tourism,0,2,0,45
2024-05-22,2024-05-28,mex,mexico dental vacation,0,1,0,46
2024-05-29,2024-06-04,mex,dental tourism cancun,0,1,0,31
2024-05-29,2024-06-04,mex,dental tourism in cancun,0,10,0,34.5
2024-05-29,2024-06-04,mex,dental tourism in mexico,0,1,0,34
2024-05-29,2024-06-04,mex,dental tourism los algodones mexico,0,1,0,34
2024-05-29,2024-06-04,mex,dental tourism mexico,0,1,0,45
2024-05-29,2024-06-04,mex,medical tourism for dentistry los algodones,0,1,0,54
2024-05-29,2024-06-04,mex,mexico dental tourism packages,0,1,0,39
2024-05-29,2024-06-04,mex,mexico dental vacation packages,0,1,0,49
2024-05-29,2024-06-04,mex,tijuana dental tourism,0,1,0,86
2024-05-29,2024-06-04,mex,travel to mexico for dental work,0,1,0,54
2024-06-05,2024-06-11,mex,dental tourism cancun,0,1,0,21
2024-06-05,2024-06-11,mex,dental tourism in cancun,0,2,0,30.5
2024-06-05,2024-06-11,mex,dental tourism in mexico,0,1,0,40
2024-06-05,2024-06-11,mex,dental vacation packages mexico,0,1,0,52
2024-06-12,2024-06-18,mex,dental tourism in cancun,0,5,0,31.4
2024-06-12,2024-06-18,mex,dental tourism los algodones,0,2,0,34.5
2024-06-12,2024-06-18,mex,mexico dental tourism packages,0,1,0,36
2024-06-19,2024-06-25,mex,dental tourism cancun,0,1,0,22
2024-06-19,2024-06-25,mex,dental tourism in cancun,0,10,0,31.4
2024-06-19,2024-06-25,mex,dental tourism mexico,0,3,0,12
2024-06-19,2024-06-25,mex,dental vacations mexico,0,1,0,53
2024-06-19,2024-06-25,mex,mexican dental tourism,0,1,0,34
2024-06-19,2024-06-25,mex,mexico dental tourism packages,0,1,0,34
2024-06-26,2024-07-02,mex,cancun dental tourism,0,1,0,22
2024-06-26,2024-07-02,mex,dental tourism cancun,0,1,0,33
2024-06-26,2024-07-02,mex,dental tourism cancun mx,0,1,0,34
2024-06-26,2024-07-02,mex,dental tourism in cancun,0,12,0,26.333333333333332
2024-06-26,2024-07-02,mex,dental tourism mexico,0,1,0,74
2024-06-26,2024-07-02,mex,dentist town in mexico,0,1,0,14
2024-06-26,2024-07-02,mex,medical tourism for dentistry los algodones mx,0,1,0,33
2024-06-26,2024-07-02,mex,mexican dental city,0,1,0,14
2024-06-26,2024-07-02,mex,mexico dental tourism packages,0,1,0,34
2024-06-26,2024-07-02,mex,mexico dental vacation,0,1,0,60
2024-07-03,2024-07-09,mex,all-inclusive dental packages mexico,0,1,0,42
2024-07-03,2024-07-09,mex,best city in mexico for dental work,0,1,0,62
2024-07-03,2024-07-09,mex,dental tourism cancun mexico,0,1,0,39
2024-07-03,2024-07-09,mex,dental tourism in cancun,0,7,0,28.428571428571427
2024-07-03,2024-07-09,mex,dental tourism in mexico,0,2,0,46
2024-07-03,2024-07-09,mex,dental vacations mexico,0,1,0,58
2024-07-03,2024-07-09,mex,going to mexico for dental work,0,1,0,39
2024-07-03,2024-07-09,mex,mexico dental tourism,0,1,0,71
2024-07-03,2024-07-09,mex,mexico dental vacation packages,0,1,0,44
2024-07-10,2024-07-16,mex,best city in mexico for dental work,0,2,0,10.5
2024-07-10,2024-07-16,mex,best places in mexico for dental work,0,1,0,11
2024-07-10,2024-07-16,mex,cancun dental tourism,0,1,0,34
2024-07-10,2024-07-16,mex,dental destinations,0,1,0,9
2024-07-10,2024-07-16,mex,dental tourism cancun mx,0,1,0,39
2024-07-10,2024-07-16,mex,dental tourism in cancun,0,8,0,36.375
2024-07-10,2024-07-16,mex,dental tourism in mexico,0,2,0,50.5
2024-07-10,2024-07-16,mex,dental tourism mexico,0,3,0,47.333333333333336
2024-07-10,2024-07-16,mex,medical tourism for dentistry los algodones mx,0,1,0,71
2024-07-10,2024-07-16,mex,mexico dental tourism,0,1,0,49
2024-07-10,2024-07-16,mex,mexico dental vacation packages,0,1,0,45
2024-07-17,2024-07-23,mex,dental tourism cancun mx,0,6,0,35.333333333333336
2024-07-17,2024-07-23,mex,dental tourism in cancun,0,11,0,25.90909090909091
2024-07-17,2024-07-23,mex,dental tourism in mexico,0,4,0,21.25
2024-07-17,2024-07-23,mex,dental tourism mexico,0,8,0,23.75
2024-07-17,2024-07-23,mex,is barranquilla safe,0,1,0,2
2024-07-17,2024-07-23,mex,quality dental treatments mexico,0,4,0,85.5
2024-07-24,2024-07-30,mex,cancun dental prices,0,3,0,100.33333333333333
2024-07-24,2024-07-30,mex,dental tourism cancun mx,0,7,0,34.142857142857146
2024-07-24,2024-07-30,mex,dental tourism in cancun,0,10,0,24.3
2024-07-24,2024-07-30,mex,dental tourism in mexico,0,3,0,18.333333333333332
2024-07-24,2024-07-30,mex,dental tourism mexico,0,9,0,27.22222222222222
2024-07-24,2024-07-30,mex,dental vacation puerto vallarta,0,1,0,76
2024-07-24,2024-07-30,mex,mexican dental tourism,0,1,0,27
2024-07-24,2024-07-30,mex,mexico dental tourism,0,2,0,20.5
2024-07-24,2024-07-30,mex,quality dental treatments mexico,0,4,0,86
2024-07-31,2024-08-06,mex,dental care in mexico,0,1,0,81
2024-07-31,2024-08-06,mex,dental tourism cancun mx,0,2,0,37.5
2024-07-31,2024-08-06,mex,dental tourism in cancun,0,4,0,33.5
2024-07-31,2024-08-06,mex,dental tourism in mexico,0,1,0,30
2024-07-31,2024-08-06,mex,dental tourism mexico,0,11,0,54.81818181818182
2024-07-31,2024-08-06,mex,medical tourism for dentistry los algodones mx,0,2,0,65.5
2024-07-31,2024-08-06,mex,mexico dental city,0,1,0,15
2024-07-31,2024-08-06,mex,one destination clinic cancun mx,0,3,0,91
2024-08-07,2024-08-13,mex,dental tourism in mexico,0,5,0,38.4
2024-08-07,2024-08-13,mex,dental tourism mexico,0,8,0,51.75
2024-08-07,2024-08-13,mex,medical tourism for dentistry los algodones,0,2,0,90
2024-08-07,2024-08-13,mex,medical tourism for dentistry los algodones mx,0,7,0,63
2024-08-14,2024-08-20,mex,dental destinations cancun,0,1,0,43
2024-08-14,2024-08-20,mex,dental tourism in mexico,0,2,0,41.5
2024-08-14,2024-08-20,mex,dental tourism mexico,0,7,0,50.42857142857143
2024-08-14,2024-08-20,mex,medical tourism for dentistry los algodones,0,3,0,71.66666666666667
2024-08-14,2024-08-20,mex,medical tourism for dentistry los algodones mx,0,9,0,61.77777777777778
2024-08-21,2024-08-27,mex,dental destinations,0,2,0,9
2024-08-21,2024-08-27,mex,dental tourism in mexico,0,1,0,52
2024-08-21,2024-08-27,mex,dental tourism mexico,0,7,0,44.57142857142857
2024-08-21,2024-08-27,mex,medical tourism for dentistry los algodones,0,3,0,97
2024-08-21,2024-08-27,mex,medical tourism for dentistry los algodones mx,0,6,0,71.33333333333333
2024-08-28,2024-09-03,mex,dental tourism in mexico,0,2,0,42
2024-08-28,2024-09-03,mex,dental tourism mexico,0,7,0,46.42857142857143
2024-08-28,2024-09-03,mex,medical tourism for dentistry los algodones,0,1,0,97
2024-08-28,2024-09-03,mex,medical tourism for dentistry los algodones mx,0,5,0,70.4
