start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,beautiful smiles,0,1,0,8
2024-05-01,2024-05-07,mex,beauty smile,0,2,0,7.5
2024-05-01,2024-05-07,mex,dental solutions pureto vallarta,0,1,0,31
2024-05-08,2024-05-14,mex,beauty smile,0,2,0,9
2024-05-08,2024-05-14,mex,clinica beautiful smile,0,1,0,6
2024-05-08,2024-05-14,mex,dental clinic in puerto vallarta,0,1,0,51
2024-05-08,2024-05-14,mex,dentist puerto vallarta,0,2,0,78.5
2024-05-08,2024-05-14,mex,teeth whitening puerto vallarta,0,1,0,45
2024-05-15,2024-05-21,mex,dental clinic puerto vallarta,0,1,0,10
2024-05-15,2024-05-21,mex,dental express puerto vallarta,0,1,0,49
2024-05-15,2024-05-21,mex,dental solutions puerto vallarta,0,1,0,35
2024-05-22,2024-05-28,mex,beauty smile,0,2,0,10.5
2024-05-22,2024-05-28,mex,dental care puerto vallarta,0,1,0,56
2024-05-29,2024-06-04,mex,dental clinic puerto vallarta,0,1,0,14
2024-05-29,2024-06-04,mex,just smiles puerto vallarta,0,1,0,87
2024-05-29,2024-06-04,mex,pretty smiles dental,0,1,0,14
2024-05-29,2024-06-04,mex,veneers in puerto vallarta,0,1,0,40
2024-06-05,2024-06-11,mex,beauty smile,0,3,0,8.333333333333332
2024-06-05,2024-06-11,mex,new smile dental clinic,0,3,0,17.333333333333332
2024-06-12,2024-06-18,mex,beauty smile,0,2,0,6
2024-06-19,2024-06-25,mex,beauty smile,0,3,0,10.666666666666666
2024-06-19,2024-06-25,mex,pretty smiles dental,0,1,0,9
2024-06-26,2024-07-02,mex,beauty and smile,0,1,0,7
2024-06-26,2024-07-02,mex,beauty smile,0,4,0,11.5
2024-06-26,2024-07-02,mex,beuty smile,0,1,0,12
2024-06-26,2024-07-02,mex,pretty smile dental,0,1,0,10
2024-06-26,2024-07-02,mex,pretty smiles dental,0,1,0,7
2024-07-03,2024-07-09,mex,beaty smile,0,1,0,10
2024-07-03,2024-07-09,mex,beauty smile,0,4,0,9.25
2024-07-10,2024-07-16,mex,beauty smile,0,2,0,10
2024-07-17,2024-07-23,mex,beauty smile,0,2,0,7
2024-07-17,2024-07-23,mex,beauty smile dental,0,1,0,6
2024-07-17,2024-07-23,mex,beauty smile dental clinic,0,1,0,3
2024-07-17,2024-07-23,mex,teeth veneers near me,0,2,0,12
2024-07-24,2024-07-30,mex,beauty smile,0,6,0,7.166666666666667
2024-07-24,2024-07-30,mex,new smile dental clinic,0,1,0,14
2024-07-24,2024-07-30,mex,pretty smile dental clinic,0,1,0,17
2024-07-31,2024-08-06,mex,beauty smile,0,4,0,7.25
2024-07-31,2024-08-06,mex,new smile dental clinic,0,2,0,13.5
2024-07-31,2024-08-06,mex,smile dental clinic,0,1,0,12
2024-07-31,2024-08-06,mex,smile me dental clinic,0,2,0,12
2024-08-07,2024-08-13,mex,beauty smile,0,12,0,6.416666666666667
2024-08-07,2024-08-13,mex,beauty smile puerto vallarta,0,9,0,5.111111111111111
2024-08-07,2024-08-13,mex,beauty smiles,0,1,0,4
2024-08-07,2024-08-13,mex,dentists puerto vallarta,0,1,0,4
2024-08-14,2024-08-20,mex,beauty smile reviews,1,1,1,2
2024-08-14,2024-08-20,mex,beauty smile,0,2,0,7
2024-08-14,2024-08-20,mex,beauty smile puerto vallarta,0,3,0,5
2024-08-14,2024-08-20,mex,new smile dental clinic,0,1,0,12
2024-08-14,2024-08-20,mex,newsmile dental clinic,0,1,0,15
2024-08-21,2024-08-27,mex,beauty smile puerto vallarta,1,5,0.2,5.2
2024-08-21,2024-08-27,mex,_beauty_smile_,0,1,0,8
2024-08-21,2024-08-27,mex,beauty smile,0,8,0,8.375
2024-08-21,2024-08-27,mex,beauty smiles,0,1,0,4
2024-08-21,2024-08-27,mex,cosmetic dentis in puerto vallarta,0,1,0,53
2024-08-21,2024-08-27,mex,dentista puerto vallarta,0,1,0,1
2024-08-21,2024-08-27,mex,new smile dental clinic,0,2,0,10
2024-08-21,2024-08-27,mex,teeth whitening puerto vallarta,0,1,0,1
2024-08-28,2024-09-03,mex,beauty smile,0,1,0,8
2024-08-28,2024-09-03,mex,beauty smile puerto vallarta,0,1,0,5
2024-08-28,2024-09-03,mex,beauty smiles,0,2,0,4
2024-08-28,2024-09-03,mex,dental smiles,0,1,0,10
2024-08-28,2024-09-03,mex,smile me dental clinic,0,1,0,14
2024-08-28,2024-09-03,mex,teeth whitening puerto vallarta,0,1,0,1
2024-09-04,2024-09-10,mex,_beauty_smile_,0,2,0,7.5
2024-09-04,2024-09-10,mex,beauty smile,0,2,0,7
2024-09-04,2024-09-10,mex,beauty smile puerto vallarta,0,4,0,4.5
2024-09-04,2024-09-10,mex,beauty smiles,0,1,0,4
