start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,bio dental care,0,1,0,79
2024-05-01,2024-05-07,mex,biodental care tijuana,0,2,0,14
2024-05-08,2024-05-14,mex,bio dental care,0,2,0,81.5
2024-05-08,2024-05-14,mex,biodental care reviews,0,5,0,11.6
2024-05-15,2024-05-21,mex,bio dental care tijuana,0,3,0,12.333333333333334
2024-05-15,2024-05-21,mex,biodental care reviews,0,1,0,11
2024-05-15,2024-05-21,mex,biodental mexico,0,1,0,42
2024-05-15,2024-05-21,mex,dental rio tijuana,0,1,0,57
2024-05-22,2024-05-28,mex,american biodental reviews,0,1,0,37
2024-05-22,2024-05-28,mex,american biodental tijuana,0,1,0,36
2024-05-22,2024-05-28,mex,bio dental care,0,1,0,11
2024-05-22,2024-05-28,mex,bio dental care tijuana,0,1,0,13
2024-05-22,2024-05-28,mex,biodental,0,1,0,82
2024-05-22,2024-05-28,mex,biodental care,0,2,0,12
2024-05-22,2024-05-28,mex,biodental care reviews,0,2,0,9
2024-05-22,2024-05-28,mex,biodental care tijuana,0,3,0,13
2024-05-29,2024-06-04,mex,biodental care,0,2,0,7.5
2024-05-29,2024-06-04,mex,dental solutions tijuana,0,2,0,47.5
2024-06-05,2024-06-11,mex,bio dental care,0,1,0,9
2024-06-05,2024-06-11,mex,bio dental care tijuana,0,1,0,11
2024-06-05,2024-06-11,mex,biodental,0,1,0,68
2024-06-05,2024-06-11,mex,biodental care,0,3,0,10.666666666666666
2024-06-05,2024-06-11,mex,biodental care tijuana,0,1,0,14
2024-06-05,2024-06-11,mex,tijuana dental care,0,1,0,92
2024-06-12,2024-06-18,mex,bio dental care tijuana,0,4,0,12
2024-06-12,2024-06-18,mex,bio dental care tijuana reviews,0,1,0,10
2024-06-12,2024-06-18,mex,biodental care tijuana,0,1,0,14
2024-06-12,2024-06-18,mex,biodental tijuana,0,1,0,11
2024-06-19,2024-06-25,mex,biodental care,0,1,0,8
2024-06-19,2024-06-25,mex,dental clinic tijuana,0,1,0,67
2024-06-26,2024-07-02,mex,biodental,0,1,0,68
2024-06-26,2024-07-02,mex,biodental care tijuana,0,2,0,14
2024-06-26,2024-07-02,mex,dental clinic in tijuana,0,1,0,76
2024-06-26,2024-07-02,mex,dental clinic tijuana,0,1,0,85
2024-06-26,2024-07-02,mex,dental rio tijuana,0,1,0,43
2024-07-03,2024-07-09,mex,bc dental tijuana,0,1,0,46
2024-07-03,2024-07-09,mex,best dental clinic in tijuana,0,1,0,136
2024-07-03,2024-07-09,mex,biodental care,0,1,0,14
2024-07-10,2024-07-16,mex,all dental tijuana,0,1,0,85
2024-07-10,2024-07-16,mex,bio dental care tijuana,0,2,0,9.5
2024-07-10,2024-07-16,mex,bio dental tijuana,0,1,0,15
2024-07-10,2024-07-16,mex,bio holistic dental tijuana,0,1,0,60
2024-07-10,2024-07-16,mex,biodental,0,1,0,73
2024-07-10,2024-07-16,mex,biodental care,0,1,0,15
2024-07-10,2024-07-16,mex,biodental care tijuana,0,4,0,11.25
2024-07-10,2024-07-16,mex,biodental tijuana,0,1,0,12
2024-07-17,2024-07-23,mex,biodental care reviews,0,2,0,9.5
2024-07-17,2024-07-23,mex,biodental care tijuana,0,1,0,8
2024-07-24,2024-07-30,mex,bio dental care tijuana,0,3,0,26.666666666666668
2024-07-24,2024-07-30,mex,bio dental care tijuana reviews,0,2,0,8
2024-07-24,2024-07-30,mex,bio holistic dental tijuana,0,1,0,52
