start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,best dental implants playa del carmen,0,1,0,65
2024-05-01,2024-05-07,mex,colorado dental spa,0,1,0,65
2024-05-01,2024-05-07,mex,"dentalspa, dentistas en playa del carmen",0,2,0,10
2024-05-01,2024-05-07,mex,dentist playa del carmen,0,1,0,56
2024-05-08,2024-05-14,mex,dentist playa del carmen,0,1,0,68
2024-05-15,2024-05-21,mex,playa del carmen dentist,0,1,0,61
2024-05-22,2024-05-28,mex,dental spa playa del carmen,0,2,0,10
2024-05-29,2024-06-04,mex,dental spa playa del carmen,0,1,0,10
2024-06-05,2024-06-11,mex,dental clinics in playa del carmen,0,1,0,37
2024-06-05,2024-06-11,mex,dental spa playa del carmen,0,1,0,13
2024-06-05,2024-06-11,mex,playa del carmen dentist,0,1,0,71
2024-06-12,2024-06-18,mex,dental spa playa del carmen,0,2,0,10
2024-06-12,2024-06-18,mex,dentist in playa del carmen,0,1,0,58
2024-06-12,2024-06-18,mex,dentist playa del carmen,0,2,0,58.5
2024-06-12,2024-06-18,mex,glow dental spa,0,3,0,12
2024-06-19,2024-06-25,mex,dental clinics in playa del carmen,0,1,0,32
2024-06-19,2024-06-25,mex,dental treatment in playa del carmen,0,1,0,38
2024-06-19,2024-06-25,mex,dentists playa del carmen,0,1,0,54
2024-06-19,2024-06-25,mex,glow dental spa,0,1,0,13
2024-06-26,2024-07-02,mex,dental spa utah,0,1,0,58
2024-06-26,2024-07-02,mex,glow dental spa,0,1,0,13
2024-07-03,2024-07-09,mex,dental clinics in playa del carmen,0,1,0,32
2024-07-03,2024-07-09,mex,dental spa playa del carmen,0,3,0,9.333333333333334
2024-07-03,2024-07-09,mex,dentists playa del carmen,0,1,0,50
