start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,odc cancun,0,2,0,6
2024-05-01,2024-05-07,mex,odc dental clinic,0,1,0,10
2024-05-08,2024-05-14,mex,best dental clinic in cancun,0,1,0,74
2024-05-08,2024-05-14,mex,dental clinic cancun,0,1,0,73
2024-05-08,2024-05-14,mex,dental clinic in cancun,0,2,0,65.5
2024-05-08,2024-05-14,mex,odc,0,1,0,3
2024-05-08,2024-05-14,mex,odc cancun,0,1,0,1
2024-05-08,2024-05-14,mex,odc dental clinic,0,1,0,11
2024-05-08,2024-05-14,mex,one destination clinic,0,1,0,24
2024-05-08,2024-05-14,mex,one destination clinic cancun,0,1,0,19
2024-05-08,2024-05-14,mex,one destination clinic cancún reviews,0,1,0,15
2024-05-15,2024-05-21,mex,best dental clinic in cancun,0,1,0,81
2024-05-15,2024-05-21,mex,dental clinic cancun,0,1,0,71
2024-05-15,2024-05-21,mex,odc dental clinic,0,1,0,15
2024-05-15,2024-05-21,mex,one destination clinic cancun,0,1,0,9
2024-05-22,2024-05-28,mex,dental clinic cancun photos,0,2,0,103.5
2024-05-22,2024-05-28,mex,dental clinic in cancun,0,2,0,70.5
2024-05-22,2024-05-28,mex,one destination clinic cancún reviews,0,1,0,11
2024-05-22,2024-05-28,mex,opiniones de one destination clinic,0,7,0,11
2024-05-29,2024-06-04,mex,dental clinic in cancun,0,1,0,81
2024-05-29,2024-06-04,mex,odc cancun,0,2,0,2.5
2024-05-29,2024-06-04,mex,odc clinic,0,3,0,15
2024-05-29,2024-06-04,mex,opiniones de one destination clinic,0,9,0,11.222222222222221
2024-06-05,2024-06-11,mex,dental clinic cancun,0,2,0,73.5
2024-06-05,2024-06-11,mex,dental clinic in cancun,0,1,0,75
2024-06-05,2024-06-11,mex,one destination clinic cancun,0,1,0,11
2024-06-05,2024-06-11,mex,one destination clinic cancún reviews,0,1,0,11
2024-06-12,2024-06-18,mex,cancun dental care view,0,1,0,84
2024-06-12,2024-06-18,mex,dental clinic cancun photos,0,1,0,81
2024-06-12,2024-06-18,mex,odc cancun,0,1,0,4
2024-06-12,2024-06-18,mex,one destination clinic,0,3,0,11.333333333333334
2024-06-12,2024-06-18,mex,opiniones de one destination clinic,0,1,0,20
2024-06-19,2024-06-25,mex,odc cancun,0,1,0,4
2024-06-19,2024-06-25,mex,odc dental clinic,0,2,0,17.5
2024-06-19,2024-06-25,mex,opiniones de one destination clinic,0,2,0,12
2024-06-26,2024-07-02,mex,best dental clinic in cancun,0,1,0,59
2024-06-26,2024-07-02,mex,dental clinic cancun,0,1,0,66
2024-06-26,2024-07-02,mex,dental clinic cancun mexico,0,1,0,79
2024-06-26,2024-07-02,mex,dental clinic in cancun,0,1,0,58
2024-06-26,2024-07-02,mex,one destination clinic,0,3,0,8.333333333333332
2024-06-26,2024-07-02,mex,opiniones de one destination clinic,0,1,0,12
2024-07-03,2024-07-09,mex,cancun dental care complaints,0,1,0,37
2024-07-03,2024-07-09,mex,cancun dental care view,0,1,0,56
2024-07-03,2024-07-09,mex,class one dental clinic,0,1,0,86
2024-07-03,2024-07-09,mex,odc dental clinic,0,1,0,5
2024-07-03,2024-07-09,mex,one destination clinic,0,1,0,11
2024-07-03,2024-07-09,mex,one destination clinic cancun,0,5,0,11.6
2024-07-03,2024-07-09,mex,one destination clinic cancun reviews,0,1,0,9
2024-07-03,2024-07-09,mex,one destination clinic cancún reviews,0,3,0,9
2024-07-03,2024-07-09,mex,opiniones de one destination clinic,0,2,0,12
2024-07-10,2024-07-16,mex,dental care cancun,0,1,0,79
2024-07-10,2024-07-16,mex,dental clinic cancun,0,1,0,58
2024-07-10,2024-07-16,mex,dental clinic cancun mexico,0,2,0,72
2024-07-10,2024-07-16,mex,dental clinic in cancun,0,1,0,62
2024-07-10,2024-07-16,mex,odc cancun,0,3,0,7
2024-07-10,2024-07-16,mex,one destination clinic cancun,0,3,0,8.333333333333332
2024-07-10,2024-07-16,mex,one destination clinic cancún reviews,0,1,0,8
2024-07-17,2024-07-23,mex,best veneers cancun mexico,0,1,0,99
2024-07-17,2024-07-23,mex,cancun dentist reviews,0,1,0,84
2024-07-17,2024-07-23,mex,dental clinic cancun mexico,0,1,0,69
2024-07-17,2024-07-23,mex,dental clinic cancun reviews,0,1,0,61
2024-07-17,2024-07-23,mex,destination dental,0,1,0,77
2024-07-17,2024-07-23,mex,one destination clinic cancun,0,1,0,4
2024-07-24,2024-07-30,mex,odc cancun,1,2,0.5,6.5
2024-07-24,2024-07-30,mex,cancun dentist reviews,0,1,0,86
2024-07-24,2024-07-30,mex,dental clinic cancun mexico,0,1,0,64
2024-07-24,2024-07-30,mex,dental clinic cancun reviews,0,2,0,57.5
2024-07-24,2024-07-30,mex,dentics cancun reviews,0,1,0,74
2024-07-24,2024-07-30,mex,odc dental,0,2,0,13.5
2024-07-24,2024-07-30,mex,odc dental clinic,0,1,0,5
2024-07-24,2024-07-30,mex,one destination clinic cancun,0,5,0,8.8
2024-07-24,2024-07-30,mex,one destination clinic cancun reviews,0,1,0,6
2024-07-24,2024-07-30,mex,opiniones de one destination clinic,0,3,0,11
2024-07-31,2024-08-06,mex,clinica dental cancun,0,1,0,70
2024-07-31,2024-08-06,mex,dental clinics in cancun mexico,0,2,0,74
2024-07-31,2024-08-06,mex,odc cancun,0,6,0,7.166666666666667
2024-07-31,2024-08-06,mex,one dental clinic,0,1,0,8
2024-07-31,2024-08-06,mex,one destination clinic,0,9,0,12.222222222222221
2024-07-31,2024-08-06,mex,one destination clinic cancun,0,7,0,12.142857142857142
2024-07-31,2024-08-06,mex,one destination clinic cancun reviews,0,1,0,6
2024-07-31,2024-08-06,mex,opiniones de one destination clinic,0,5,0,8
2024-08-07,2024-08-13,mex,dental clinic cancun,0,1,0,77
2024-08-07,2024-08-13,mex,dental clinic cancun reviews,0,1,0,54
2024-08-07,2024-08-13,mex,dentics cancun reviews,0,1,0,54
2024-08-07,2024-08-13,mex,odc cancun,0,3,0,7.333333333333333
2024-08-07,2024-08-13,mex,one destination clinic,0,32,0,10.8125
2024-08-07,2024-08-13,mex,one destination clinic cancun,0,3,0,7.666666666666667
2024-08-07,2024-08-13,mex,opiniones de one destination clinic,0,6,0,8.666666666666668
2024-08-14,2024-08-20,mex,dental clinic cancun,0,2,0,80.5
2024-08-14,2024-08-20,mex,dental clinic in cancun,0,1,0,66
2024-08-14,2024-08-20,mex,odc cancun,0,5,0,7.4
2024-08-14,2024-08-20,mex,odc dental,0,2,0,9
2024-08-14,2024-08-20,mex,one destination clinic,0,20,0,9.2
2024-08-14,2024-08-20,mex,one destination clinic cancun,0,3,0,10.666666666666666
2024-08-14,2024-08-20,mex,opiniones de one destination clinic,0,1,0,9
2024-08-21,2024-08-27,mex,77500 text message,0,1,0,62
2024-08-21,2024-08-27,mex,dental clinic cancun,0,1,0,62
2024-08-21,2024-08-27,mex,dental clinic in cancun,0,1,0,46
2024-08-21,2024-08-27,mex,destination dental care,0,1,0,90
2024-08-21,2024-08-27,mex,odc cancun,0,7,0,9.428571428571429
2024-08-21,2024-08-27,mex,one destination clinic,0,26,0,9.192307692307692
2024-08-21,2024-08-27,mex,one destination clinic cancun,0,11,0,9.818181818181818
2024-08-21,2024-08-27,mex,one destination clinic cancún reviews,0,10,0,7
2024-08-21,2024-08-27,mex,opiniones de one destination clinic,0,10,0,7.7
