start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,dental clinics in playa del carmen,0,1,0,83
2024-05-08,2024-05-14,mex,dental implants in playa del carmen,0,1,0,75
2024-05-08,2024-05-14,mex,playa del carmen dentists prices,0,1,0,42
2024-05-15,2024-05-21,mex,best dental implants playa del carmen,0,1,0,52
2024-05-15,2024-05-21,mex,dentist playa del carmen,0,1,0,69
2024-05-22,2024-05-28,mex,dentist playa del carmen,0,1,0,60
2024-05-29,2024-06-04,mex,dental implants playa del carmen,0,1,0,64
2024-06-05,2024-06-11,mex,white coast restorative dentistry,0,2,0,11
2024-06-12,2024-06-18,mex,white coast restorative dentistry,0,1,0,15
2024-06-19,2024-06-25,mex,dentist in playa del carmen,0,1,0,66
2024-06-19,2024-06-25,mex,dentists in playa del carmen,0,1,0,71
2024-06-26,2024-07-02,mex,dental implants in playa del carmen,0,1,0,59
2024-07-03,2024-07-09,mex,best dentist in playa del carmen,0,1,0,61
2024-07-10,2024-07-16,mex,best dentist in playa del carmen,0,1,0,11
2024-07-10,2024-07-16,mex,english speaking dentist playa del carmen,0,1,0,6
2024-07-10,2024-07-16,mex,white coast restorative dentistry,0,1,0,8
2024-07-17,2024-07-23,mex,los algodones porcelain veneers,0,1,0,85
2024-07-24,2024-07-30,mex,english therapy playa del carmen q.r.,0,1,0,75
2024-07-24,2024-07-30,mex,white coast restorative dentistry,0,5,0,6.8
2024-07-24,2024-07-30,mex,white dental clinic,0,2,0,6
2024-07-31,2024-08-06,mex,dentists playa del carmen,0,1,0,38
2024-07-31,2024-08-06,mex,english speaking dentist playa del carmen,0,1,0,8
2024-08-07,2024-08-13,mex,best dentist in playa del carmen,0,2,0,33.5
2024-08-07,2024-08-13,mex,dental clinics in playa del carmen,0,1,0,16
2024-08-07,2024-08-13,mex,dentist in playa del carmen,0,1,0,32
2024-08-07,2024-08-13,mex,mz dentistry,0,1,0,73
2024-08-14,2024-08-20,mex,best dentist in playa del carmen,0,1,0,32
2024-08-14,2024-08-20,mex,english speaking dentist playa del carmen,0,1,0,21
2024-08-21,2024-08-27,mex,best dentist in playa del carmen,0,2,0,33
2024-08-21,2024-08-27,mex,best dentist playa del carmen,0,1,0,30
2024-08-21,2024-08-27,mex,english speaking dentist playa del carmen,0,1,0,12
2024-08-28,2024-09-03,mex,best dentist playa del carmen,0,1,0,11
