start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,white smile studio,0,1,0,10
2024-05-08,2024-05-14,mex,white smile studio,0,15,0,11.866666666666667
2024-05-15,2024-05-21,mex,white clinica dental,0,1,0,10
2024-05-15,2024-05-21,mex,white smile dental clinic,0,1,0,10
2024-05-15,2024-05-21,mex,white smile studio,0,3,0,12
2024-05-22,2024-05-28,mex,white smile clinic,0,1,0,11
2024-05-22,2024-05-28,mex,white smile studio,0,2,0,11
2024-05-29,2024-06-04,mex,dental office,0,1,0,6
2024-05-29,2024-06-04,mex,teeth whitening puerto vallarta,0,1,0,56
2024-05-29,2024-06-04,mex,white dental,0,1,0,3
2024-05-29,2024-06-04,mex,white smile studio,0,8,0,10.375
2024-06-05,2024-06-11,mex,white smile studio,0,8,0,9.875
2024-06-12,2024-06-18,mex,white dental,0,1,0,10
2024-06-12,2024-06-18,mex,white smile studio,0,4,0,10.75
2024-06-19,2024-06-25,mex,white smile studio,0,2,0,16
2024-06-26,2024-07-02,mex,just smiles puerto vallarta,0,1,0,26
2024-06-26,2024-07-02,mex,white smile studio,0,4,0,11.5
2024-07-03,2024-07-09,mex,clinica white,0,1,0,12
2024-07-03,2024-07-09,mex,english-speaking dentists in puerto vallarta,0,1,0,11
2024-07-03,2024-07-09,mex,white smile clinic,0,1,0,8
2024-07-03,2024-07-09,mex,white smile dental clinic,0,1,0,5
2024-07-03,2024-07-09,mex,white smile studio,0,1,0,6
2024-07-10,2024-07-16,mex,english-speaking dentists in puerto vallarta,0,2,0,12
2024-07-10,2024-07-16,mex,white smile dental clinic,0,2,0,5
2024-07-10,2024-07-16,mex,white smile studio,0,5,0,7.6
2024-07-17,2024-07-23,mex,english-speaking dentists in puerto vallarta,0,1,0,16
2024-07-17,2024-07-23,mex,white smile studio,0,1,0,15
2024-07-24,2024-07-30,mex,english-speaking dentists in puerto vallarta,0,1,0,14
2024-07-24,2024-07-30,mex,puerto vallarta teeth whitening,0,1,0,2
2024-07-24,2024-07-30,mex,whiten my teeth near me,0,2,0,10
2024-07-31,2024-08-06,mex,english-speaking dentists in puerto vallarta,0,1,0,11
2024-07-31,2024-08-06,mex,teeth whitening puerto vallarta,0,1,0,52
2024-08-07,2024-08-13,mex,white smile dental,0,1,0,5
2024-08-14,2024-08-20,mex,dental clinic in puerto vallarta,0,1,0,30
2024-08-21,2024-08-27,mex,white smiles dental,0,1,0,5
2024-08-28,2024-09-03,mex,clinica white dental,0,1,0,11
2024-08-28,2024-09-03,mex,dental clinic in puerto vallarta,0,1,0,30
2024-08-28,2024-09-03,mex,puerto vallarta dentist,0,1,0,7
2024-08-28,2024-09-03,mex,washington street dental,0,1,0,10
2024-09-04,2024-09-10,mex,english-speaking dentists in puerto vallarta,0,1,0,10
2024-09-04,2024-09-10,mex,white smiles,0,1,0,10
2024-09-11,2024-09-17,mex,dental vacation puerto vallarta,0,1,0,76
2024-09-11,2024-09-17,mex,english-speaking dentists in puerto vallarta,0,1,0,10
2024-09-18,2024-09-24,mex,white smile dental clinic,0,1,0,4
2024-09-25,2024-10-01,mex,dental clinic in puerto vallarta,0,1,0,37
2024-09-25,2024-10-01,mex,dental services in puerto vallarta,0,1,0,32
2024-09-25,2024-10-01,mex,dental vacation puerto vallarta,0,1,0,70
2024-10-02,2024-10-08,mex,cosmetic dentis in puerto vallarta,0,1,0,54
2024-10-02,2024-10-08,mex,dental clinic in puerto vallarta,0,8,0,39.5
2024-10-02,2024-10-08,mex,dental services in puerto vallarta,0,4,0,24.75
2024-10-02,2024-10-08,mex,dental vacation puerto vallarta,0,7,0,62.285714285714285
2024-10-02,2024-10-08,mex,english-speaking dentists in puerto vallarta,0,6,0,8.833333333333332
2024-10-02,2024-10-08,mex,teeth whitening puerto vallarta,0,1,0,50
2024-10-09,2024-10-15,mex,cosmetic dentis in puerto vallarta,0,4,0,57.75
2024-10-09,2024-10-15,mex,dental clinic in puerto vallarta,0,5,0,48.8
2024-10-09,2024-10-15,mex,dental vacation puerto vallarta,0,4,0,65.5
2024-10-09,2024-10-15,mex,english-speaking dentists in puerto vallarta,0,5,0,9.8
2024-10-09,2024-10-15,mex,teeth whitening puerto vallarta,0,3,0,53.666666666666664
