start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,dental services,0,1,0,11
2024-05-01,2024-05-07,mex,dentists juarez,0,1,0,41
2024-05-08,2024-05-14,mex,dental protect,0,1,0,1
2024-05-08,2024-05-14,mex,gobal care,0,1,0,8
2024-05-15,2024-05-21,mex,dentist in juarez,0,1,0,20
2024-05-22,2024-05-28,mex,dental implants juarez,0,1,0,40
2024-05-29,2024-06-04,mex,international dental clinic,0,1,0,18
2024-06-05,2024-06-11,mex,international dental clinic,0,1,0,15
2024-06-12,2024-06-18,mex,dental total cd juarez,0,1,0,11
2024-06-12,2024-06-18,mex,dentist in juarez,0,1,0,53
2024-06-19,2024-06-25,mex,ciudad juarez dentist,0,1,0,59
2024-06-26,2024-07-02,mex,dentista cd juarez,0,1,0,1
2024-07-03,2024-07-09,mex,dentista cerca de mi,0,1,0,2
2024-07-03,2024-07-09,mex,nucleo dental ciudad juarez chihuahua mexico,0,1,0,41
2024-07-10,2024-07-16,mex,care dental,0,1,0,11
2024-07-10,2024-07-16,mex,ciudad juarez attractions,0,3,0,2
2024-07-10,2024-07-16,mex,dental care,0,2,0,10.5
2024-07-10,2024-07-16,mex,dental care cd juarez,0,2,0,31
2024-07-10,2024-07-16,mex,things to do ciudad juarez,0,4,0,1.75
2024-07-10,2024-07-16,mex,things to do in ciudad juarez,0,16,0,3
2024-07-17,2024-07-23,mex,clinica minnesota chihuahua,0,1,0,10
2024-07-24,2024-07-30,mex,dental carr,0,1,0,11
2024-07-24,2024-07-30,mex,juarez dental clinic,0,2,0,37.5
2024-07-24,2024-07-30,mex,private clinic near me,0,1,0,4
2024-07-31,2024-08-06,mex,dental care,0,1,0,10
2024-07-31,2024-08-06,mex,secure transportation ciudad juarez,0,1,0,50
2024-07-31,2024-08-06,mex,teeth cleaning near me,0,1,0,9
2024-08-07,2024-08-13,mex,denta care near me,0,1,0,8
2024-08-07,2024-08-13,mex,dental care,0,2,0,10
2024-08-07,2024-08-13,mex,international dental clinic,0,1,0,65
2024-08-07,2024-08-13,mex,teeth cleaning near me,0,1,0,8
2024-08-14,2024-08-20,mex,dental care cd juarez,0,2,0,29
2024-08-14,2024-08-20,mex,infectious disease doctor near me,0,1,0,84
