start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,hygiene and safety in algodones dental center,0,1,0,74
2024-05-08,2024-05-14,mex,dental treatment in los algodones,0,1,0,96
2024-05-15,2024-05-21,mex,dental treatments in los algodones,0,1,0,86
2024-05-22,2024-05-28,mex,los algodones dental clinics,0,1,0,92
2024-05-29,2024-06-04,mex,dental technology los algodones,0,1,0,69
2024-06-05,2024-06-11,mex,dental work in los algodones,0,1,0,76
2024-06-05,2024-06-11,mex,los algodones dental clinics,0,1,0,76
2024-06-12,2024-06-18,mex,dental veneers los algodones,0,2,0,89
2024-06-19,2024-06-25,mex,dental technology los algodones,0,1,0,65
2024-06-19,2024-06-25,mex,dental work in los algodones,0,2,0,98
2024-06-19,2024-06-25,mex,los algodones dental clinics,0,1,0,84
2024-06-26,2024-07-02,mex,los algodones dental care,0,1,0,66
2024-07-03,2024-07-09,mex,mydental merida,0,1,0,8
2024-07-10,2024-07-16,mex,dentista,0,1,0,1
2024-07-17,2024-07-23,mex,dentist in mexico near yuma,0,1,0,67
2024-07-24,2024-07-30,mex,algodones dental care,0,1,0,62
2024-07-31,2024-08-06,mex,mexico dentist near yuma,0,1,0,76
2024-08-07,2024-08-13,mex,bone grafting los algodones mx,0,1,0,70
2024-08-14,2024-08-20,mex,mexico dentist near yuma,0,1,0,67
2024-08-14,2024-08-20,mex,yuma mexico dentist,0,1,0,69
2024-08-21,2024-08-27,mex,mexico dentist near yuma,0,1,0,69
2024-08-21,2024-08-27,mex,yuma mexico dentist,0,1,0,62
2024-08-28,2024-09-03,mex,algodones dental care,0,1,0,53
2024-08-28,2024-09-03,mex,yuma mexico dentist,0,1,0,80
2024-09-04,2024-09-10,mex,mexico dentist near yuma,0,2,0,84
2024-09-11,2024-09-17,mex,dentist in mexico near yuma,0,1,0,93
2024-09-11,2024-09-17,mex,dentists in mexico near yuma,0,1,0,81
2024-09-18,2024-09-24,mex,algodones dental care,0,1,0,82
2024-09-18,2024-09-24,mex,globalcare,0,1,0,1
2024-09-18,2024-09-24,mex,yuma mexico dentist,0,4,0,90.25
2024-09-25,2024-10-01,mex,globalcare,0,1,0,1
2024-09-25,2024-10-01,mex,mexico dentist near yuma,0,2,0,89
2024-10-02,2024-10-08,mex,globalcare,0,1,0,1
2024-10-09,2024-10-15,mex,dentist in mexico near yuma,0,1,0,77
2024-10-16,2024-10-22,mex,dentures los algodones,0,2,0,83
2024-10-16,2024-10-22,mex,veneers los algodones mx,0,1,0,91
2024-10-23,2024-10-29,mex,all-on-4 dental implants los algodones mexico,0,1,0,96
2024-10-23,2024-10-29,mex,all-on-4 los algodones mexico,0,17,0,76.11764705882354
2024-10-23,2024-10-29,mex,bone grafting los algodones mexico,0,2,0,75
2024-10-23,2024-10-29,mex,dentures los algodones,0,2,0,86
2024-10-23,2024-10-29,mex,tooth extraction los algodones,0,7,0,91.42857142857143
2024-10-23,2024-10-29,mex,tooth extraction los algodones mexico,0,2,0,86.5
2024-10-23,2024-10-29,mex,veneers los algodones mx,0,14,0,92
2024-10-30,2024-11-05,mex,all-on-4 dental implants los algodones mexico,0,1,0,99
2024-10-30,2024-11-05,mex,all-on-4 los algodones mexico,0,16,0,72.875
2024-10-30,2024-11-05,mex,bone grafting los algodones mexico,0,1,0,81
2024-10-30,2024-11-05,mex,dentures los algodones,0,6,0,84.83333333333333
2024-10-30,2024-11-05,mex,dentures los algodones mexico,0,2,0,85
2024-10-30,2024-11-05,mex,globalcare,0,2,0,1
2024-10-30,2024-11-05,mex,tooth extraction los algodones,0,6,0,82.5
2024-10-30,2024-11-05,mex,tooth extraction los algodones mexico,0,3,0,92
2024-10-30,2024-11-05,mex,veneers los algodones mx,0,6,0,93.16666666666667
2024-11-06,2024-11-12,mex,all-on-4 dental implants los algodones mexico,0,5,0,81
2024-11-06,2024-11-12,mex,all-on-4 los algodones mexico,0,17,0,75.23529411764706
2024-11-06,2024-11-12,mex,dentures los algodones,0,5,0,87.2
2024-11-06,2024-11-12,mex,dentures los algodones mexico,0,1,0,84
2024-11-06,2024-11-12,mex,globalcare,0,1,0,1
2024-11-06,2024-11-12,mex,prosthodontics los algodones mx,0,4,0,84.5
2024-11-06,2024-11-12,mex,sedation dentistry los algodones,0,2,0,86
2024-11-06,2024-11-12,mex,tooth extraction los algodones,0,2,0,87.5
2024-11-06,2024-11-12,mex,tooth extraction los algodones mexico,0,2,0,91
2024-11-06,2024-11-12,mex,veneers los algodones mx,0,2,0,98
2024-11-13,2024-11-19,mex,algodones dentist prices,0,1,0,89
2024-11-13,2024-11-19,mex,all-on-4 dental implants los algodones mexico,0,3,0,80
2024-11-13,2024-11-19,mex,all-on-4 los algodones mexico,0,6,0,93.83333333333333
2024-11-13,2024-11-19,mex,dentures los algodones,0,1,0,85
2024-11-13,2024-11-19,mex,globalcare,0,1,0,1
2024-11-13,2024-11-19,mex,prosthodontics los algodones mx,0,1,0,93
2024-11-13,2024-11-19,mex,sedation dentistry los algodones,0,1,0,77
2024-11-13,2024-11-19,mex,tooth extraction los algodones,0,3,0,95.66666666666667
2024-11-13,2024-11-19,mex,tooth extraction los algodones mexico,0,3,0,76.66666666666667
2024-11-13,2024-11-19,mex,veneers los algodones mx,0,10,0,89.1
2024-11-13,2024-11-19,mex,yuma dental care,0,1,0,53
2024-11-13,2024-11-19,mex,yuma mexico dentist,0,1,0,40
2024-11-20,2024-11-26,mex,best dental los algodones,0,1,0,99
2024-11-20,2024-11-26,mex,globalcare,0,1,0,1
2024-11-20,2024-11-26,mex,marietta dental care tijuana mx,0,2,0,50
2024-11-20,2024-11-26,mex,tooth extraction los algodones,0,3,0,97.33333333333333
2024-11-20,2024-11-26,mex,tooth extraction los algodones mexico,0,2,0,101
2024-11-20,2024-11-26,mex,veneers los algodones mexico,0,2,0,101
2024-11-20,2024-11-26,mex,veneers los algodones mx,0,11,0,91.54545454545455
2024-11-27,2024-12-03,mex,globalcare,0,1,0,1
2024-11-27,2024-12-03,mex,marietta dental care tijuana mx,0,4,0,49.25
2024-11-27,2024-12-03,mex,medical tourism los algodones mx,0,1,0,80
2024-11-27,2024-12-03,mex,tooth extraction los algodones,0,2,0,92
2024-11-27,2024-12-03,mex,tooth extraction los algodones mexico,0,1,0,99
2024-11-27,2024-12-03,mex,veneers los algodones mx,0,6,0,97.33333333333333
2024-12-04,2024-12-10,mex,marietta dental care tijuana mx,0,1,0,54
2024-12-04,2024-12-10,mex,medical tourism los algodones mx,0,3,0,71
