start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,cabo san lucas dental implants,0,1,0,79
2024-05-08,2024-05-14,mex,dental clinics,0,1,0,11
2024-05-15,2024-05-21,mex,global dental,0,1,0,7
2024-05-22,2024-05-28,mex,los cabos dentist prices,0,1,0,25
2024-05-29,2024-06-04,mex,los cabos dentist prices,0,1,0,39
2024-06-05,2024-06-11,mex,dental carw,0,1,0,12
2024-06-12,2024-06-18,mex,los cabos dentist,0,1,0,66
2024-06-19,2024-06-25,mex,cabo dentistry,0,1,0,77
2024-06-19,2024-06-25,mex,dental los cabos,0,1,0,42
2024-06-19,2024-06-25,mex,dentist in los cabos,0,6,0,42.833333333333336
2024-06-19,2024-06-25,mex,los cabos dentist,0,7,0,49.285714285714285
2024-06-26,2024-07-02,mex,dentist in los cabos,0,7,0,36.285714285714285
2024-06-26,2024-07-02,mex,los cabos dentist,0,7,0,46
2024-07-03,2024-07-09,mex,dentist in los cabos,0,6,0,42.5
2024-07-03,2024-07-09,mex,los cabos dentist,0,7,0,51.714285714285715
2024-07-10,2024-07-16,mex,dental los cabos,0,1,0,45
2024-07-10,2024-07-16,mex,dentist in cabo,0,1,0,83
2024-07-10,2024-07-16,mex,dentist in los cabos,0,7,0,30.428571428571427
2024-07-10,2024-07-16,mex,los cabos dentist,0,7,0,59.42857142857143
2024-07-17,2024-07-23,mex,cabo dentistry,0,2,0,80.5
2024-07-17,2024-07-23,mex,dental los cabos,0,1,0,41
2024-07-17,2024-07-23,mex,dentist in cabo,0,1,0,67
2024-07-17,2024-07-23,mex,dentist in los cabos,0,7,0,21.285714285714285
2024-07-17,2024-07-23,mex,destination services los cabos,0,1,0,1
2024-07-17,2024-07-23,mex,global dental,0,1,0,11
2024-07-17,2024-07-23,mex,los cabos dentist,0,6,0,37.333333333333336
2024-07-24,2024-07-30,mex,dentist in los cabos,0,6,0,19.666666666666668
2024-07-24,2024-07-30,mex,los cabos dentist,0,6,0,36.5
2024-07-31,2024-08-06,mex,dentist in los cabos,0,5,0,19.2
2024-07-31,2024-08-06,mex,los cabos dentist,0,3,0,32.66666666666667
