start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,global care,0,3,0,8.333333333333332
2024-05-08,2024-05-14,mex,global dental,1,1,1,12
2024-05-08,2024-05-14,mex,global dental tijuana,1,1,1,10
2024-05-15,2024-05-21,mex,tijuana dental care,0,2,0,87
2024-05-22,2024-05-28,mex,clinica global dental,0,1,0,13
2024-05-22,2024-05-28,mex,global dental,0,5,0,8
2024-05-22,2024-05-28,mex,global dental center,0,1,0,3
2024-05-22,2024-05-28,mex,global dental tijuana,0,2,0,12.5
2024-05-29,2024-06-04,mex,global dental,1,8,0.125,6.75
2024-05-29,2024-06-04,mex,global dental tijuana,0,5,0,4
2024-05-29,2024-06-04,mex,globalcare,0,2,0,6
2024-06-05,2024-06-11,mex,dental global,0,2,0,9
2024-06-05,2024-06-11,mex,global dental,0,6,0,5.833333333333333
2024-06-05,2024-06-11,mex,global dental tijuana,0,7,0,5.714285714285714
2024-06-05,2024-06-11,mex,my global dentist,0,6,0,11.166666666666666
2024-06-05,2024-06-11,mex,western dental tijuana,0,1,0,13
2024-06-12,2024-06-18,mex,dental global,0,1,0,11
2024-06-12,2024-06-18,mex,dental work in tijuana,0,1,0,67
2024-06-12,2024-06-18,mex,global dental,0,11,0,5.454545454545454
2024-06-12,2024-06-18,mex,global dental tijuana,0,6,0,4.833333333333334
2024-06-19,2024-06-25,mex,dental global,0,1,0,10
2024-06-19,2024-06-25,mex,dentist in tijuana close to border,0,1,0,48
2024-06-19,2024-06-25,mex,global dental,0,7,0,5.857142857142857
2024-06-19,2024-06-25,mex,global dental tijuana,0,4,0,10
2024-06-19,2024-06-25,mex,global dentist,0,1,0,8
2024-06-26,2024-07-02,mex,dental global,0,1,0,10
2024-06-26,2024-07-02,mex,global dental,0,6,0,4.666666666666666
2024-06-26,2024-07-02,mex,global dental tijuana,0,4,0,4.75
2024-07-03,2024-07-09,mex,global dental,0,8,0,5.625
2024-07-03,2024-07-09,mex,global dental tijuana,0,8,0,3.5
2024-07-03,2024-07-09,mex,my global dentist,0,1,0,11
2024-07-03,2024-07-09,mex,washington dental tijuana mexico,0,1,0,58
2024-07-10,2024-07-16,mex,access dental locations,0,1,0,10
2024-07-10,2024-07-16,mex,global dental,0,6,0,4.333333333333334
2024-07-10,2024-07-16,mex,global dental tijuana,0,4,0,4.5
2024-07-17,2024-07-23,mex,clinica dental global,0,1,0,5
2024-07-17,2024-07-23,mex,global dental,0,4,0,4.75
2024-07-17,2024-07-23,mex,global dental tijuana,0,9,0,5.222222222222222
2024-07-24,2024-07-30,mex,dental global,0,4,0,7.25
2024-07-24,2024-07-30,mex,global dental,0,12,0,5.75
2024-07-24,2024-07-30,mex,global dental tijuana,0,10,0,5.2
2024-07-31,2024-08-06,mex,dental global,0,3,0,10
2024-07-31,2024-08-06,mex,global dental,0,3,0,6
2024-07-31,2024-08-06,mex,global dental tijuana,0,9,0,5.111111111111111
2024-08-07,2024-08-13,mex,global dental,0,7,0,5.857142857142857
2024-08-07,2024-08-13,mex,global dental tijuana,0,2,0,5
2024-08-07,2024-08-13,mex,my global dentist,0,1,0,6
2024-08-14,2024-08-20,mex,dental care in tijuana,0,1,0,84
2024-08-14,2024-08-20,mex,global dental,0,14,0,6.571428571428571
2024-08-14,2024-08-20,mex,global dental tijuana,0,10,0,5.3
2024-08-14,2024-08-20,mex,tijuana dental care,0,2,0,49.5
2024-08-21,2024-08-27,mex,dental care in tijuana,0,1,0,56
2024-08-21,2024-08-27,mex,global dental,0,7,0,6.714285714285714
2024-08-21,2024-08-27,mex,global dental tijuana,0,5,0,5.2
2024-08-21,2024-08-27,mex,is it safe to go to tijuana for dental work,0,1,0,50
2024-08-28,2024-09-03,mex,global dental,0,7,0,7
2024-08-28,2024-09-03,mex,global dental tijuana,0,8,0,7
2024-09-04,2024-09-10,mex,global dental,0,5,0,7
2024-09-04,2024-09-10,mex,global dental tijuana,0,5,0,4.2
