start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,dr barragan dentist,0,1,0,7
2024-05-08,2024-05-14,mex,dr barragan dentist,0,1,0,7
2024-05-15,2024-05-21,mex,dr barragan dentist,0,1,0,11
2024-05-22,2024-05-28,mex,dr barragan dentist,0,1,0,9
2024-05-29,2024-06-04,mex,dr barragan dentist,0,1,0,12
2024-06-05,2024-06-11,mex,dr barragan dentist,0,1,0,7
2024-06-12,2024-06-18,mex,dr barragan dentist,0,1,0,10
2024-06-19,2024-06-25,mex,dentist in playa del carmen,0,2,0,45
2024-06-26,2024-07-02,mex,dental clinics in playa del carmen,0,1,0,75
2024-06-26,2024-07-02,mex,dentist in playa del carmen,0,3,0,58.333333333333336
2024-07-03,2024-07-09,mex,dentist in playa del carmen,0,1,0,44
2024-07-10,2024-07-16,mex,dentist in playa del carmen,0,1,0,11
2024-07-10,2024-07-16,mex,dentist playa del carmen,0,2,0,9.5
2024-07-10,2024-07-16,mex,dentiste playa del carmen,0,9,0,7.888888888888889
2024-07-10,2024-07-16,mex,dr barragán,0,1,0,6
2024-07-10,2024-07-16,mex,playa del carmen dentist,0,8,0,10.5
2024-07-10,2024-07-16,mex,playa dentist,0,6,0,11.833333333333334
2024-07-17,2024-07-23,mex,dentist playa del carmen,0,4,0,20
2024-07-17,2024-07-23,mex,playa dentist,0,2,0,15
2024-07-24,2024-07-30,mex,dentist playa del carmen,0,1,0,6
2024-07-31,2024-08-06,mex,best dentist surgeon,0,1,0,9
2024-07-31,2024-08-06,mex,best oral surgeons near me,0,1,0,9
2024-07-31,2024-08-06,mex,dental implants in playa del carmen,0,2,0,22.5
2024-07-31,2024-08-06,mex,dentist in playa del carmen,0,1,0,12
2024-07-31,2024-08-06,mex,dentist playa del carmen,0,2,0,10
2024-07-31,2024-08-06,mex,dr barragan dentist,0,1,0,6
2024-07-31,2024-08-06,mex,playa del carmen dentist,0,1,0,7
2024-08-07,2024-08-13,mex,dentist 10,0,1,0,1
2024-08-07,2024-08-13,mex,dentist playa del carmen,0,1,0,9
2024-08-07,2024-08-13,mex,playa del carmen dentist,0,2,0,8
2024-08-14,2024-08-20,mex,dentist playa del carmen,0,3,0,17.666666666666668
2024-08-14,2024-08-20,mex,esteban barragan,0,1,0,10
2024-08-21,2024-08-27,mex,dentist playa del carmen,0,1,0,13
2024-08-21,2024-08-27,mex,dr barragan dentist,0,1,0,6
2024-08-21,2024-08-27,mex,esteban barragan,0,1,0,8
2024-08-21,2024-08-27,mex,playa del carmen dentist,0,2,0,8.5
2024-08-28,2024-09-03,mex,dentist in playa del carmen,0,1,0,18
2024-08-28,2024-09-03,mex,dentist playa del carmen,0,1,0,17
