start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,dr covarrubias,0,1,0,67
2024-05-08,2024-05-14,mex,gustavo covarrubias,0,1,0,14
2024-05-15,2024-05-21,mex,covarrubias dental,0,1,0,10
2024-05-15,2024-05-21,mex,gustavo covarrubias,0,3,0,13
2024-05-22,2024-05-28,mex,gustavo covarrubias,0,2,0,13.5
2024-05-29,2024-06-04,mex,gustavo covarrubias,0,10,0,11.6
2024-06-05,2024-06-11,mex,gustavo covarrubias,0,6,0,10.666666666666666
2024-06-12,2024-06-18,mex,dr gustavo dentista,0,1,0,8
2024-06-12,2024-06-18,mex,gustavo covarrubias,0,4,0,10.25
2024-06-19,2024-06-25,mex,mouth doctor near me,0,1,0,1
2024-06-26,2024-07-02,mex,dental surgeon near me,0,2,0,6.5
2024-07-03,2024-07-09,mex,dr. covarrubias,0,1,0,3
2024-07-10,2024-07-16,mex,gustavo dentista,1,1,1,7
2024-07-10,2024-07-16,mex,gustavo covarrubias,0,2,0,8
2024-07-17,2024-07-23,mex,dr gustavo mexico,0,1,0,9
2024-07-17,2024-07-23,mex,gustavo covarrubias,0,1,0,4
2024-07-24,2024-07-30,mex,gustavo covarrubias,0,1,0,1
2024-07-31,2024-08-06,mex,oral surgeon near me,0,1,0,4
2024-08-07,2024-08-13,mex,gustavo covarrubias,0,1,0,3
2024-08-14,2024-08-20,mex,gustavo covarrubias,0,1,0,2
2024-08-14,2024-08-20,mex,oral surgeon near me,0,3,0,7
2024-08-21,2024-08-27,mex,oral surgeon near me,0,1,0,10
2024-08-28,2024-09-03,mex,gustavo covarrubias,0,2,0,7.5
2024-09-04,2024-09-10,mex,doctor covarrubias,0,1,0,2
2024-09-04,2024-09-10,mex,gustavo covarrubias,0,5,0,4.2
2024-09-11,2024-09-17,mex,gustavo covarrubias,0,3,0,9
2024-09-18,2024-09-24,mex,escudo de la uan,0,1,0,3
2024-09-18,2024-09-24,mex,gustavo covarrubias,0,4,0,10.25
2024-09-25,2024-10-01,mex,gustavo covarrubias,0,2,0,8.5
2024-10-02,2024-10-08,mex,escudo de la uan,0,1,0,3
2024-10-02,2024-10-08,mex,gustavo covarrubias,0,4,0,10
2024-10-09,2024-10-15,mex,gustavo covarrubias,0,1,0,10
2024-10-09,2024-10-15,mex,puerto vallarta dentistry,0,1,0,78
2024-10-16,2024-10-22,mex,english-speaking dentists in puerto vallarta,0,1,0,38
2024-10-16,2024-10-22,mex,gustavo covarrubias,0,6,0,11
2024-10-23,2024-10-29,mex,gustavo covarrubias,0,1,0,11
2024-10-30,2024-11-05,mex,dentista covarrubias,0,1,0,4
2024-10-30,2024-11-05,mex,gustavo covarrubias,0,1,0,3
2024-11-06,2024-11-12,mex,gustavo covarrubias,0,4,0,9
