start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,aramoni,0,1,0,3
2024-05-08,2024-05-14,mex,aramoni,0,1,0,34
2024-05-15,2024-05-21,mex,periodoncista en guadalajara,0,1,0,4
2024-05-22,2024-05-28,mex,dentista ramon,0,1,0,2
2024-05-29,2024-06-04,mex,periodoncista guadalajara,0,1,0,4
2024-06-05,2024-06-11,mex,suspensiones juanra,0,1,0,8
2024-06-12,2024-06-18,mex,periodontics near me,0,1,0,5
2024-06-12,2024-06-18,mex,suspensiones juanra,0,1,0,9
2024-06-19,2024-06-25,mex,omar valero periodontist,0,1,0,19
2024-06-19,2024-06-25,mex,periodontist near me,0,2,0,22
