start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,globalcare,0,1,0,4
2024-05-08,2024-05-14,mex,globalcare,0,1,0,3
2024-05-15,2024-05-21,mex,english speaking dentist mexico city,0,1,0,11
2024-05-15,2024-05-21,mex,global care,0,2,0,1
2024-05-15,2024-05-21,mex,global dental center,0,2,0,12
2024-05-22,2024-05-28,mex,globa care,0,1,0,1
2024-05-22,2024-05-28,mex,global care,0,6,0,1.5
2024-05-22,2024-05-28,mex,global care center,0,1,0,1
2024-05-22,2024-05-28,mex,global carr,0,1,0,3
2024-05-22,2024-05-28,mex,global dental care,0,1,0,2
2024-05-29,2024-06-04,mex,global care,0,3,0,1.6666666666666665
2024-05-29,2024-06-04,mex,global care agency,0,1,0,6
2024-05-29,2024-06-04,mex,global dental,0,1,0,11
2024-05-29,2024-06-04,mex,global dental partners,0,1,0,10
2024-06-05,2024-06-11,mex,global care,0,3,0,2.333333333333333
