start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,nzl,dental care mexico,0,1,0,94
2024-05-08,2024-05-14,nzl,dentist in mexico,0,1,0,99
2024-05-15,2024-05-21,nzl,dentist city mexico,0,1,0,78
2024-05-22,2024-05-28,nzl,mexico dental care,0,1,0,60
2024-05-29,2024-06-04,nzl,top dental cities in mexico,0,1,0,87
2024-06-05,2024-06-11,nzl,mexico dental,0,1,0,99
2024-06-12,2024-06-18,nzl,cheap dental care in mexico,0,1,0,43
2024-06-19,2024-06-25,nzl,periondental,0,1,0,7
2024-06-26,2024-07-02,nzl,dental care mexico,0,1,0,47
2024-07-03,2024-07-09,nzl,dental care in mexico,0,1,0,70
2024-07-10,2024-07-16,nzl,dentist in monterrey mexico,0,1,0,72
2024-07-17,2024-07-23,nzl,best dentist in monterrey mexico,0,1,0,52
