start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,nzl,dental travel mexico,0,1,0,42
2024-05-08,2024-05-14,nzl,dental vacation packages mexico,0,1,0,64
2024-05-15,2024-05-21,nzl,dental tourists,0,1,0,9
2024-05-22,2024-05-28,nzl,dental costs in mexico,0,1,0,40
2024-05-29,2024-06-04,nzl,dental tourism mexico,0,1,0,18
2024-06-05,2024-06-11,nzl,dental implants vacation,0,1,0,87
2024-06-12,2024-06-18,nzl,mexico dentists,0,1,0,68
2024-06-19,2024-06-25,nzl,dental tourism mexico,0,1,0,24
2024-06-19,2024-06-25,nzl,dental vacations,0,1,0,45
2024-06-19,2024-06-25,nzl,mexico dentists prices,0,1,0,36
2024-06-26,2024-07-02,nzl,dental braces in mexico,0,1,0,80
2024-07-03,2024-07-09,nzl,dental vacation packages in mexico,0,1,0,70
2024-07-10,2024-07-16,nzl,mexican dental,0,1,0,73
2024-07-17,2024-07-23,nzl,dental tourism mexico,0,1,0,33
2024-07-17,2024-07-23,nzl,is it safe to have dental work done in mexico,0,1,0,60
2024-07-24,2024-07-30,nzl,does mexico have good dental care,0,1,0,69
2024-07-24,2024-07-30,nzl,is it cheaper to get dental work done in mexico,0,1,0,62
