start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,nzl,bio dental tijuana,0,1,0,13
2024-05-08,2024-05-14,nzl,dental solutions tijuana,0,1,0,57
2024-05-15,2024-05-21,nzl,american biodental tijuana,0,1,0,38
2024-05-22,2024-05-28,nzl,bio dental care tijuana,0,1,0,56
2024-05-29,2024-06-04,nzl,biodental tijuana,0,1,0,13
2024-06-05,2024-06-11,nzl,biodental care,0,1,0,65
2024-06-05,2024-06-11,nzl,biodental care reviews,0,1,0,9
2024-06-12,2024-06-18,nzl,biodental tijuana,0,1,0,12
2024-06-19,2024-06-25,nzl,tijuana dental clinic,0,1,0,89
2024-06-26,2024-07-02,nzl,holistic dentist tijuana mexico,0,1,0,34
2024-07-03,2024-07-09,nzl,biodental mexico,0,1,0,32
2024-07-10,2024-07-16,nzl,american biodental,0,1,0,34
2024-07-17,2024-07-23,nzl,all on 4 cost mexico,0,1,0,1
2024-07-24,2024-07-30,nzl,best tijuana dentists,0,1,0,98
