start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,nzl,tulum dentist,0,1,0,48
2024-05-08,2024-05-14,nzl,dental care in cancun,0,1,0,94
2024-05-15,2024-05-21,nzl,dental clinic cancun,0,1,0,98
2024-05-15,2024-05-21,nzl,smile now dental clinic,0,1,0,27
2024-05-22,2024-05-28,nzl,cancun veneers cost,0,1,0,83
2024-05-29,2024-06-04,nzl,tulum dentist,0,1,0,41
2024-06-05,2024-06-11,nzl,cancun veneers,0,1,0,67
2024-06-05,2024-06-11,nzl,veneers in monterrey,0,1,0,99
2024-06-12,2024-06-18,nzl,cancun veneers,0,1,0,55
2024-06-12,2024-06-18,nzl,veneers in mexico reviews,0,1,0,84
2024-06-19,2024-06-25,nzl,cancun veneers cost,0,1,0,75
2024-06-26,2024-07-02,nzl,veneers cancun mx,0,1,0,87
2024-07-03,2024-07-09,nzl,veneers in mexico cancun,0,1,0,100
2024-07-10,2024-07-16,nzl,cancun veneers cost,0,1,0,92
2024-07-10,2024-07-16,nzl,dental clinic in cancun,0,1,0,80
2024-07-17,2024-07-23,nzl,dental clinic cancun mexico,0,1,0,72
2024-07-24,2024-07-30,nzl,dental treatment in cancun,0,1,0,82
2024-07-31,2024-08-06,nzl,tulum dentist,0,1,0,48
