start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,dental travel mexico,0,1,0,96
2024-05-08,2024-05-14,per,dental holiday in mexico,0,1,0,79
2024-05-15,2024-05-21,per,dental travel mexico,0,1,0,60
2024-05-15,2024-05-21,per,mexico dental tourism,0,2,0,92
2024-05-22,2024-05-28,per,mexico dental tourism,0,1,0,102
2024-05-29,2024-06-04,per,dental in mexico,0,1,0,73
2024-06-05,2024-06-11,per,dental tourism mexico,0,1,0,92
2024-06-12,2024-06-18,per,american dental plans,0,1,0,66
2024-06-19,2024-06-25,per,travel to mexico for dental work,0,1,0,75
2024-06-26,2024-07-02,per,americans going to mexico for dental work,0,1,0,87
2024-07-03,2024-07-09,per,dental holiday in mexico,0,1,0,97
2024-07-03,2024-07-09,per,dental tourism mexico,0,1,0,76
2024-07-10,2024-07-16,per,american dental insurance,0,1,0,42
2024-07-17,2024-07-23,per,dental tourism in mexico,0,1,0,75
2024-07-24,2024-07-30,per,how to pay for dental work in mexico,0,1,0,43
2024-07-31,2024-08-06,per,dental tourism in mexico,0,1,0,53
2024-08-07,2024-08-13,per,dental tourism in mexico,0,1,0,46
2024-08-07,2024-08-13,per,dental vacations mexico,0,1,0,70
2024-08-07,2024-08-13,per,how to pay for dental work in mexico,0,1,0,40
2024-08-14,2024-08-20,per,all-inclusive dental vacation mexico,0,1,0,53
2024-08-14,2024-08-20,per,dental tourism in mexico,0,1,0,57
2024-08-21,2024-08-27,per,dental travel mexico,0,1,0,87
2024-08-28,2024-09-03,per,dental travel mexico,0,1,0,80
2024-09-04,2024-09-10,per,dental insurance america,0,1,0,96
2024-09-11,2024-09-17,per,does us health insurance work in mexico,0,1,0,57
2024-09-18,2024-09-24,per,dental insurance abroad,0,1,0,56
2024-09-25,2024-10-01,per,does us health insurance work in mexico,0,1,0,45
