start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,cancun mexico veneers,0,1,0,36
2024-05-01,2024-05-07,per,how much are veneers in mexico,0,1,0,49
2024-05-01,2024-05-07,per,veneers cancun,0,1,0,60
2024-05-01,2024-05-07,per,veneers in cancun mexico cost,0,1,0,23
2024-05-08,2024-05-14,per,porcelain veneers mexico,0,1,0,54
2024-05-08,2024-05-14,per,should i get veneers in mexico,0,1,0,11
2024-05-08,2024-05-14,per,veneers in cancun,0,1,0,45
2024-05-08,2024-05-14,per,veneers mexico cost,0,1,0,45
2024-05-15,2024-05-21,per,veneers cancun cost,0,1,0,23
2024-05-15,2024-05-21,per,veneers in mexico,0,1,0,34
2024-05-15,2024-05-21,per,veneers in mexico price,0,1,0,42
2024-05-22,2024-05-28,per,cancun veneers cost,0,1,0,34
2024-05-22,2024-05-28,per,cost of veneers in mexico,0,1,0,38
2024-05-22,2024-05-28,per,dental veneers in mexico,0,1,0,41
2024-05-22,2024-05-28,per,mexico veneers cost,0,1,0,45
2024-05-22,2024-05-28,per,veneers cancun,0,1,0,48
2024-05-22,2024-05-28,per,veneers cost in mexico,0,1,0,35
2024-05-22,2024-05-28,per,veneers in cancun mexico cost,0,1,0,40
2024-05-22,2024-05-28,per,veneers mexico,0,1,0,45
2024-05-29,2024-06-04,per,cancun mexico veneers,0,1,0,39
2024-05-29,2024-06-04,per,price of veneers in mexico,0,1,0,45
2024-05-29,2024-06-04,per,veneers cost cancun,0,1,0,23
2024-05-29,2024-06-04,per,veneers in cancun mexico cost,0,2,0,43.5
2024-05-29,2024-06-04,per,veneers in mexico,0,1,0,35
2024-06-05,2024-06-11,per,cancun veneers cost,0,1,0,41
2024-06-05,2024-06-11,per,should i get veneers in mexico,0,1,0,10
2024-06-05,2024-06-11,per,veneers in cancun mexico cost,0,1,0,37
2024-06-12,2024-06-18,per,dental veneers in mexico,0,1,0,65
2024-06-12,2024-06-18,per,how much does a full set of veneers cost in mexico,0,1,0,42
2024-06-12,2024-06-18,per,porcelain veneers mexico,0,1,0,65
2024-06-12,2024-06-18,per,price for veneers in mexico,0,1,0,49
2024-06-12,2024-06-18,per,veneers cancun cost,0,2,0,27.5
2024-06-12,2024-06-18,per,veneers in cancun,0,1,0,58
2024-06-19,2024-06-25,per,veneers cancun,0,1,0,77
2024-06-19,2024-06-25,per,veneers in cancun,0,1,0,63
2024-06-19,2024-06-25,per,veneers price in mexico,0,1,0,45
2024-06-26,2024-07-02,per,how much do veneers cost in mexico,0,1,0,40
2024-06-26,2024-07-02,per,how much does it cost to get veneers in mexico,0,1,0,34
2024-06-26,2024-07-02,per,veneers cancun,0,2,0,83.5
2024-06-26,2024-07-02,per,veneers in cancun,0,1,0,59
2024-06-26,2024-07-02,per,veneers mexico cost,0,1,0,42
2024-07-03,2024-07-09,per,cancun mexico veneers,0,1,0,57
2024-07-03,2024-07-09,per,cost of veneers mexico,0,1,0,56
2024-07-03,2024-07-09,per,veneers in cancun mexico cost,0,2,0,39
2024-07-03,2024-07-09,per,veneers in mexico,0,1,0,44
2024-07-10,2024-07-16,per,cancun veneers,0,2,0,83.5
2024-07-10,2024-07-16,per,full set veneers cost mexico,0,1,0,51
2024-07-10,2024-07-16,per,how much are veneers in mexico,0,1,0,56
