start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,biodental,0,1,0,77
2024-05-08,2024-05-14,per,biodental,0,1,0,94
2024-05-15,2024-05-21,per,biodental,0,1,0,82
2024-05-22,2024-05-28,per,bio dental tijuana,0,1,0,12
2024-05-22,2024-05-28,per,bio dentist tijuana,0,1,0,52
2024-05-22,2024-05-28,per,biodental,0,1,0,79
2024-05-29,2024-06-04,per,bio dental care,0,1,0,77
2024-05-29,2024-06-04,per,biodental,0,1,0,69
2024-05-29,2024-06-04,per,dental care in tijuana,0,1,0,96
2024-05-29,2024-06-04,per,natural dentist in tijuana,0,1,0,50
2024-06-05,2024-06-11,per,bc dental tijuana,0,1,0,84
2024-06-12,2024-06-18,per,biodental,0,1,0,74
2024-06-12,2024-06-18,per,dental rio tijuana,0,1,0,83
2024-06-19,2024-06-25,per,tijuana dental care,0,2,0,80
2024-06-26,2024-07-02,per,bio dental care,0,1,0,21
2024-06-26,2024-07-02,per,bio dental tijuana,0,1,0,14
2024-06-26,2024-07-02,per,bio dentist tijuana,0,1,0,33
2024-06-26,2024-07-02,per,biodental care,0,1,0,8
2024-07-03,2024-07-09,per,bio dentistry tijuana,0,1,0,39
2024-07-03,2024-07-09,per,biodental care tijuana,0,1,0,12
2024-07-10,2024-07-16,per,american biodental tijuana,0,1,0,30
2024-07-17,2024-07-23,per,biodental care,0,2,0,17
2024-07-24,2024-07-30,per,dental clinic tijuana,0,1,0,66
2024-07-31,2024-08-06,per,bio dental care,0,1,0,53
2024-07-31,2024-08-06,per,biological dentist tijuana,0,1,0,56
2024-08-07,2024-08-13,per,bio dentistry tijuana,0,1,0,50
2024-08-14,2024-08-20,per,holistic dentistry tijuana,0,1,0,45
2024-08-21,2024-08-27,per,american biodental,0,1,0,31
2024-08-28,2024-09-03,per,american bio dental tijuana,0,1,0,46
2024-08-28,2024-09-03,per,holistic dentistry tijuana,0,1,0,73
