start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,one destination clinic cancun mx,0,1,0,15
2024-05-08,2024-05-14,per,cancun dental care view,0,1,0,67
2024-05-08,2024-05-14,per,dental clinic cancun,0,1,0,94
2024-05-15,2024-05-21,per,cancun dental clinic,0,1,0,63
2024-05-15,2024-05-21,per,dental clinic cancun,0,2,0,60
2024-05-15,2024-05-21,per,dental clinic cancun reviews,0,2,0,82.5
2024-05-22,2024-05-28,per,best dental clinic in cancun,0,1,0,63
2024-05-22,2024-05-28,per,cancun dental clinic,0,1,0,62
2024-05-22,2024-05-28,per,dental clinic cancun photos,0,1,0,105
2024-05-29,2024-06-04,per,77500 text message,0,1,0,33
2024-05-29,2024-06-04,per,cancun dentist reviews,0,1,0,81
2024-05-29,2024-06-04,per,dentics cancun reviews,0,1,0,68
2024-06-05,2024-06-11,per,cancun dental care view,0,1,0,61
2024-06-12,2024-06-18,per,dental clinic cancun reviews,0,2,0,66
2024-06-19,2024-06-25,per,dental clinic cancun,0,2,0,61.5
2024-06-26,2024-07-02,per,cancun dental clinic,0,1,0,72
2024-06-26,2024-07-02,per,cancun dentist reviews,0,1,0,80
2024-07-03,2024-07-09,per,dental clinic cancun,0,2,0,83.5
2024-07-03,2024-07-09,per,dental clinic cancun reviews,0,1,0,59
2024-07-03,2024-07-09,per,dental clinics in cancun mexico,0,1,0,79
2024-07-03,2024-07-09,per,destination dental,0,1,0,65
2024-07-10,2024-07-16,per,dental clinic cancun,0,1,0,61
