start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,cancun dental care view,0,1,0,89
2024-05-08,2024-05-14,per,cancun dental care view,0,1,0,87
2024-05-15,2024-05-21,per,dental clinic cancun,0,1,0,80
2024-05-15,2024-05-21,per,tulum dentist,0,1,0,55
2024-05-22,2024-05-28,per,dental makeover cancun smile center,0,1,0,90
2024-05-22,2024-05-28,per,smile now dental clinic,0,1,0,25
2024-05-29,2024-06-04,per,dental clinic cancun,0,1,0,87
2024-05-29,2024-06-04,per,dental clinic cancun reviews,0,1,0,94
2024-05-29,2024-06-04,per,tulum dentist,0,1,0,48
2024-05-29,2024-06-04,per,veneers cancun,0,1,0,85
2024-06-05,2024-06-11,per,best dental clinic in cancun,0,1,0,77
2024-06-05,2024-06-11,per,cancun dental care reviews,0,1,0,73
2024-06-05,2024-06-11,per,cancun dental clinic,0,1,0,86
2024-06-05,2024-06-11,per,dental clinic cancun photos,0,1,0,91
2024-06-12,2024-06-18,per,dental makeover cancun smile center,0,1,0,77
2024-06-19,2024-06-25,per,cancun dental care view,0,1,0,74
2024-06-19,2024-06-25,per,cancun mexico veneers,0,1,0,95
2024-06-19,2024-06-25,per,how much are veneers in cancun,0,1,0,100
2024-06-26,2024-07-02,per,cancun veneers,0,2,0,62.5
2024-06-26,2024-07-02,per,cancun veneers cost,0,1,0,94
2024-06-26,2024-07-02,per,dental care in cancun,0,1,0,76
2024-06-26,2024-07-02,per,dental clinic cancun reviews,0,2,0,82
2024-06-26,2024-07-02,per,dental makeover cancun smile center,0,1,0,69
2024-06-26,2024-07-02,per,porcelain veneers cancun mexico,0,1,0,53
2024-06-26,2024-07-02,per,veneers cost cancun,0,2,0,92.5
2024-06-26,2024-07-02,per,veneers in cancun,0,1,0,68
2024-07-03,2024-07-09,per,cancun veneers,0,1,0,59
2024-07-03,2024-07-09,per,dental clinic cancun,0,2,0,78.5
2024-07-03,2024-07-09,per,porcelain veneers cancun mexico,0,2,0,55
2024-07-03,2024-07-09,per,veneers cancun mexico,0,1,0,40
2024-07-03,2024-07-09,per,veneers in cancun,0,1,0,63
2024-07-10,2024-07-16,per,veneers cancun mexico,0,1,0,86
2024-07-17,2024-07-23,per,2500 veneers cancun,0,1,0,24
2024-07-17,2024-07-23,per,cancun mexico veneers,0,1,0,55
2024-07-17,2024-07-23,per,dental clinic cancun,0,1,0,87
2024-07-17,2024-07-23,per,dental clinic cancun reviews,0,1,0,80
2024-07-24,2024-07-30,per,dental cancun,0,1,0,84
2024-07-31,2024-08-06,per,dental clinic cancun,0,1,0,92
2024-08-07,2024-08-13,per,best veneers cancun mexico,0,1,0,55
2024-08-07,2024-08-13,per,cancun dental clinic,0,1,0,93
2024-08-07,2024-08-13,per,dental cancun,0,1,0,89
2024-08-07,2024-08-13,per,veneers in cancun,0,1,0,57
2024-08-14,2024-08-20,per,best dental clinic in cancun,0,1,0,63
2024-08-21,2024-08-27,per,dental clinic cancun mexico,0,1,0,89
2024-08-21,2024-08-27,per,dental clinic cancun photos,0,1,0,83
2024-08-21,2024-08-27,per,veneers cancun,0,1,0,66
2024-08-21,2024-08-27,per,veneers cancun mexico,0,1,0,97
2024-08-21,2024-08-27,per,veneers cost in cancun,0,1,0,84
2024-08-21,2024-08-27,per,veneers in mexico cancun,0,1,0,89
2024-08-28,2024-09-03,per,dental clinic in cancun,0,2,0,57.5
2024-08-28,2024-09-03,per,veneers in mexico cancun,0,1,0,81
2024-09-04,2024-09-10,per,how much are veneers in cancun,0,1,0,90
2024-09-11,2024-09-17,per,veneers cost in cancun,0,1,0,84
2024-09-18,2024-09-24,per,porcelain veneers cancun mexico,0,1,0,88
2024-09-18,2024-09-24,per,veneers in cancun mexico cost,0,1,0,93
2024-09-25,2024-10-01,per,veneers in cancun mexico cost,0,1,0,89
2024-10-02,2024-10-08,per,dental clinic cancun,0,1,0,54
2024-10-09,2024-10-15,per,dental care in cancun,0,1,0,90
2024-10-16,2024-10-22,per,dental clinic cancun,0,1,0,42
2024-10-23,2024-10-29,per,dental veneers in cancun,0,1,0,88
2024-10-30,2024-11-05,per,veneers in mexico cancun,0,1,0,92
2024-11-06,2024-11-12,per,sinus lift cancun,0,1,0,67
2024-11-13,2024-11-19,per,smile now dental & facial care,0,1,0,1
2024-11-20,2024-11-26,per,smile now dental & facial care,0,5,0,1
2024-11-27,2024-12-03,per,smile now dental & facial care reviews,0,2,0,1
2024-11-27,2024-12-03,per,veneers cost in cancun,0,1,0,95
