start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,playa del carmen dentist,0,1,0,65
2024-05-08,2024-05-14,per,playa del carmen dentist,0,1,0,43
2024-05-15,2024-05-21,per,playa del carmen dentist,0,1,0,46
2024-05-22,2024-05-28,per,dentist playa del carmen,0,1,0,29
2024-05-29,2024-06-04,per,dental treatment in playa del carmen,0,1,0,16
2024-05-29,2024-06-04,per,playa del carmen dentists prices,0,1,0,52
2024-06-05,2024-06-11,per,playa del carmen dentist,0,1,0,34
2024-06-12,2024-06-18,per,dental treatment in playa del carmen,0,1,0,15
2024-06-19,2024-06-25,per,dentist playa del carmen,0,1,0,36
2024-06-26,2024-07-02,per,best dental implants playa del carmen,0,1,0,14
2024-07-03,2024-07-09,per,playa del carmen dentists prices,0,1,0,68
2024-07-10,2024-07-16,per,dentist in playa del carmen,0,1,0,37
