start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,what are crowns,0,1,0,49
2024-05-08,2024-05-14,per,crowns,0,1,0,68
2024-05-15,2024-05-21,per,crowns,0,1,0,82
2024-05-22,2024-05-28,per,get mexico,0,1,0,9
2024-05-29,2024-06-04,per,crowns,0,3,0,65.66666666666667
2024-06-05,2024-06-11,per,crowns,0,3,0,98.33333333333333
2024-06-05,2024-06-11,per,what is a crown,0,1,0,94
2024-06-12,2024-06-18,per,crowns,0,2,0,64
2024-06-19,2024-06-25,per,what is crowns for teeth,0,1,0,74
2024-06-26,2024-07-02,per,crowns,0,1,0,55
2024-07-03,2024-07-09,per,crowns,0,2,0,91.5
2024-07-03,2024-07-09,per,what are crowns,0,1,0,34
2024-07-10,2024-07-16,per,crowns,0,4,0,74.5
2024-07-17,2024-07-23,per,crowns,0,1,0,61
2024-07-24,2024-07-30,per,crowns,0,1,0,66
2024-07-24,2024-07-30,per,what is a crown,0,1,0,92
2024-07-31,2024-08-06,per,crowns,0,1,0,62
2024-08-07,2024-08-13,per,crowns,0,1,0,78
2024-08-14,2024-08-20,per,crowned teeth,0,1,0,69
2024-08-21,2024-08-27,per,crowns,0,1,0,59
